time,Indiana,pts.away,score,pts.home,Toronto
3:40.0,Defensive rebound by L. Allen,,64-71,,
3:35.0,Offensive charge foul by R. Stuckey,,64-71,,
3:35.0,Turnover by R. Stuckey (offensive foul),,64-71,,
3:23.0,,,64-71,,Shooting foul by D. West (drawn by P. Patterson)
3:23.0,,,64-72,1,P. Patterson makes free throw 1 of 2
3:23.0,,,64-72,,G. Vasquez enters the game for K. Lowry
3:23.0,Indiana full timeout,,64-72,,
3:23.0,,,64-73,1,P. Patterson makes free throw 2 of 2
3:05.0,S. Hill makes 2-pt shot at rim (assist by C. Watson),2,66-73,,
2:39.0,,,66-73,,L. Williams misses 2-pt shot from 5 ft
2:38.0,Defensive rebound by L. Allen,,66-73,,
2:27.0,R. Stuckey misses 2-pt shot from 5 ft,,66-73,,
2:26.0,Offensive rebound by L. Allen,,66-73,,
2:23.0,L. Allen makes 2-pt shot at rim,2,68-73,,
1:59.0,,,68-76,3,G. Vasquez makes 3-pt shot from 26 ft
1:41.0,R. Stuckey misses 2-pt shot from 5 ft,,68-76,,
1:40.0,,,68-76,,Defensive rebound by P. Patterson
1:28.0,,,68-76,,G. Vasquez misses 3-pt shot from 26 ft
1:27.0,Defensive rebound by D. West,,68-76,,
1:13.0,C. Watson misses 2-pt shot from 7 ft,,68-76,,
1:12.0,,,68-76,,Defensive rebound by Team
1:12.0,D. Sloan enters the game for C. Watson,,68-76,,
1:12.0,,,68-76,,J. Johnson enters the game for L. Fields
1:00.0,,,68-78,2,J. Johnson makes 2-pt shot from 2 ft (assist by G. Vasquez)
0:39.0,R. Stuckey misses 3-pt shot from 23 ft (block by J. Johnson),,68-78,,
0:38.0,Offensive rebound by Team,,68-78,,
0:37.0,D. West makes 2-pt shot from 18 ft (assist by S. Hill),2,70-78,,
0:31.0,,,70-80,2,L. Williams makes 2-pt shot from 3 ft (assist by P. Patterson)
0:09.0,D. Sloan misses 3-pt shot from 25 ft,,70-80,,
0:08.0,Offensive rebound by S. Hill,,70-80,,
0:07.0,Shooting foul by G. Vasquez (drawn by S. Hill),,70-80,,
0:07.0,S. Hill makes free throw 1 of 2,1,71-80,,
0:07.0,C. Watson enters the game for R. Stuckey,,71-80,,
0:07.0,S. Hill makes free throw 2 of 2,1,72-80,,
