time,Toronto,pts.away,score,pts.home,Dallas
10:17.0,,,57-51,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by M. Ellis)
9:55.0,Turnover by A. Johnson (lost ball; steal by T. Chandler),,57-51,,
9:50.0,,,57-53,2,R. Rondo makes 2-pt shot from 1 ft
9:29.0,K. Lowry misses 3-pt shot from 24 ft,,57-53,,
9:28.0,,,57-53,,Defensive rebound by D. Nowitzki
9:21.0,,,57-53,,Turnover by R. Rondo (bad pass)
9:02.0,D. DeRozan misses 2-pt shot from 18 ft,,57-53,,
9:01.0,Offensive rebound by J. Valanciunas,,57-53,,
8:57.0,K. Lowry makes 3-pt shot from 23 ft (assist by J. Valanciunas),3,60-53,,
8:48.0,Personal block foul by A. Johnson (drawn by D. Nowitzki),,60-53,,
8:43.0,,,60-53,,M. Ellis misses 2-pt shot from 21 ft
8:42.0,Defensive rebound by Team,,60-53,,
8:26.0,K. Lowry misses 2-pt shot from 18 ft,,60-53,,
8:25.0,Offensive rebound by A. Johnson,,60-53,,
8:22.0,A. Johnson makes 2-pt shot from 3 ft,2,62-53,,
8:10.0,,,62-53,,Dallas full timeout
8:10.0,,,62-53,,D. Harris enters the game for R. Rondo
8:04.0,,,62-53,,D. Nowitzki misses 2-pt shot from 19 ft
8:03.0,Defensive rebound by K. Lowry,,62-53,,
7:50.0,J. Johnson makes 2-pt shot from 4 ft (assist by K. Lowry),2,64-53,,
7:33.0,,,64-53,,R. Jefferson misses 2-pt shot from 6 ft
7:32.0,Defensive rebound by A. Johnson,,64-53,,
7:24.0,D. DeRozan misses 3-pt shot from 22 ft,,64-53,,
7:24.0,,,64-53,,Defensive rebound by T. Chandler
7:08.0,,,64-53,,Shooting foul by J. Valanciunas (drawn by R. Jefferson)
7:08.0,,,64-54,1,R. Jefferson makes free throw 1 of 2
7:08.0,,,64-55,1,R. Jefferson makes free throw 2 of 2
6:56.0,D. DeRozan misses 2-pt shot from 21 ft,,64-55,,
6:55.0,,,64-55,,Defensive rebound by M. Ellis
6:39.0,,,64-55,,D. Nowitzki misses 2-pt shot from 4 ft
6:39.0,,,64-55,,Offensive rebound by Team
6:34.0,,,64-55,,Turnover by T. Chandler (lost ball; steal by J. Valanciunas)
6:29.0,A. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,66-55,,
6:08.0,,,66-58,3,R. Jefferson makes 3-pt shot from 24 ft (assist by D. Harris)
5:41.0,K. Lowry misses 3-pt shot from 25 ft (block by M. Ellis),,66-58,,
5:41.0,Offensive rebound by Team,,66-58,,
5:41.0,Turnover by Team (shot clock),,66-58,,
5:33.0,,,66-61,3,M. Ellis makes 3-pt shot from 24 ft (assist by D. Harris)
5:24.0,Toronto full timeout,,66-61,,
5:24.0,,,66-61,,A. Aminu enters the game for D. Nowitzki
5:24.0,P. Patterson enters the game for J. Johnson,,66-61,,
5:24.0,L. Williams enters the game for A. Johnson,,66-61,,
5:13.0,D. DeRozan makes 2-pt shot from 14 ft,2,68-61,,
4:48.0,,,68-61,,R. Jefferson misses 2-pt shot from 3 ft (block by P. Patterson)
4:47.0,,,68-61,,Offensive rebound by R. Jefferson
4:47.0,,,68-61,,Shooting foul by J. Valanciunas (drawn by R. Jefferson)
4:47.0,,,68-62,1,R. Jefferson makes free throw 1 of 2
4:47.0,,,68-63,1,R. Jefferson makes free throw 2 of 2
4:35.0,Offensive charge foul by J. Valanciunas,,68-63,,
4:35.0,Turnover by J. Valanciunas (offensive foul),,68-63,,
4:24.0,,,68-65,2,M. Ellis makes 2-pt shot from 1 ft
4:09.0,,,68-65,,Def 3 sec tech foul by T. Chandler
4:09.0,D. DeRozan makes technical free throw,1,69-65,,
4:09.0,A. Johnson enters the game for J. Valanciunas,,69-65,,
4:01.0,P. Patterson misses 3-pt shot from 24 ft,,69-65,,
3:59.0,Offensive rebound by Team,,69-65,,
3:56.0,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry),2,71-65,,
3:39.0,,,71-65,,A. Aminu misses 2-pt shot from 22 ft
3:37.0,,,71-65,,Offensive rebound by T. Chandler
3:35.0,,,71-65,,Turnover by A. Aminu (traveling)
3:35.0,,,71-65,,Technical foul by T. Chandler
3:35.0,D. DeRozan misses technical free throw,,71-65,,
3:35.0,Offensive rebound by Team,,71-65,,
3:35.0,,,71-65,,A. Stoudemire enters the game for T. Chandler
3:24.0,Turnover by D. DeRozan (bad pass; steal by D. Harris),,71-65,,
3:21.0,,,71-65,,Shooting foul by K. Lowry (drawn by D. Harris)
3:21.0,,,71-66,1,D. Harris makes free throw 1 of 2
3:21.0,,,71-67,1,D. Harris makes free throw 2 of 2
3:04.0,K. Lowry misses 3-pt shot from 25 ft,,71-67,,
3:04.0,,,71-67,,Defensive rebound by Team
2:57.0,,,71-67,,Shooting foul by P. Patterson (drawn by A. Stoudemire)
2:57.0,,,71-68,1,A. Stoudemire makes free throw 1 of 2
2:57.0,G. Vasquez enters the game for K. Lowry,,71-68,,
2:57.0,,,71-69,1,A. Stoudemire makes free throw 2 of 2
2:35.0,A. Johnson misses 2-pt shot from 7 ft,,71-69,,
2:34.0,,,71-69,,Defensive rebound by D. Harris
2:27.0,,,71-69,,M. Ellis misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by P. Patterson,,71-69,,
2:16.0,Turnover by L. Williams (bad pass; steal by A. Aminu),,71-69,,
2:06.0,,,71-71,2,D. Harris makes 2-pt shot from 1 ft
1:51.0,Shooting foul by A. Stoudemire (drawn by D. DeRozan),,71-71,,
1:51.0,D. DeRozan makes free throw 1 of 2,1,72-71,,
1:51.0,,,72-71,,D. Nowitzki enters the game for R. Jefferson
1:51.0,D. DeRozan makes free throw 2 of 2,1,73-71,,
1:37.0,,,73-71,,D. Harris misses 2-pt shot from 8 ft (block by A. Johnson)
1:36.0,Defensive rebound by P. Patterson,,73-71,,
1:31.0,L. Williams misses 2-pt shot from 23 ft,,73-71,,
1:30.0,,,73-71,,Defensive rebound by D. Nowitzki
1:24.0,,,73-71,,M. Ellis misses 2-pt shot from 1 ft
1:22.0,,,73-71,,Offensive rebound by A. Aminu
1:22.0,,,73-71,,A. Aminu misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by A. Johnson,,73-71,,
1:15.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,76-71,,
1:00.0,Personal foul by G. Vasquez (drawn by M. Ellis),,76-71,,
1:00.0,,,76-72,1,M. Ellis makes free throw 1 of 2
1:00.0,T. Ross enters the game for D. DeRozan,,76-72,,
1:00.0,,,76-72,,M. Ellis misses free throw 2 of 2
0:59.0,Defensive rebound by A. Johnson,,76-72,,
0:44.0,A. Johnson misses 2-pt shot from 5 ft,,76-72,,
0:42.0,,,76-72,,Defensive rebound by A. Aminu
0:32.0,,,76-72,,D. Harris misses 2-pt shot from 1 ft
0:31.0,,,76-72,,Offensive rebound by A. Aminu
0:16.0,,,76-74,2,D. Nowitzki makes 2-pt shot from 1 ft
0:00.0,Shooting foul by M. Ellis (drawn by L. Williams),,76-74,,
0:00.0,L. Williams makes free throw 1 of 2,1,77-74,,
0:00.0,L. Williams misses free throw 2 of 2,,77-74,,
0:00.0,Offensive rebound by Team,,77-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,77-76,2,J. Barea makes 2-pt shot at rim
11:23.0,L. Williams misses 3-pt shot from 25 ft,,77-76,,
11:22.0,,,77-76,,Defensive rebound by A. Aminu
11:09.0,,,77-76,,D. Nowitzki misses 2-pt shot from 6 ft
11:08.0,Defensive rebound by P. Patterson,,77-76,,
11:02.0,G. Vasquez misses 2-pt shot from 2 ft,,77-76,,
11:00.0,,,77-76,,Defensive rebound by A. Stoudemire
10:53.0,,,77-79,3,J. Barea makes 3-pt shot from 25 ft
10:32.0,P. Patterson makes 2-pt shot from 8 ft,2,79-79,,
10:17.0,,,79-79,,Turnover by D. Nowitzki (traveling)
10:04.0,Turnover by L. Williams (lost ball; steal by D. Harris),,79-79,,
10:00.0,,,79-79,,Violation by Team (delay of game)
10:00.0,,,79-81,2,A. Stoudemire makes 2-pt shot from 2 ft (assist by D. Harris)
9:39.0,P. Patterson misses 3-pt shot from 24 ft,,79-81,,
9:38.0,,,79-81,,Defensive rebound by A. Aminu
9:30.0,,,79-83,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by D. Harris)
9:30.0,,,79-83,,Shooting foul by C. Hayes (drawn by A. Stoudemire)
9:30.0,,,79-83,,A. Stoudemire misses free throw 1 of 1
9:29.0,Defensive rebound by P. Patterson,,79-83,,
9:12.0,P. Patterson makes 2-pt shot from 12 ft,2,81-83,,
8:51.0,Violation by T. Ross (kicked ball),,81-83,,
8:51.0,Official timeout,,81-83,,
8:51.0,K. Lowry enters the game for L. Williams,,81-83,,
8:44.0,,,81-86,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
8:24.0,T. Ross misses 2-pt shot from 9 ft,,81-86,,
8:23.0,Offensive rebound by T. Ross,,81-86,,
8:18.0,G. Vasquez makes 3-pt shot from 24 ft (assist by T. Ross),3,84-86,,
7:56.0,,,84-86,,Turnover by A. Aminu (offensive foul)
7:56.0,,,84-86,,Offensive charge foul by A. Aminu
7:56.0,,,84-86,,M. Ellis enters the game for D. Harris
7:43.0,Turnover by K. Lowry (lost ball; steal by A. Stoudemire),,84-86,,
7:40.0,Jump ball: T. Ross vs. A. Stoudemire (J. Barea gains possession),,,,Jump ball: T. Ross vs. A. Stoudemire (J. Barea gains possession)
7:31.0,,,84-89,3,J. Barea makes 3-pt shot from 24 ft
7:10.0,P. Patterson misses 2-pt shot from 6 ft,,84-89,,
7:09.0,,,84-89,,Defensive rebound by A. Aminu
6:54.0,,,84-89,,A. Aminu misses 2-pt shot from 21 ft (block by T. Ross)
6:52.0,Defensive rebound by P. Patterson,,84-89,,
6:48.0,Turnover by P. Patterson (bad pass; steal by M. Ellis),,84-89,,
6:44.0,,,84-89,,D. Nowitzki misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by G. Vasquez,,84-89,,
6:30.0,Turnover by P. Patterson (bad pass; steal by M. Ellis),,84-89,,
6:24.0,,,84-91,2,A. Aminu makes 2-pt shot from 1 ft (assist by J. Barea)
6:21.0,Toronto full timeout,,84-91,,
6:21.0,,,84-91,,T. Chandler enters the game for D. Nowitzki
6:21.0,,,84-91,,R. Jefferson enters the game for A. Stoudemire
6:21.0,D. DeRozan enters the game for P. Patterson,,84-91,,
6:21.0,J. Valanciunas enters the game for C. Hayes,,84-91,,
6:21.0,A. Johnson enters the game for T. Ross,,84-91,,
6:04.0,Shooting foul by R. Jefferson (drawn by G. Vasquez),,84-91,,
6:04.0,G. Vasquez misses free throw 1 of 2,,84-91,,
6:04.0,Offensive rebound by Team,,84-91,,
6:04.0,G. Vasquez makes free throw 2 of 2,1,85-91,,
5:58.0,Personal foul by G. Vasquez (drawn by J. Barea),,85-91,,
5:50.0,,,85-93,2,R. Jefferson makes 2-pt shot from 8 ft
5:35.0,Turnover by D. DeRozan (traveling),,85-93,,
5:25.0,,,85-95,2,M. Ellis makes 2-pt shot from 16 ft
5:11.0,,,85-95,,Personal foul by M. Ellis (drawn by A. Johnson)
5:02.0,,,85-95,,Personal foul by A. Aminu (drawn by A. Johnson)
4:49.0,J. Valanciunas misses 2-pt shot from 7 ft,,85-95,,
4:47.0,,,85-95,,Defensive rebound by R. Jefferson
4:29.0,,,85-97,2,A. Aminu makes 2-pt shot from 11 ft (assist by R. Jefferson)
4:04.0,D. DeRozan misses 2-pt shot from 18 ft,,85-97,,
4:04.0,,,85-97,,Defensive rebound by A. Aminu
3:44.0,,,85-97,,J. Barea misses 3-pt shot from 23 ft
3:42.0,Defensive rebound by K. Lowry,,85-97,,
3:36.0,G. Vasquez makes 3-pt shot from 24 ft (assist by K. Lowry),3,88-97,,
3:35.0,,,88-97,,Dallas full timeout
3:35.0,,,88-97,,D. Nowitzki enters the game for R. Jefferson
3:35.0,P. Patterson enters the game for J. Valanciunas,,88-97,,
3:35.0,J. Johnson enters the game for G. Vasquez,,88-97,,
3:26.0,,,88-97,,Offensive foul by T. Chandler
3:26.0,,,88-97,,Turnover by T. Chandler (offensive foul)
3:07.0,D. DeRozan misses 2-pt shot from 12 ft,,88-97,,
3:06.0,Offensive rebound by P. Patterson,,88-97,,
3:06.0,P. Patterson makes 2-pt shot at rim,2,90-97,,
2:37.0,,,90-97,,M. Ellis misses 3-pt shot from 28 ft
2:36.0,,,90-97,,Offensive rebound by T. Chandler
2:23.0,,,90-99,2,M. Ellis makes 2-pt shot from 2 ft
2:08.0,K. Lowry misses 3-pt shot from 25 ft,,90-99,,
