time,Philadelphia,pts.away,score,pts.home,Chicago
0:30.0,,,77-79,1,P. Gasol makes free throw 1 of 2
0:30.0,J. Sampson enters the game for T. Robinson,,77-79,,
0:30.0,,,77-79,,P. Gasol misses free throw 2 of 2
0:29.0,Defensive rebound by J. Sampson,,77-79,,
0:06.0,J. Richardson misses 3-pt shot from 26 ft,,77-79,,
0:05.0,Offensive rebound by J. Sampson,,77-79,,
0:05.0,Shooting foul by M. Dunleavy (drawn by J. Sampson),,77-79,,
0:05.0,J. Sampson misses free throw 1 of 2,,77-79,,
0:05.0,Offensive rebound by Team,,77-79,,
0:05.0,J. Sampson makes free throw 2 of 2,1,78-79,,
0:00.0,,,78-81,2,A. Brooks makes 2-pt shot from 17 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,78-83,2,T. Snell makes 2-pt shot from 1 ft (assist by M. Dunleavy)
11:34.0,T. Robinson misses 2-pt shot from 10 ft,,78-83,,
11:33.0,,,78-83,,Defensive rebound by J. Noah
11:19.0,,,78-85,2,A. Brooks makes 2-pt shot from 1 ft
11:18.0,Philadelphia full timeout,,78-85,,
10:57.0,H. Thompson makes 3-pt shot from 26 ft (assist by J. Grant),3,81-85,,
10:37.0,,,81-85,,A. Brooks misses 2-pt shot from 5 ft
10:36.0,Defensive rebound by G. Robinson,,81-85,,
10:30.0,G. Robinson makes 3-pt shot from 25 ft (assist by H. Thompson),3,84-85,,
10:29.0,,,84-85,,Chicago full timeout
10:12.0,,,84-85,,M. Dunleavy misses 2-pt shot from 21 ft
10:10.0,,,84-85,,Offensive rebound by J. Noah
10:06.0,,,84-88,3,T. Snell makes 3-pt shot from 22 ft (assist by N. Mirotic)
10:00.0,Shooting foul by T. Snell (drawn by J. Grant),,84-88,,
10:00.0,J. Grant misses free throw 1 of 2,,84-88,,
10:00.0,Offensive rebound by Team,,84-88,,
10:00.0,Turnover by F. Aldemir (lane violation.),,84-88,,
9:40.0,,,84-91,3,T. Snell makes 3-pt shot from 22 ft (assist by A. Brooks)
9:32.0,H. Thompson misses 3-pt shot from 24 ft,,84-91,,
9:30.0,,,84-91,,Defensive rebound by N. Mirotic
9:21.0,,,84-91,,Shooting foul by T. Robinson (drawn by M. Dunleavy)
9:21.0,,,84-92,1,M. Dunleavy makes free throw 1 of 2
9:21.0,R. Covington enters the game for T. Robinson,,84-92,,
9:21.0,,,84-93,1,M. Dunleavy makes free throw 2 of 2
9:04.0,Shooting foul by A. Brooks (drawn by H. Thompson),,84-93,,
9:04.0,H. Thompson makes free throw 1 of 3,1,85-93,,
9:04.0,H. Thompson makes free throw 2 of 3,1,86-93,,
9:04.0,H. Thompson makes free throw 3 of 3,1,87-93,,
8:48.0,Personal foul by F. Aldemir (drawn by M. Dunleavy),,87-93,,
8:48.0,H. Sims enters the game for F. Aldemir,,87-93,,
8:38.0,,,87-96,3,T. Snell makes 3-pt shot from 24 ft (assist by M. Dunleavy)
