time,Atlanta,pts.away,score,pts.home,Philadelphia
6:07.0,,,60-47,,Philadelphia full timeout
6:07.0,K. Bazemore enters the game for K. Korver,,60-47,,
6:07.0,,,60-47,,J. Grant enters the game for L. Mbah a Moute
6:07.0,,,60-47,,T. Wroten enters the game for K. McDaniels
5:55.0,,,60-47,,Turnover by R. Covington (traveling)
5:43.0,Shooting foul by N. Noel (drawn by D. Schroder),,60-47,,
5:43.0,D. Schroder misses free throw 1 of 2,,60-47,,
5:43.0,Offensive rebound by Team,,60-47,,
5:43.0,D. Schroder makes free throw 2 of 2,1,61-47,,
5:31.0,,,61-49,2,M. Carter-Williams makes 2-pt shot from 1 ft
5:13.0,A. Horford makes 2-pt shot from 16 ft (assist by D. Schroder),2,63-49,,
4:53.0,,,63-49,,R. Covington misses 2-pt shot from 3 ft (block by A. Horford)
4:53.0,Defensive rebound by Team,,63-49,,
4:41.0,,,63-49,,Violation by R. Covington (kicked ball)
4:41.0,E. Brand enters the game for A. Horford,,63-49,,
4:29.0,E. Brand misses 2-pt shot from 13 ft,,63-49,,
4:28.0,,,63-49,,Defensive rebound by M. Carter-Williams
4:22.0,,,63-49,,M. Carter-Williams misses 2-pt shot from 19 ft
4:19.0,Defensive rebound by K. Bazemore,,63-49,,
4:05.0,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Schroder),3,66-49,,
4:03.0,,,66-49,,Philadelphia full timeout
4:03.0,,,66-49,,H. Thompson enters the game for R. Covington
3:51.0,,,66-49,,Offensive charge foul by T. Wroten
3:51.0,,,66-49,,Turnover by T. Wroten (offensive foul)
3:39.0,Turnover by D. Schroder (bad pass; steal by N. Noel),,66-49,,
3:29.0,,,66-49,,Shooting foul by K. Bazemore (drawn by N. Noel)
3:29.0,,,66-49,,N. Noel misses free throw 1 of 2
3:29.0,,,66-49,,Offensive rebound by Team
3:29.0,,,66-49,,N. Noel misses free throw 2 of 2
3:27.0,Defensive rebound by T. Sefolosha,,66-49,,
3:11.0,D. Schroder misses 2-pt shot from 11 ft (block by J. Grant),,66-49,,
3:11.0,Offensive rebound by Team,,66-49,,
3:11.0,Atlanta full timeout,,66-49,,
3:11.0,S. Mack enters the game for D. Schroder,,66-49,,
3:08.0,K. Bazemore misses 2-pt shot from 4 ft (block by M. Carter-Williams),,66-49,,
3:05.0,,,66-49,,Defensive rebound by T. Wroten
2:55.0,,,66-49,,Shooting foul by E. Brand (drawn by T. Wroten)
2:55.0,,,66-49,,T. Wroten misses free throw 1 of 2
2:55.0,,,66-49,,Offensive rebound by Team
2:55.0,,,66-49,,T. Wroten misses free throw 2 of 2
2:54.0,Defensive rebound by T. Sefolosha,,66-49,,
2:36.0,K. Bazemore misses 3-pt shot from 25 ft,,66-49,,
2:34.0,,,66-49,,Defensive rebound by M. Carter-Williams
2:30.0,Violation by E. Brand (def goaltending),,66-49,,
2:30.0,,,66-51,2,T. Wroten makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
2:14.0,M. Scott misses 2-pt shot from 1 ft,,66-51,,
2:13.0,Offensive rebound by E. Brand,,66-51,,
2:13.0,E. Brand misses 2-pt shot from 2 ft,,66-51,,
2:11.0,Offensive rebound by E. Brand,,66-51,,
2:11.0,E. Brand makes 2-pt shot from 2 ft,2,68-51,,
1:55.0,,,68-51,,K. McDaniels enters the game for M. Carter-Williams
1:55.0,,,68-51,,R. Covington enters the game for N. Noel
1:55.0,K. Korver enters the game for T. Sefolosha,,68-51,,
1:49.0,,,68-51,,T. Wroten misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by K. Korver,,68-51,,
1:42.0,Turnover by S. Mack (bad pass),,68-51,,
1:33.0,,,68-51,,T. Wroten misses 2-pt shot from 4 ft
1:32.0,Defensive rebound by K. Korver,,68-51,,
1:26.0,K. Korver makes 3-pt shot from 25 ft (assist by S. Mack),3,71-51,,
1:07.0,,,71-53,2,H. Thompson makes 2-pt shot from 11 ft (assist by K. McDaniels)
0:49.0,S. Mack makes 3-pt shot from 25 ft (assist by K. Bazemore),3,74-53,,
0:35.0,,,74-53,,R. Covington misses 3-pt shot from 25 ft
0:33.0,,,74-53,,Offensive rebound by K. McDaniels
0:28.0,,,74-55,2,T. Wroten makes 2-pt shot from 1 ft (assist by K. McDaniels)
0:04.0,S. Mack misses 2-pt shot from 15 ft,,74-55,,
0:02.0,,,74-55,,Defensive rebound by R. Covington
0:01.0,,,74-55,,T. Wroten misses 3-pt shot from 58 ft
0:00.0,,,74-55,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,K. Korver makes 2-pt shot at rim (assist by S. Mack),2,76-55,,
11:37.0,,,76-58,3,J. Grant makes 3-pt shot from 25 ft (assist by K. McDaniels)
11:18.0,A. Horford misses 2-pt shot from 1 ft,,76-58,,
11:18.0,Offensive rebound by M. Scott,,76-58,,
11:18.0,,,76-58,,Personal foul by T. Wroten (drawn by M. Scott)
11:05.0,S. Mack misses 2-pt shot from 2 ft,,76-58,,
11:04.0,Offensive rebound by A. Horford,,76-58,,
11:03.0,Shooting foul by J. Grant (drawn by A. Horford),,76-58,,
11:03.0,A. Horford makes free throw 1 of 2,1,77-58,,
11:03.0,A. Horford makes free throw 2 of 2,1,78-58,,
10:56.0,,,78-58,,Shooting foul by A. Horford (drawn by T. Wroten)
10:56.0,,,78-58,,T. Wroten misses free throw 1 of 2
10:56.0,,,78-58,,Offensive rebound by Team
10:56.0,,,78-58,,F. Aldemir enters the game for J. Grant
10:56.0,,,78-59,1,T. Wroten makes free throw 2 of 2
10:48.0,Turnover by S. Mack (bad pass; steal by R. Covington),,78-59,,
10:35.0,,,78-62,3,T. Wroten makes 3-pt shot from 24 ft (assist by H. Thompson)
10:14.0,S. Mack makes 2-pt shot from 6 ft (assist by K. Korver),2,80-62,,
10:09.0,,,80-62,,Philadelphia full timeout
10:09.0,,,80-62,,M. Carter-Williams enters the game for T. Wroten
10:09.0,M. Muscala enters the game for M. Scott,,80-62,,
9:57.0,,,80-62,,K. McDaniels misses 2-pt shot at rim
9:56.0,Defensive rebound by K. Bazemore,,80-62,,
9:34.0,A. Horford makes 2-pt shot from 4 ft (assist by S. Mack),2,82-62,,
9:15.0,,,82-62,,M. Carter-Williams misses 3-pt shot from 26 ft
9:12.0,,,82-62,,Offensive rebound by R. Covington
9:05.0,,,82-62,,R. Covington misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by A. Horford,,82-62,,
8:44.0,M. Muscala makes 2-pt shot from 14 ft (assist by S. Mack),2,84-62,,
8:32.0,,,84-62,,Turnover by M. Carter-Williams (lost ball; steal by S. Mack)
8:28.0,K. Bazemore makes 2-pt shot from 1 ft,2,86-62,,
8:28.0,,,86-62,,Philadelphia full timeout
8:28.0,T. Sefolosha enters the game for A. Horford,,86-62,,
8:28.0,,,86-62,,J. Sampson enters the game for R. Covington
8:28.0,E. Brand enters the game for K. Korver,,86-62,,
8:15.0,,,86-62,,Shooting foul by E. Brand (drawn by M. Carter-Williams)
8:15.0,,,86-63,1,M. Carter-Williams makes free throw 1 of 2
8:15.0,,,86-64,1,M. Carter-Williams makes free throw 2 of 2
7:59.0,K. Bazemore misses 2-pt shot from 16 ft,,86-64,,
7:57.0,,,86-64,,Defensive rebound by M. Carter-Williams
7:49.0,,,86-66,2,K. McDaniels makes 2-pt shot from 11 ft (assist by M. Carter-Williams)
7:30.0,E. Brand misses 2-pt shot from 13 ft,,86-66,,
7:28.0,Offensive rebound by M. Muscala,,86-66,,
7:28.0,M. Muscala misses 2-pt shot from 3 ft,,86-66,,
7:27.0,Offensive rebound by M. Muscala,,86-66,,
7:26.0,M. Muscala misses 2-pt shot from 4 ft,,86-66,,
7:26.0,Offensive rebound by Team,,86-66,,
7:26.0,,,86-66,,N. Noel enters the game for H. Thompson
7:23.0,S. Mack misses 2-pt shot from 17 ft,,86-66,,
7:22.0,,,86-66,,Defensive rebound by M. Carter-Williams
7:15.0,,,86-68,2,M. Carter-Williams makes 2-pt shot from 14 ft
7:00.0,K. Bazemore misses 2-pt shot from 4 ft,,86-68,,
6:59.0,Offensive rebound by M. Muscala,,86-68,,
6:57.0,M. Muscala misses 2-pt shot from 2 ft (block by F. Aldemir),,86-68,,
6:57.0,Offensive rebound by E. Brand,,86-68,,
6:57.0,E. Brand makes 2-pt shot at rim,2,88-68,,
6:57.0,Shooting foul by F. Aldemir (drawn by E. Brand),,88-68,,
6:57.0,E. Brand misses free throw 1 of 1,,88-68,,
6:55.0,Offensive rebound by M. Muscala,,88-68,,
6:51.0,E. Brand misses 2-pt shot from 13 ft,,88-68,,
6:50.0,,,88-68,,Defensive rebound by M. Carter-Williams
6:38.0,,,88-70,2,J. Sampson makes 2-pt shot from 1 ft (assist by K. McDaniels)
6:22.0,K. Bazemore makes 2-pt shot from 1 ft (assist by S. Mack),2,90-70,,
6:05.0,,,90-70,,N. Noel misses 2-pt shot from 1 ft
6:04.0,,,90-70,,Offensive rebound by F. Aldemir
6:04.0,,,90-70,,F. Aldemir misses 2-pt shot from 1 ft
6:04.0,,,90-70,,Offensive rebound by N. Noel
6:04.0,Personal foul by M. Muscala (drawn by N. Noel),,90-70,,
5:59.0,,,90-72,2,M. Carter-Williams makes 2-pt shot from 2 ft
5:46.0,,,90-72,,Personal foul by N. Noel (drawn by M. Muscala)
5:40.0,K. Bazemore makes 2-pt shot from 1 ft (assist by S. Mack),2,92-72,,
5:23.0,,,92-74,2,M. Carter-Williams makes 2-pt shot from 17 ft
5:12.0,K. Bazemore misses 3-pt shot from 23 ft,,92-74,,
5:11.0,Offensive rebound by E. Brand,,92-74,,
5:10.0,E. Brand makes 2-pt shot at rim,2,94-74,,
4:44.0,,,94-74,,Turnover by J. Sampson (lost ball; steal by S. Mack)
4:40.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by S. Mack),2,96-74,,
4:40.0,Shooting foul by J. Sampson (drawn by T. Sefolosha),,96-74,,
4:40.0,,,96-74,,J. Grant enters the game for M. Carter-Williams
4:40.0,A. Payne enters the game for M. Muscala,,96-74,,
4:40.0,T. Sefolosha misses free throw 1 of 1,,96-74,,
