time,Memphis,pts.away,score,pts.home,Utah
3:05.0,,,72-66,2,R. Gobert makes 2-pt shot at rim (assist by T. Burke)
2:38.0,Z. Randolph makes 2-pt shot from 7 ft,2,74-66,,
2:22.0,,,74-66,,Turnover by T. Burke (bad pass; steal by T. Allen)
2:19.0,Shooting foul by G. Hayward (drawn by T. Allen),,74-66,,
2:19.0,,,74-66,,Utah full timeout
2:19.0,,,74-66,,T. Booker enters the game for D. Favors
2:19.0,T. Allen makes free throw 1 of 2,1,75-66,,
2:19.0,T. Allen misses free throw 2 of 2,,75-66,,
2:17.0,,,75-66,,Defensive rebound by R. Gobert
1:55.0,,,75-69,3,T. Burke makes 3-pt shot from 25 ft
1:36.0,Z. Randolph misses 2-pt shot from 16 ft,,75-69,,
1:35.0,,,75-69,,Defensive rebound by G. Hayward
1:17.0,,,75-69,,Shooting foul by Z. Randolph (drawn by R. Gobert)
1:17.0,,,75-69,,R. Gobert misses free throw 1 of 2
1:17.0,,,75-69,,Offensive rebound by Team
1:17.0,J. Leuer enters the game for Z. Randolph,,75-69,,
1:17.0,,,75-70,1,R. Gobert makes free throw 2 of 2
0:57.0,B. Udrih makes 2-pt shot from 4 ft,2,77-70,,
0:36.0,,,77-70,,T. Burke misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by Team,,77-70,,
0:25.0,C. Lee misses 2-pt shot from 20 ft,,77-70,,
0:24.0,,,77-70,,Defensive rebound by T. Booker
0:24.0,Personal foul by K. Koufos (drawn by T. Booker),,77-70,,
0:24.0,,,77-70,,T. Booker misses free throw 1 of 2
0:24.0,,,77-70,,Offensive rebound by Team
0:24.0,M. Conley enters the game for T. Allen,,77-70,,
0:24.0,,,77-70,,E. Millsap enters the game for G. Hayward
0:24.0,,,77-71,1,T. Booker makes free throw 2 of 2
0:02.0,J. Leuer misses 2-pt shot from 13 ft,,77-71,,
0:01.0,,,77-71,,Defensive rebound by E. Millsap
0:00.0,,,77-71,,E. Millsap misses 3-pt shot from 61 ft
0:00.0,,,77-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Koufos misses 2-pt shot from 1 ft,,77-71,,
11:45.0,Offensive rebound by K. Koufos,,77-71,,
11:43.0,K. Koufos makes 2-pt shot from 6 ft,2,79-71,,
11:19.0,,,79-71,,T. Booker misses 2-pt shot from 17 ft
11:17.0,,,79-71,,Offensive rebound by E. Kanter
11:17.0,,,79-71,,E. Kanter misses 2-pt shot from 3 ft (block by K. Koufos)
11:17.0,Defensive rebound by Team,,79-71,,
10:59.0,Turnover by N. Calathes (lost ball; steal by D. Exum),,79-71,,
10:47.0,,,79-71,,Turnover by T. Burke (bad pass; steal by N. Calathes)
10:45.0,,,79-71,,Personal foul by T. Burke (drawn by B. Udrih)
10:33.0,B. Udrih misses 2-pt shot from 16 ft,,79-71,,
10:32.0,,,79-71,,Defensive rebound by T. Booker
10:27.0,Personal foul by J. Leuer (drawn by T. Booker),,79-71,,
10:10.0,,,79-74,3,C. Johnson makes 3-pt shot from 22 ft (assist by D. Exum)
9:55.0,K. Koufos makes 2-pt shot from 5 ft (assist by B. Udrih),2,81-74,,
9:38.0,,,81-74,,Turnover by T. Booker (lost ball; steal by K. Koufos)
9:27.0,Turnover by J. Leuer (bad pass; steal by C. Johnson),,81-74,,
9:27.0,Personal foul by K. Koufos (drawn by T. Booker),,81-74,,
9:27.0,,,81-74,,J. Ingles enters the game for T. Burke
9:27.0,M. Gasol enters the game for J. Leuer,,81-74,,
9:17.0,Violation by T. Allen (kicked ball),,81-74,,
9:08.0,,,81-74,,Turnover by T. Booker (traveling)
8:45.0,M. Gasol makes 2-pt shot from 3 ft,2,83-74,,
8:29.0,,,83-76,2,E. Kanter makes 2-pt shot from 16 ft
8:05.0,Turnover by K. Koufos (traveling),,83-76,,
8:05.0,Official timeout,,83-76,,
8:05.0,,,83-76,,R. Gobert enters the game for T. Booker
7:45.0,,,83-76,,E. Kanter misses 2-pt shot from 18 ft
7:43.0,Defensive rebound by B. Udrih,,83-76,,
7:27.0,Shooting foul by R. Gobert (drawn by M. Gasol),,83-76,,
7:27.0,M. Gasol makes free throw 1 of 2,1,84-76,,
7:27.0,,,84-76,,D. Favors enters the game for E. Kanter
7:27.0,,,84-76,,G. Hayward enters the game for C. Johnson
7:27.0,M. Gasol makes free throw 2 of 2,1,85-76,,
7:13.0,,,85-76,,G. Hayward misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by M. Gasol,,85-76,,
6:57.0,M. Gasol makes 2-pt shot from 21 ft (assist by N. Calathes),2,87-76,,
6:46.0,Personal foul by N. Calathes (drawn by G. Hayward),,87-76,,
6:46.0,,,87-76,,T. Burke enters the game for D. Exum
6:34.0,,,87-76,,Utah full timeout
6:31.0,,,87-76,,T. Burke misses 3-pt shot from 24 ft
6:30.0,,,87-76,,Offensive rebound by Team
6:30.0,,,87-76,,Turnover by Team (shot clock)
6:20.0,N. Calathes makes 2-pt shot from 3 ft (assist by M. Gasol),2,89-76,,
6:05.0,,,89-78,2,G. Hayward makes 2-pt shot from 7 ft
5:39.0,T. Allen misses 3-pt shot from 22 ft,,89-78,,
5:39.0,,,89-78,,Defensive rebound by G. Hayward
5:39.0,Loose ball foul by K. Koufos (drawn by G. Hayward),,89-78,,
5:39.0,Z. Randolph enters the game for K. Koufos,,89-78,,
5:39.0,M. Conley enters the game for B. Udrih,,89-78,,
5:39.0,,,89-78,,E. Millsap enters the game for J. Ingles
5:25.0,,,89-81,3,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward)
5:03.0,M. Gasol misses 2-pt shot from 21 ft,,89-81,,
5:02.0,Offensive rebound by Z. Randolph,,89-81,,
4:55.0,Shooting foul by R. Gobert (drawn by Z. Randolph),,89-81,,
4:55.0,Z. Randolph misses free throw 1 of 2,,89-81,,
4:55.0,Offensive rebound by Team,,89-81,,
4:55.0,Z. Randolph makes free throw 2 of 2,1,90-81,,
4:38.0,,,90-81,,G. Hayward misses 2-pt shot from 4 ft
4:35.0,Defensive rebound by T. Allen,,90-81,,
4:14.0,M. Gasol makes 2-pt shot from 5 ft,2,92-81,,
3:54.0,,,92-81,,T. Burke misses 2-pt shot from 5 ft
3:52.0,,,92-81,,Offensive rebound by R. Gobert
3:52.0,,,92-81,,R. Gobert misses 2-pt shot from 1 ft
3:50.0,,,92-81,,Offensive rebound by D. Favors
3:50.0,,,92-83,2,D. Favors makes 2-pt shot from 1 ft
3:21.0,Z. Randolph misses 2-pt shot from 16 ft,,92-83,,
3:19.0,,,92-83,,Defensive rebound by D. Favors
3:11.0,,,92-83,,D. Favors misses 2-pt shot from 14 ft
3:10.0,Defensive rebound by M. Conley,,92-83,,
3:06.0,Memphis full timeout,,92-83,,
3:06.0,C. Lee enters the game for N. Calathes,,92-83,,
3:06.0,,,92-83,,C. Johnson enters the game for E. Millsap
2:50.0,M. Gasol makes 2-pt shot from 4 ft (assist by Z. Randolph),2,94-83,,
2:31.0,,,94-83,,T. Burke misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by C. Lee,,94-83,,
2:16.0,Shooting foul by D. Favors (drawn by M. Gasol),,94-83,,
2:16.0,M. Gasol makes free throw 1 of 2,1,95-83,,
2:16.0,M. Gasol makes free throw 2 of 2,1,96-83,,
1:55.0,,,96-85,2,T. Burke makes 2-pt shot from 20 ft
1:40.0,T. Allen misses 2-pt shot from 1 ft (block by R. Gobert),,96-85,,
1:40.0,Offensive rebound by Z. Randolph,,96-85,,
1:37.0,Z. Randolph makes 2-pt shot from 1 ft,2,98-85,,
1:28.0,,,98-85,,Shooting foul by M. Conley (drawn by R. Gobert)
1:28.0,,,98-85,,R. Gobert misses free throw 1 of 2
1:28.0,,,98-85,,Offensive rebound by Team
1:28.0,,,98-85,,E. Millsap enters the game for G. Hayward
1:28.0,,,98-85,,E. Kanter enters the game for D. Favors
1:28.0,N. Calathes enters the game for T. Allen,,98-85,,
1:28.0,,,98-86,1,R. Gobert makes free throw 2 of 2
