time,Houston,pts.away,score,pts.home,Brooklyn
9:43.0,T. Ariza misses 3-pt shot from 23 ft,,62-54,,
9:42.0,Offensive rebound by P. Beverley,,62-54,,
9:32.0,D. Motiejunas makes 3-pt shot from 23 ft (assist by T. Ariza),3,65-54,,
9:20.0,,,65-54,,B. Lopez misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by D. Motiejunas,,65-54,,
9:09.0,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley),3,68-54,,
9:09.0,,,68-54,,Brooklyn full timeout
8:49.0,,,68-56,2,B. Lopez makes 2-pt shot from 20 ft (assist by J. Johnson)
8:24.0,D. Howard misses 2-pt shot from 6 ft,,68-56,,
8:23.0,,,68-56,,Defensive rebound by M. Plumlee
8:16.0,,,68-56,,Shooting foul by D. Howard (drawn by B. Lopez)
8:16.0,,,68-57,1,B. Lopez makes free throw 1 of 2
8:16.0,,,68-58,1,B. Lopez makes free throw 2 of 2
8:00.0,D. Motiejunas makes 2-pt shot from 11 ft (assist by P. Beverley),2,70-58,,
7:38.0,,,70-58,,J. Johnson misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by P. Beverley,,70-58,,
7:29.0,J. Harden misses 3-pt shot from 25 ft,,70-58,,
7:28.0,,,70-58,,Defensive rebound by M. Plumlee
7:06.0,,,70-58,,J. Johnson misses 2-pt shot from 4 ft
7:05.0,Defensive rebound by D. Howard,,70-58,,
6:54.0,J. Harden misses 3-pt shot from 24 ft,,70-58,,
6:53.0,,,70-58,,Defensive rebound by M. Plumlee
6:45.0,,,70-58,,J. Jack misses 2-pt shot from 2 ft
6:44.0,,,70-58,,Offensive rebound by M. Plumlee
6:43.0,,,70-60,2,M. Plumlee makes 2-pt shot from 1 ft
6:25.0,D. Motiejunas misses 2-pt shot from 2 ft,,70-60,,
6:23.0,,,70-60,,Defensive rebound by B. Bogdanovic
6:15.0,,,70-60,,Shooting foul by P. Beverley (drawn by J. Jack)
6:15.0,,,70-60,,J. Jack misses free throw 1 of 2
6:15.0,,,70-60,,Offensive rebound by Team
6:15.0,C. Brewer enters the game for T. Ariza,,70-60,,
6:15.0,J. Smith enters the game for D. Howard,,70-60,,
6:15.0,,,70-61,1,J. Jack makes free throw 2 of 2
5:58.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,73-61,,
5:47.0,,,73-61,,Offensive foul by M. Plumlee
5:47.0,,,73-61,,Turnover by M. Plumlee (offensive foul)
5:24.0,J. Smith misses 3-pt shot from 24 ft,,73-61,,
5:22.0,,,73-61,,Defensive rebound by B. Lopez
5:17.0,Personal foul by P. Beverley (drawn by J. Jack),,73-61,,
5:17.0,J. Terry enters the game for P. Beverley,,73-61,,
5:06.0,,,73-61,,Shooting foul by C. Brewer (drawn by J. Johnson)
5:06.0,,,73-61,,J. Johnson misses free throw 1 of 2
5:06.0,,,73-61,,Offensive rebound by Team
5:06.0,,,73-62,1,J. Johnson makes free throw 2 of 2
4:48.0,C. Brewer makes 2-pt shot from 14 ft (assist by J. Harden),2,75-62,,
4:25.0,,,75-62,,B. Bogdanovic misses 3-pt shot from 22 ft
