time,Milwaukee,pts.away,score,pts.home,Indiana
8:19.0,,,56-54,,G. Hill misses 2-pt shot from 21 ft
8:18.0,Defensive rebound by G. Antetokounmpo,,56-54,,
8:09.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,56-54,,
8:07.0,,,56-54,,Defensive rebound by I. Mahinmi
8:01.0,Personal foul by J. Dudley (drawn by D. West),,56-54,,
7:52.0,,,56-56,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by C. Miles)
7:52.0,,,56-56,,Shooting foul by Z. Pachulia (drawn by I. Mahinmi)
7:52.0,,,56-56,,I. Mahinmi misses free throw 1 of 1
7:51.0,Defensive rebound by Z. Pachulia,,56-56,,
7:39.0,M. Carter-Williams makes 2-pt shot from 10 ft,2,58-56,,
7:18.0,,,58-56,,D. West misses 2-pt shot from 17 ft
7:17.0,Defensive rebound by Z. Pachulia,,58-56,,
7:06.0,Shooting foul by S. Hill (drawn by G. Antetokounmpo),,58-56,,
7:06.0,,,58-56,,Technical foul by G. Hill
7:06.0,K. Middleton makes technical free throw,1,59-56,,
7:06.0,G. Antetokounmpo makes free throw 1 of 2,1,60-56,,
7:06.0,G. Antetokounmpo makes free throw 2 of 2,1,61-56,,
6:48.0,,,61-58,2,C. Miles makes 2-pt shot from 9 ft
6:29.0,K. Middleton misses 2-pt shot from 16 ft,,61-58,,
6:28.0,,,61-58,,Defensive rebound by D. West
6:23.0,Personal foul by G. Antetokounmpo (drawn by S. Hill),,61-58,,
6:23.0,,,61-59,1,S. Hill makes free throw 1 of 2
6:23.0,C. Johnson enters the game for G. Antetokounmpo,,61-59,,
6:23.0,,,61-60,1,S. Hill makes free throw 2 of 2
6:09.0,Turnover by M. Carter-Williams (bad pass; steal by S. Hill),,61-60,,
6:07.0,,,61-62,2,G. Hill makes 2-pt shot at rim (assist by S. Hill)
5:50.0,J. Dudley misses 2-pt shot from 21 ft,,61-62,,
5:49.0,,,61-62,,Defensive rebound by I. Mahinmi
5:42.0,,,61-62,,Turnover by S. Hill (bad pass; steal by C. Johnson)
5:39.0,Shooting foul by G. Hill (drawn by M. Carter-Williams),,61-62,,
5:39.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by K. Middleton),2,63-62,,
5:39.0,,,63-62,,Indiana full timeout
5:39.0,,,63-62,,C. Watson enters the game for S. Hill
5:39.0,,,63-62,,R. Stuckey enters the game for G. Hill
5:39.0,M. Carter-Williams makes free throw 1 of 1,1,64-62,,
5:25.0,,,64-64,2,D. West makes 2-pt shot from 18 ft (assist by R. Stuckey)
5:09.0,M. Carter-Williams makes 2-pt shot from 17 ft,2,66-64,,
4:50.0,,,66-67,3,C. Miles makes 3-pt shot from 24 ft (assist by D. West)
4:35.0,C. Johnson misses 3-pt shot from 25 ft,,66-67,,
4:34.0,,,66-67,,Defensive rebound by I. Mahinmi
4:26.0,,,66-69,2,R. Stuckey makes 2-pt shot from 17 ft
4:10.0,Shooting foul by C. Watson (drawn by M. Carter-Williams),,66-69,,
4:10.0,M. Carter-Williams misses free throw 1 of 2,,66-69,,
4:10.0,Offensive rebound by Team,,66-69,,
4:10.0,,,66-69,,L. Scola enters the game for D. West
4:10.0,J. Henson enters the game for Z. Pachulia,,66-69,,
4:10.0,M. Carter-Williams makes free throw 2 of 2,1,67-69,,
3:53.0,,,67-71,2,I. Mahinmi makes 2-pt shot at rim (assist by C. Miles)
3:36.0,M. Carter-Williams misses 2-pt shot from 7 ft,,67-71,,
3:35.0,,,67-71,,Defensive rebound by R. Stuckey
3:29.0,,,67-71,,Turnover by R. Stuckey (bad pass; steal by J. Dudley)
3:21.0,C. Johnson misses 3-pt shot from 23 ft,,67-71,,
3:19.0,,,67-71,,Defensive rebound by I. Mahinmi
3:07.0,,,67-71,,L. Scola misses 2-pt shot from 4 ft
3:05.0,,,67-71,,Offensive rebound by I. Mahinmi
3:05.0,,,67-73,2,I. Mahinmi makes 2-pt shot from 1 ft
3:02.0,Milwaukee full timeout,,67-73,,
2:53.0,K. Middleton makes 2-pt shot from 9 ft,2,69-73,,
2:33.0,,,69-73,,R. Stuckey misses 2-pt shot from 19 ft
2:32.0,Defensive rebound by C. Johnson,,69-73,,
2:18.0,M. Carter-Williams makes 2-pt shot from 7 ft,2,71-73,,
2:03.0,,,71-76,3,C. Miles makes 3-pt shot from 22 ft (assist by R. Stuckey)
1:42.0,K. Middleton misses 2-pt shot from 19 ft,,71-76,,
1:41.0,,,71-76,,Defensive rebound by L. Scola
1:28.0,,,71-79,3,C. Watson makes 3-pt shot from 25 ft (assist by I. Mahinmi)
1:13.0,Shooting foul by I. Mahinmi (drawn by M. Carter-Williams),,71-79,,
1:13.0,M. Carter-Williams makes free throw 1 of 2,1,72-79,,
1:13.0,,,72-79,,L. Allen enters the game for I. Mahinmi
1:13.0,,,72-79,,D. Rudez enters the game for C. Miles
1:13.0,M. Carter-Williams makes free throw 2 of 2,1,73-79,,
0:50.0,,,73-79,,D. Rudez misses 2-pt shot from 9 ft
0:48.0,Defensive rebound by J. Henson,,73-79,,
0:38.0,Shooting foul by D. Rudez (drawn by M. Carter-Williams),,73-79,,
0:38.0,M. Carter-Williams misses free throw 1 of 2,,73-79,,
0:38.0,Offensive rebound by Team,,73-79,,
0:38.0,T. Ennis enters the game for K. Middleton,,73-79,,
0:38.0,M. Carter-Williams makes free throw 2 of 2,1,74-79,,
0:17.0,,,74-82,3,R. Stuckey makes 3-pt shot from 22 ft (assist by C. Watson)
