time,Golden State,pts.away,score,pts.home,Detroit
8:27.0,Defensive rebound by H. Barnes,,65-45,,
8:13.0,K. Thompson misses 2-pt shot from 5 ft,,65-45,,
8:11.0,Offensive rebound by A. Bogut,,65-45,,
8:10.0,A. Bogut makes 2-pt shot from 1 ft,2,67-45,,
7:51.0,,,67-45,,A. Drummond misses 2-pt shot from 5 ft
7:49.0,Defensive rebound by H. Barnes,,67-45,,
7:41.0,D. Green misses 3-pt shot from 26 ft,,67-45,,
7:41.0,,,67-45,,Defensive rebound by Team
7:41.0,,,67-45,,G. Monroe enters the game for A. Drummond
7:30.0,,,67-45,,B. Jennings misses 2-pt shot from 1 ft (block by A. Bogut)
7:28.0,,,67-45,,Offensive rebound by B. Jennings
7:23.0,,,67-47,2,G. Monroe makes 2-pt shot at rim (assist by J. Smith)
7:15.0,Shooting foul by J. Smith (drawn by S. Curry),,67-47,,
7:15.0,S. Curry makes free throw 1 of 2,1,68-47,,
7:15.0,S. Curry makes free throw 2 of 2,1,69-47,,
7:01.0,,,69-50,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by J. Smith)
6:48.0,H. Barnes misses 2-pt shot at rim (block by K. Singler),,69-50,,
6:46.0,,,69-50,,Defensive rebound by G. Monroe
6:36.0,,,69-53,3,K. Singler makes 3-pt shot from 24 ft (assist by J. Smith)
6:36.0,Golden State full timeout,,69-53,,
6:36.0,A. Iguodala enters the game for H. Barnes,,69-53,,
6:17.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,72-53,,
5:53.0,,,72-55,2,J. Smith makes 2-pt shot at rim
5:32.0,Shooting foul by J. Smith (drawn by S. Curry),,72-55,,
5:32.0,S. Curry makes free throw 1 of 2,1,73-55,,
5:32.0,S. Curry makes free throw 2 of 2,1,74-55,,
5:12.0,,,74-55,,J. Smith misses 2-pt shot from 19 ft
5:11.0,Defensive rebound by K. Thompson,,74-55,,
5:05.0,Turnover by K. Thompson (bad pass; steal by K. Singler),,74-55,,
5:00.0,,,74-55,,K. Singler misses 2-pt shot from 1 ft
5:00.0,,,74-55,,Offensive rebound by G. Monroe
5:00.0,Personal foul by S. Curry (drawn by G. Monroe),,74-55,,
