time,Indiana,pts.away,score,pts.home,Oklahoma City
10:11.0,,,69-89,,D. Waiters misses 2-pt shot from 4 ft
10:10.0,,,69-89,,Offensive rebound by N. Collison
10:10.0,,,69-89,,N. Collison misses 2-pt shot from 1 ft
10:09.0,Defensive rebound by R. Stuckey,,69-89,,
9:58.0,L. Scola makes 2-pt shot from 5 ft,2,71-89,,
9:42.0,,,71-91,2,M. McGary makes 2-pt shot from 10 ft (assist by D. Augustin)
9:25.0,L. Scola misses 2-pt shot from 19 ft,,71-91,,
9:24.0,,,71-91,,Defensive rebound by M. McGary
9:15.0,,,71-91,,D. Augustin misses 2-pt shot from 5 ft
9:14.0,Defensive rebound by L. Scola,,71-91,,
9:08.0,C. Watson makes 3-pt shot from 24 ft (assist by R. Stuckey),3,74-91,,
8:46.0,,,74-93,2,D. Waiters makes 2-pt shot from 17 ft
8:34.0,L. Scola makes 2-pt shot from 5 ft (assist by R. Stuckey),2,76-93,,
8:10.0,,,76-95,2,A. Morrow makes 2-pt shot from 14 ft (assist by N. Collison)
7:53.0,,,76-95,,Personal foul by D. Waiters (drawn by R. Stuckey)
7:53.0,G. Hill enters the game for D. Rudez,,76-95,,
7:46.0,Turnover by C. Watson (bad pass; steal by M. McGary),,76-95,,
7:36.0,,,76-97,2,A. Morrow makes 2-pt shot from 11 ft
7:27.0,Indiana full timeout,,76-97,,
7:27.0,D. West enters the game for I. Mahinmi,,76-97,,
7:27.0,C. Miles enters the game for C. Watson,,76-97,,
7:09.0,L. Scola misses 2-pt shot from 5 ft,,76-97,,
7:08.0,,,76-97,,Defensive rebound by N. Collison
7:01.0,,,76-97,,D. Waiters misses 3-pt shot from 22 ft
7:00.0,,,76-97,,Offensive rebound by N. Collison
7:00.0,,,76-99,2,N. Collison makes 2-pt shot from 1 ft
6:45.0,D. West makes 2-pt shot from 14 ft (assist by G. Hill),2,78-99,,
6:28.0,,,78-99,,A. Morrow misses 2-pt shot from 22 ft
6:25.0,,,78-99,,Offensive rebound by M. McGary
6:24.0,,,78-99,,Shooting foul by G. Hill (drawn by N. Collison)
6:24.0,,,78-99,,N. Collison misses free throw 1 of 2
6:24.0,,,78-99,,Offensive rebound by Team
6:24.0,,,78-100,1,N. Collison makes free throw 2 of 2
6:21.0,,,78-100,,Personal foul by D. Waiters (drawn by R. Stuckey)
6:17.0,Turnover by D. West (bad pass; steal by M. McGary),,78-100,,
6:13.0,,,78-100,,M. McGary misses 2-pt shot from 2 ft
6:12.0,Defensive rebound by D. West,,78-100,,
6:07.0,G. Hill makes 2-pt shot from 17 ft,2,80-100,,
5:43.0,,,80-100,,M. McGary misses 2-pt shot from 17 ft
5:42.0,Defensive rebound by R. Stuckey,,80-100,,
5:27.0,D. West misses 2-pt shot from 18 ft,,80-100,,
5:26.0,,,80-100,,Defensive rebound by D. Augustin
5:17.0,,,80-103,3,D. Waiters makes 3-pt shot from 22 ft (assist by D. Augustin)
5:02.0,Official timeout,,80-103,,
5:02.0,,,80-103,,P. Jones enters the game for A. Morrow
5:02.0,,,80-103,,J. Lamb enters the game for N. Collison
5:02.0,C. Copeland enters the game for D. West,,80-103,,
5:02.0,D. Sloan enters the game for C. Miles,,80-103,,
5:02.0,D. Rudez enters the game for G. Hill,,80-103,,
5:02.0,S. Hill enters the game for R. Stuckey,,80-103,,
5:02.0,L. Allen enters the game for L. Scola,,80-103,,
4:55.0,S. Hill makes 2-pt shot at rim (assist by L. Allen),2,82-103,,
