time,Minnesota,pts.away,score,pts.home,New Orleans
9:02.0,Turnover by A. Wiggins (lost ball; steal by T. Evans),,49-53,,
8:58.0,,,49-55,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
8:35.0,A. Payne misses 2-pt shot from 20 ft,,49-55,,
8:34.0,,,49-55,,Defensive rebound by Q. Pondexter
8:18.0,,,49-57,2,T. Evans makes 2-pt shot from 2 ft
8:09.0,Turnover by A. Payne (offensive goaltending),,49-57,,
7:53.0,,,49-59,2,A. Davis makes 2-pt shot from 1 ft
7:30.0,A. Payne makes 2-pt shot from 2 ft (assist by Z. LaVine),2,51-59,,
7:07.0,,,51-61,2,A. Davis makes 2-pt shot from 3 ft (assist by E. Gordon)
7:07.0,,,51-61,,Shooting foul by J. Hamilton (drawn by A. Davis)
7:07.0,,,51-62,1,A. Davis makes free throw 1 of 1
6:48.0,Z. LaVine makes 2-pt shot from 3 ft,2,53-62,,
6:35.0,,,53-64,2,Q. Pondexter makes 2-pt shot at rim (assist by T. Evans)
6:33.0,Minnesota full timeout,,53-64,,
6:15.0,A. Payne misses 2-pt shot from 3 ft,,53-64,,
6:14.0,Offensive rebound by J. Hamilton,,53-64,,
6:13.0,J. Hamilton misses 2-pt shot from 3 ft (block by T. Evans),,53-64,,
6:12.0,Offensive rebound by J. Hamilton,,53-64,,
6:06.0,J. Hamilton makes 2-pt shot from 15 ft,2,55-64,,
5:47.0,,,55-66,2,T. Evans makes 2-pt shot from 1 ft
5:27.0,Shooting foul by O. Asik (drawn by A. Wiggins),,55-66,,
5:27.0,A. Wiggins makes free throw 1 of 2,1,56-66,,
5:27.0,A. Wiggins makes free throw 2 of 2,1,57-66,,
5:06.0,,,57-66,,E. Gordon misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by L. Brown,,57-66,,
4:52.0,Z. LaVine misses 3-pt shot from 27 ft,,57-66,,
4:52.0,,,57-66,,Defensive rebound by E. Gordon
4:45.0,,,57-68,2,T. Evans makes 2-pt shot from 2 ft
4:17.0,,,57-68,,Personal foul by Q. Pondexter (drawn by A. Wiggins)
