time,Indiana,pts.away,score,pts.home,Washington
11:16.0,Defensive rebound by S. Hill,,61-66,,
10:58.0,Shooting foul by G. Temple (drawn by C. Miles),,61-66,,
10:58.0,C. Miles makes free throw 1 of 2,1,62-66,,
10:58.0,C. Miles makes free throw 2 of 2,1,63-66,,
10:40.0,,,63-69,3,G. Temple makes 3-pt shot from 25 ft (assist by O. Porter)
10:25.0,,,63-69,,Personal foul by A. Miller (drawn by S. Hill)
10:11.0,S. Hill misses 2-pt shot from 15 ft,,63-69,,
10:10.0,,,63-69,,Defensive rebound by G. Temple
10:04.0,Personal foul by L. Allen (drawn by K. Seraphin),,63-69,,
9:48.0,,,63-69,,G. Temple misses 2-pt shot from 9 ft
9:47.0,Defensive rebound by C. Miles,,63-69,,
9:34.0,C. Miles misses 2-pt shot from 22 ft,,63-69,,
9:32.0,Offensive rebound by L. Allen,,63-69,,
9:29.0,D. Rudez misses 3-pt shot from 26 ft,,63-69,,
9:29.0,Offensive rebound by Team,,63-69,,
9:29.0,,,63-69,,Loose ball foul by K. Seraphin (drawn by I. Mahinmi)
9:18.0,D. Rudez makes 2-pt shot from 21 ft (assist by S. Hill),2,65-69,,
9:02.0,,,65-69,,O. Porter misses 2-pt shot from 19 ft
9:01.0,,,65-69,,Offensive rebound by A. Miller
8:55.0,,,65-69,,D. Gooden misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by C. Miles,,65-69,,
8:46.0,,,65-69,,Personal block foul by D. Gooden (drawn by S. Hill)
8:46.0,Official timeout,,65-69,,
8:46.0,,,65-69,,N. Hilario enters the game for D. Gooden
8:46.0,,,65-69,,P. Pierce enters the game for G. Temple
8:39.0,Turnover by I. Mahinmi (bad pass),,65-69,,
8:20.0,,,65-71,2,K. Seraphin makes 2-pt shot from 2 ft
8:09.0,,,65-71,,Personal foul by O. Porter (drawn by S. Hill)
8:09.0,S. Hill makes free throw 1 of 2,1,66-71,,
8:09.0,S. Hill misses free throw 2 of 2,,66-71,,
8:08.0,Offensive rebound by Team,,66-71,,
8:06.0,C. Miles misses 2-pt shot from 16 ft,,66-71,,
8:04.0,,,66-71,,Defensive rebound by A. Miller
7:52.0,,,66-73,2,K. Seraphin makes 2-pt shot from 3 ft (assist by N. Hilario)
7:33.0,C. Miles misses 2-pt shot from 1 ft,,66-73,,
7:32.0,Offensive rebound by L. Allen,,66-73,,
7:31.0,Turnover by L. Allen (traveling),,66-73,,
7:14.0,,,66-73,,N. Hilario misses 2-pt shot at rim (block by I. Mahinmi)
7:11.0,Defensive rebound by L. Allen,,66-73,,
7:06.0,S. Hill makes 2-pt shot from 1 ft,2,68-73,,
6:43.0,,,68-73,,Offensive foul by K. Seraphin
6:43.0,,,68-73,,Turnover by K. Seraphin (offensive foul)
6:43.0,C. Copeland enters the game for D. Rudez,,68-73,,
6:43.0,D. Sloan enters the game for C. Miles,,68-73,,
6:43.0,,,68-73,,M. Gortat enters the game for K. Seraphin
6:43.0,,,68-73,,J. Wall enters the game for A. Miller
6:19.0,D. Sloan makes 2-pt shot from 10 ft,2,70-73,,
6:02.0,,,70-73,,Shooting foul by I. Mahinmi (drawn by J. Wall)
6:02.0,,,70-74,1,J. Wall makes free throw 1 of 2
6:02.0,,,70-75,1,J. Wall makes free throw 2 of 2
5:43.0,I. Mahinmi makes 2-pt shot at rim,2,72-75,,
5:36.0,,,72-75,,Turnover by J. Wall (step out of bounds)
5:36.0,,,72-75,,Washington full timeout
5:36.0,,,72-75,,G. Temple enters the game for O. Porter
5:13.0,C. Copeland makes 2-pt shot from 6 ft,2,74-75,,
4:50.0,,,74-77,2,P. Pierce makes 2-pt shot from 17 ft (assist by J. Wall)
4:33.0,Turnover by D. Sloan (lost ball; steal by J. Wall),,74-77,,
4:33.0,Personal foul by D. Sloan (drawn by P. Pierce),,74-77,,
4:18.0,,,74-77,,G. Temple misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by I. Mahinmi,,74-77,,
4:07.0,C. Copeland makes 3-pt shot from 26 ft (assist by D. Sloan),3,77-77,,
3:51.0,Personal foul by S. Hill (drawn by N. Hilario),,77-77,,
3:42.0,,,77-79,2,J. Wall makes 2-pt shot from 17 ft (assist by N. Hilario)
3:19.0,L. Allen misses 2-pt shot from 17 ft,,77-79,,
3:17.0,,,77-79,,Defensive rebound by J. Wall
3:02.0,,,77-79,,Turnover by J. Wall (lost ball; steal by C. Copeland)
2:58.0,Turnover by C. Copeland (bad pass; steal by G. Temple),,77-79,,
2:45.0,,,77-81,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall)
2:37.0,Indiana full timeout,,77-81,,
2:22.0,Shooting foul by P. Pierce (drawn by D. Sloan),,77-81,,
2:22.0,D. Sloan makes free throw 1 of 2,1,78-81,,
2:22.0,D. Sloan misses free throw 2 of 2,,78-81,,
2:21.0,,,78-81,,Defensive rebound by M. Gortat
2:06.0,,,78-81,,Shooting foul by I. Mahinmi (drawn by M. Gortat)
2:06.0,,,78-82,1,M. Gortat makes free throw 1 of 2
2:06.0,R. Hibbert enters the game for I. Mahinmi,,78-82,,
2:06.0,,,78-82,,M. Gortat misses free throw 2 of 2
2:05.0,Defensive rebound by C. Copeland,,78-82,,
