time,Indiana,pts.away,score,pts.home,Memphis
4:48.0,C. Miles misses 3-pt shot from 26 ft,,31-39,,
4:46.0,,,31-39,,Defensive rebound by N. Calathes
4:40.0,,,31-41,2,N. Calathes makes 2-pt shot from 5 ft
4:24.0,Turnover by G. Hill (lost ball; steal by N. Calathes),,31-41,,
4:23.0,Personal take foul by D. West (drawn by N. Calathes),,31-41,,
4:23.0,,,31-41,,Z. Randolph enters the game for V. Carter
4:23.0,,,31-41,,N. Calathes misses free throw 1 of 2
4:23.0,,,31-41,,Offensive rebound by Team
4:23.0,,,31-42,1,N. Calathes makes free throw 2 of 2
4:04.0,C. Miles makes 2-pt shot from 4 ft (assist by R. Stuckey),2,33-42,,
3:49.0,Personal foul by C. Miles (drawn by K. Koufos),,33-42,,
3:49.0,,,33-43,1,K. Koufos makes free throw 1 of 2
3:49.0,,,33-44,1,K. Koufos makes free throw 2 of 2
3:40.0,,,33-44,,Personal foul by K. Koufos (drawn by C. Miles)
3:37.0,R. Stuckey misses 2-pt shot at rim,,33-44,,
3:35.0,,,33-44,,Defensive rebound by Z. Randolph
3:16.0,,,33-46,2,J. Adams makes 2-pt shot from 1 ft (assist by N. Calathes)
3:12.0,Indiana full timeout,,33-46,,
3:12.0,R. Hibbert enters the game for R. Stuckey,,33-46,,
3:12.0,S. Hill enters the game for L. Allen,,33-46,,
2:50.0,C. Miles misses 2-pt shot from 8 ft,,33-46,,
2:48.0,,,33-46,,Defensive rebound by J. Adams
2:45.0,,,33-46,,J. Green misses 2-pt shot from 3 ft (block by G. Hill)
2:43.0,Defensive rebound by G. Hill,,33-46,,
2:43.0,,,33-46,,Personal foul by K. Koufos (drawn by G. Hill)
2:43.0,Indiana full timeout,,33-46,,
2:43.0,,,33-46,,M. Gasol enters the game for K. Koufos
2:35.0,G. Hill misses 2-pt shot from 16 ft,,33-46,,
2:33.0,Offensive rebound by S. Hill,,33-46,,
2:28.0,C. Miles makes 3-pt shot from 25 ft (assist by S. Hill),3,36-46,,
2:07.0,,,36-48,2,M. Gasol makes 2-pt shot from 11 ft
1:51.0,R. Hibbert makes 2-pt shot from 17 ft (assist by G. Hill),2,38-48,,
1:31.0,,,38-50,2,Z. Randolph makes 2-pt shot from 16 ft
1:14.0,C. Miles makes 3-pt shot from 26 ft (assist by G. Hill),3,41-50,,
0:55.0,,,41-52,2,M. Gasol makes 2-pt shot from 16 ft (assist by N. Calathes)
0:33.0,D. West misses 2-pt shot from 8 ft,,41-52,,
0:32.0,,,41-52,,Defensive rebound by M. Gasol
0:14.0,,,41-54,2,J. Adams makes 2-pt shot from 12 ft
0:05.0,,,41-54,,Personal take foul by N. Calathes (drawn by G. Hill)
0:05.0,,,41-54,,C. Lee enters the game for Z. Randolph
0:02.0,C. Miles misses 3-pt shot from 25 ft,,41-54,,
0:01.0,Offensive rebound by S. Hill,,41-54,,
0:01.0,S. Hill misses 2-pt shot from 1 ft,,41-54,,
0:00.0,Offensive rebound by Team,,41-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. West misses 2-pt shot from 14 ft (block by M. Gasol),,41-54,,
11:41.0,,,41-54,,Defensive rebound by Z. Randolph
11:18.0,,,41-54,,J. Green misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by D. West,,41-54,,
11:04.0,S. Hill misses 2-pt shot from 8 ft,,41-54,,
11:03.0,,,41-54,,Defensive rebound by Z. Randolph
10:44.0,,,41-54,,C. Lee misses 2-pt shot from 14 ft
10:41.0,Defensive rebound by R. Hibbert,,41-54,,
10:36.0,C. Miles misses 2-pt shot from 2 ft (block by C. Lee),,41-54,,
10:32.0,,,41-54,,Defensive rebound by M. Gasol
10:29.0,,,41-54,,B. Udrih misses 2-pt shot from 11 ft
10:26.0,Defensive rebound by R. Hibbert,,41-54,,
10:15.0,G. Hill makes 2-pt shot from 14 ft,2,43-54,,
9:53.0,Personal foul by R. Hibbert (drawn by M. Gasol),,43-54,,
9:39.0,,,43-54,,Turnover by B. Udrih (bad pass; steal by G. Hill)
