time,LA Clippers,pts.away,score,pts.home,Detroit
10:29.0,,,50-54,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Smith)
10:08.0,J. Redick misses 2-pt shot from 21 ft,,50-54,,
10:07.0,,,50-54,,Defensive rebound by G. Monroe
9:56.0,,,50-54,,Turnover by D. Augustin (bad pass; steal by R. Bullock)
9:51.0,R. Bullock makes 2-pt shot at rim,2,52-54,,
9:23.0,,,52-54,,Turnover by Team (shot clock)
9:15.0,,,52-54,,Personal foul by G. Monroe (drawn by B. Griffin)
9:09.0,B. Griffin misses 2-pt shot from 5 ft (block by A. Drummond),,52-54,,
9:06.0,Offensive rebound by C. Paul,,52-54,,
9:01.0,B. Griffin misses 2-pt shot from 4 ft,,52-54,,
9:00.0,Offensive rebound by B. Griffin,,52-54,,
8:59.0,B. Griffin makes 2-pt shot at rim,2,54-54,,
8:38.0,,,54-54,,A. Drummond misses 2-pt shot at rim
8:37.0,,,54-54,,Offensive rebound by A. Drummond
8:36.0,,,54-54,,A. Drummond misses 2-pt shot at rim
8:35.0,Defensive rebound by D. Jordan,,54-54,,
8:24.0,B. Griffin misses 2-pt shot from 16 ft,,54-54,,
8:23.0,,,54-54,,Defensive rebound by G. Monroe
8:19.0,,,54-56,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
8:19.0,,,54-56,,Shooting foul by J. Redick (drawn by A. Drummond)
8:19.0,,,54-56,,A. Drummond misses free throw 1 of 1
8:19.0,Defensive rebound by D. Jordan,,54-56,,
8:04.0,J. Redick misses 3-pt shot from 26 ft,,54-56,,
8:03.0,,,54-56,,Defensive rebound by Team
7:43.0,,,54-56,,K. Caldwell-Pope misses 2-pt shot from 15 ft
7:42.0,,,54-56,,Offensive rebound by A. Drummond
7:40.0,,,54-58,2,A. Drummond makes 2-pt shot at rim
7:22.0,C. Paul makes 2-pt shot from 19 ft,2,56-58,,
6:57.0,,,56-58,,J. Smith misses 2-pt shot from 6 ft
6:55.0,Defensive rebound by B. Griffin,,56-58,,
6:38.0,C. Paul makes 2-pt shot from 6 ft,2,58-58,,
6:38.0,,,58-58,,Detroit full timeout
6:17.0,,,58-60,2,J. Smith makes 2-pt shot from 1 ft
5:46.0,R. Bullock misses 3-pt shot from 26 ft,,58-60,,
5:45.0,,,58-60,,Defensive rebound by Team
5:20.0,,,58-62,2,G. Monroe makes 2-pt shot from 4 ft
4:55.0,B. Griffin makes 2-pt shot from 16 ft,2,60-62,,
4:28.0,,,60-62,,J. Smith misses 2-pt shot from 18 ft
4:28.0,Defensive rebound by Team,,60-62,,
4:28.0,H. Turkoglu enters the game for R. Bullock,,60-62,,
4:28.0,J. Crawford enters the game for J. Redick,,60-62,,
4:12.0,,,60-62,,Personal foul by G. Monroe (drawn by B. Griffin)
4:00.0,C. Paul makes 3-pt shot from 27 ft (assist by J. Crawford),3,63-62,,
3:38.0,,,63-62,,C. Butler enters the game for G. Monroe
3:35.0,,,63-62,,J. Smith misses 2-pt shot from 18 ft
3:34.0,,,63-62,,Offensive rebound by Team
3:22.0,,,63-65,3,D. Augustin makes 3-pt shot from 26 ft
3:08.0,J. Crawford misses 3-pt shot from 26 ft,,63-65,,
3:07.0,,,63-65,,Defensive rebound by A. Drummond
3:02.0,,,63-67,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by J. Smith)
3:02.0,LA Clippers full timeout,,63-67,,
2:47.0,B. Griffin misses 2-pt shot from 5 ft,,63-67,,
2:46.0,Offensive rebound by D. Jordan,,63-67,,
2:44.0,D. Jordan misses 2-pt shot at rim,,63-67,,
2:43.0,,,63-67,,Defensive rebound by C. Butler
2:31.0,,,63-67,,Turnover by J. Smith (lost ball; steal by C. Paul)
2:23.0,Shooting foul by D. Augustin (drawn by C. Paul),,63-67,,
2:23.0,C. Paul makes 2-pt shot from 6 ft,2,65-67,,
2:23.0,C. Paul makes free throw 1 of 1,1,66-67,,
2:03.0,,,66-67,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:02.0,,,66-67,,Offensive rebound by J. Smith
1:56.0,,,66-70,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
1:31.0,C. Paul makes 2-pt shot from 17 ft,2,68-70,,
1:05.0,,,68-70,,D. Augustin misses 2-pt shot from 19 ft
1:03.0,Defensive rebound by D. Jordan,,68-70,,
0:59.0,,,68-70,,Personal foul by C. Butler (drawn by C. Paul)
0:47.0,B. Griffin misses 2-pt shot at rim,,68-70,,
0:46.0,Offensive rebound by D. Jordan,,68-70,,
0:46.0,D. Jordan makes 2-pt shot at rim,2,70-70,,
0:36.0,Personal foul by B. Griffin (drawn by J. Smith),,70-70,,
0:30.0,,,70-73,3,C. Butler makes 3-pt shot from 24 ft (assist by J. Smith)
0:07.0,C. Paul makes 2-pt shot from 17 ft,2,72-73,,
0:02.0,,,72-73,,J. Smith misses 2-pt shot at rim
0:01.0,,,72-73,,Offensive rebound by A. Drummond
0:01.0,,,72-73,,A. Drummond misses 2-pt shot at rim
0:00.0,,,72-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,72-73,,D. Augustin misses 3-pt shot from 26 ft
11:33.0,Defensive rebound by S. Hawes,,72-73,,
11:25.0,,,72-73,,Personal foul by J. Smith (drawn by C. Paul)
11:25.0,,,72-73,,J. Jerebko enters the game for J. Smith
11:25.0,,,72-73,,G. Monroe enters the game for A. Drummond
11:10.0,S. Hawes makes 2-pt shot from 16 ft (assist by H. Turkoglu),2,74-73,,
10:46.0,,,74-73,,Turnover by G. Monroe (bad pass; steal by S. Hawes)
10:37.0,Turnover by S. Hawes (bad pass),,74-73,,
10:16.0,,,74-73,,D. Augustin misses 3-pt shot from 23 ft
10:15.0,Defensive rebound by S. Hawes,,74-73,,
10:09.0,C. Paul misses 2-pt shot from 6 ft,,74-73,,
10:07.0,,,74-73,,Defensive rebound by J. Jerebko
9:57.0,,,74-73,,Offensive charge foul by D. Augustin
9:57.0,,,74-73,,Turnover by D. Augustin (offensive foul)
9:57.0,J. Farmar enters the game for C. Paul,,74-73,,
9:57.0,,,74-73,,S. Dinwiddie enters the game for D. Augustin
9:43.0,Turnover by H. Turkoglu (step out of bounds),,74-73,,
9:26.0,,,74-73,,S. Dinwiddie misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by S. Hawes,,74-73,,
9:05.0,J. Crawford makes 2-pt shot at rim,2,76-73,,
8:50.0,,,76-75,2,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by S. Dinwiddie)
8:32.0,H. Turkoglu misses 3-pt shot from 24 ft,,76-75,,
8:31.0,Offensive rebound by J. Farmar,,76-75,,
8:24.0,J. Crawford makes 3-pt shot from 24 ft (assist by S. Hawes),3,79-75,,
8:08.0,Personal foul by H. Turkoglu (drawn by C. Butler),,79-75,,
8:08.0,Official timeout,,79-75,,
8:01.0,,,79-75,,Turnover by K. Caldwell-Pope (traveling)
7:49.0,J. Crawford misses 2-pt shot from 7 ft,,79-75,,
7:48.0,Offensive rebound by J. Crawford,,79-75,,
7:45.0,J. Crawford makes 2-pt shot at rim,2,81-75,,
7:29.0,,,81-75,,Turnover by C. Butler (bad pass; steal by J. Farmar)
7:15.0,G. Davis makes 2-pt shot at rim (assist by J. Crawford),2,83-75,,
6:59.0,,,83-77,2,J. Jerebko makes 2-pt shot from 20 ft (assist by S. Dinwiddie)
6:42.0,J. Crawford misses 3-pt shot from 26 ft,,83-77,,
6:42.0,,,83-77,,Defensive rebound by G. Monroe
6:30.0,,,83-79,2,S. Dinwiddie makes 2-pt shot from 6 ft
6:16.0,Shooting foul by J. Jerebko (drawn by S. Hawes),,83-79,,
6:16.0,S. Hawes makes free throw 1 of 2,1,84-79,,
6:16.0,,,84-79,,J. Smith enters the game for G. Monroe
6:16.0,,,84-79,,K. Singler enters the game for C. Butler
6:16.0,,,84-79,,A. Drummond enters the game for J. Jerebko
6:16.0,D. Jordan enters the game for G. Davis,,84-79,,
6:16.0,S. Hawes makes free throw 2 of 2,1,85-79,,
6:02.0,,,85-79,,J. Smith misses 2-pt shot at rim
6:01.0,Defensive rebound by J. Farmar,,85-79,,
5:49.0,H. Turkoglu makes 3-pt shot from 26 ft (assist by S. Hawes),3,88-79,,
5:27.0,,,88-82,3,K. Singler makes 3-pt shot from 26 ft (assist by J. Smith)
5:07.0,J. Farmar makes 3-pt shot from 22 ft (assist by J. Crawford),3,91-82,,
4:50.0,,,91-82,,A. Drummond misses 2-pt shot from 7 ft
4:48.0,Defensive rebound by S. Hawes,,91-82,,
4:36.0,J. Crawford makes 2-pt shot at rim,2,93-82,,
4:16.0,,,93-82,,J. Smith misses 2-pt shot from 17 ft
4:15.0,Defensive rebound by J. Crawford,,93-82,,
3:54.0,H. Turkoglu misses 2-pt shot from 17 ft,,93-82,,
3:53.0,,,93-82,,Defensive rebound by A. Drummond
3:46.0,,,93-85,3,S. Dinwiddie makes 3-pt shot from 25 ft
3:20.0,Turnover by H. Turkoglu (lost ball; steal by K. Singler),,93-85,,
3:15.0,,,93-85,,Shooting foul by J. Farmar (drawn by A. Drummond)
3:15.0,,,93-85,,Detroit full timeout
3:15.0,J. Redick enters the game for H. Turkoglu,,93-85,,
3:15.0,B. Griffin enters the game for S. Hawes,,93-85,,
3:15.0,C. Paul enters the game for J. Farmar,,93-85,,
3:15.0,,,93-85,,D. Augustin enters the game for K. Singler
3:15.0,,,93-86,1,A. Drummond makes free throw 1 of 2
3:15.0,,,93-86,,A. Drummond misses free throw 2 of 2
3:15.0,,,93-86,,Offensive rebound by K. Caldwell-Pope
3:10.0,,,93-89,3,D. Augustin makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
2:50.0,J. Crawford misses 2-pt shot from 17 ft,,93-89,,
2:49.0,,,93-89,,Defensive rebound by A. Drummond
2:39.0,,,93-91,2,J. Smith makes 2-pt shot at rim (assist by S. Dinwiddie)
2:39.0,LA Clippers full timeout,,93-91,,
2:25.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,95-91,,
2:12.0,Personal foul by C. Paul (drawn by D. Augustin),,95-91,,
2:03.0,,,95-91,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by J. Redick,,95-91,,
1:48.0,C. Paul makes 3-pt shot from 26 ft (assist by B. Griffin),3,98-91,,
1:48.0,,,98-91,,Detroit full timeout
1:33.0,,,98-91,,S. Dinwiddie misses 2-pt shot at rim (block by D. Jordan)
1:33.0,,,98-91,,Offensive rebound by Team
1:33.0,Jump ball: A. Drummond vs. D. Jordan (D. Augustin gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (D. Augustin gains possession)
1:18.0,,,98-91,,K. Caldwell-Pope misses 3-pt shot from 26 ft (block by J. Crawford)
1:16.0,Defensive rebound by J. Crawford,,98-91,,
0:58.0,J. Crawford makes 3-pt shot from 25 ft,3,101-91,,
0:48.0,,,101-91,,Shooting foul by D. Jordan (drawn by K. Caldwell-Pope)
0:48.0,,,101-92,1,K. Caldwell-Pope makes free throw 1 of 2
0:48.0,H. Turkoglu enters the game for D. Jordan,,101-92,,
0:48.0,,,101-93,1,K. Caldwell-Pope makes free throw 2 of 2
0:37.0,Turnover by C. Paul (lost ball; steal by K. Caldwell-Pope),,101-93,,
0:37.0,Loose ball foul by C. Paul (drawn by K. Caldwell-Pope),,101-93,,
0:37.0,,,101-94,1,K. Caldwell-Pope makes free throw 1 of 2
0:37.0,,,101-95,1,K. Caldwell-Pope makes free throw 2 of 2
0:27.0,,,101-95,,Personal foul by K. Caldwell-Pope (drawn by B. Griffin)
0:27.0,LA Clippers full timeout,,101-95,,
0:23.0,Turnover by J. Crawford (back court),,101-95,,
