time,LA Clippers,pts.away,score,pts.home,Charlotte
3:23.0,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul),2,73-61,,
3:23.0,,,73-61,,Charlotte full timeout
3:23.0,,,73-61,,B. Biyombo enters the game for A. Jefferson
3:06.0,,,73-61,,B. Roberts misses 3-pt shot from 28 ft
3:04.0,Defensive rebound by C. Paul,,73-61,,
2:55.0,C. Paul makes 2-pt shot from 19 ft,2,75-61,,
2:31.0,,,75-63,2,B. Roberts makes 2-pt shot from 18 ft (assist by K. Walker)
2:18.0,,,75-63,,Personal foul by C. Zeller (drawn by D. Jordan)
2:18.0,D. Jordan misses free throw 1 of 2,,75-63,,
2:18.0,Offensive rebound by Team,,75-63,,
2:18.0,J. Crawford enters the game for J. Redick,,75-63,,
2:18.0,D. Jordan makes free throw 2 of 2,1,76-63,,
2:02.0,,,76-63,,Shooting foul by H. Turkoglu (drawn by G. Neal)
2:02.0,,,76-64,1,G. Neal makes free throw 1 of 2
2:02.0,S. Hawes enters the game for D. Jordan,,76-64,,
2:02.0,,,76-64,,G. Neal misses free throw 2 of 2
2:00.0,Defensive rebound by B. Griffin,,76-64,,
1:48.0,C. Paul misses 2-pt shot from 16 ft,,76-64,,
1:47.0,,,76-64,,Defensive rebound by B. Biyombo
1:39.0,,,76-66,2,G. Neal makes 2-pt shot from 12 ft
1:23.0,H. Turkoglu makes 2-pt shot from 3 ft,2,78-66,,
1:11.0,,,78-66,,G. Neal misses 3-pt shot from 25 ft
1:09.0,,,78-66,,Offensive rebound by Team
1:09.0,J. Farmar enters the game for C. Paul,,78-66,,
1:09.0,Jump ball: S. Hawes vs. C. Zeller (K. Walker gains possession),,,,Jump ball: S. Hawes vs. C. Zeller (K. Walker gains possession)
1:00.0,,,78-66,,G. Neal misses 2-pt shot from 7 ft
1:00.0,Defensive rebound by Team,,78-66,,
0:44.0,H. Turkoglu misses 3-pt shot from 24 ft,,78-66,,
0:43.0,,,78-66,,Defensive rebound by Team
0:43.0,G. Davis enters the game for B. Griffin,,78-66,,
0:35.0,Personal foul by J. Farmar (drawn by K. Walker),,78-66,,
0:35.0,,,78-67,1,K. Walker makes free throw 1 of 2
0:35.0,,,78-67,,G. Henderson enters the game for G. Neal
0:35.0,,,78-68,1,K. Walker makes free throw 2 of 2
0:24.0,J. Crawford misses 2-pt shot from 4 ft (block by B. Biyombo),,78-68,,
0:24.0,Offensive rebound by Team,,78-68,,
0:15.0,J. Farmar misses 3-pt shot from 25 ft,,78-68,,
0:14.0,,,78-68,,Defensive rebound by K. Walker
0:02.0,Personal foul by H. Turkoglu (drawn by G. Henderson),,78-68,,
0:02.0,,,78-69,1,G. Henderson makes free throw 1 of 2
0:02.0,,,78-70,1,G. Henderson makes free throw 2 of 2
0:00.0,J. Crawford misses 3-pt shot from 56 ft,,78-70,,
0:00.0,Offensive rebound by Team,,78-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,G. Davis misses 2-pt shot from 2 ft (block by K. Walker),,78-70,,
11:44.0,,,78-70,,Defensive rebound by Team
11:35.0,,,78-70,,Offensive charge foul by C. Zeller
11:35.0,,,78-70,,Turnover by C. Zeller (offensive foul)
11:24.0,H. Turkoglu misses 2-pt shot from 19 ft,,78-70,,
11:23.0,,,78-70,,Defensive rebound by B. Biyombo
11:10.0,,,78-70,,K. Walker misses 2-pt shot from 4 ft
11:07.0,Defensive rebound by Team,,78-70,,
10:51.0,Turnover by J. Farmar (bad pass; steal by K. Walker),,78-70,,
10:42.0,,,78-70,,Shooting foul by S. Hawes (drawn by C. Zeller)
10:42.0,,,78-71,1,C. Zeller makes free throw 1 of 2
10:42.0,,,78-72,1,C. Zeller makes free throw 2 of 2
10:29.0,J. Crawford makes 2-pt shot from 17 ft (assist by S. Hawes),2,80-72,,
10:17.0,Personal foul by J. Crawford (drawn by B. Roberts),,80-72,,
10:07.0,,,80-74,2,B. Roberts makes 2-pt shot from 19 ft
9:50.0,J. Farmar makes 3-pt shot from 26 ft,3,83-74,,
9:34.0,,,83-74,,G. Henderson misses 2-pt shot from 21 ft
9:34.0,,,83-74,,Offensive rebound by B. Biyombo
9:34.0,,,83-74,,Shooting foul by G. Davis (drawn by B. Biyombo)
9:34.0,,,83-75,1,B. Biyombo makes free throw 1 of 2
9:34.0,,,83-75,,B. Biyombo misses free throw 2 of 2
9:31.0,Defensive rebound by G. Davis,,83-75,,
9:17.0,J. Crawford misses 3-pt shot from 25 ft,,83-75,,
9:16.0,,,83-75,,Defensive rebound by B. Biyombo
9:08.0,,,83-77,2,K. Walker makes 2-pt shot from 18 ft
9:08.0,LA Clippers full timeout,,83-77,,
9:08.0,B. Griffin enters the game for J. Farmar,,83-77,,
9:08.0,C. Paul enters the game for G. Davis,,83-77,,
8:56.0,S. Hawes misses 3-pt shot from 27 ft,,83-77,,
8:55.0,,,83-77,,Defensive rebound by B. Biyombo
8:39.0,,,83-77,,Turnover by C. Zeller (traveling)
8:39.0,D. Jordan enters the game for H. Turkoglu,,83-77,,
8:39.0,J. Redick enters the game for S. Hawes,,83-77,,
8:20.0,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin),3,86-77,,
8:01.0,,,86-77,,B. Roberts misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by J. Crawford,,86-77,,
7:46.0,,,86-77,,Personal block foul by C. Zeller (drawn by J. Redick)
7:46.0,,,86-77,,M. Williams enters the game for C. Zeller
7:46.0,,,86-77,,A. Jefferson enters the game for B. Biyombo
7:32.0,B. Griffin misses 2-pt shot from 10 ft,,86-77,,
7:31.0,Offensive rebound by D. Jordan,,86-77,,
7:31.0,D. Jordan makes 2-pt shot at rim,2,88-77,,
7:21.0,Personal foul by C. Paul (drawn by K. Walker),,88-77,,
7:06.0,,,88-80,3,M. Williams makes 3-pt shot from 23 ft (assist by B. Roberts)
6:42.0,C. Paul misses 2-pt shot from 12 ft,,88-80,,
6:40.0,,,88-80,,Defensive rebound by A. Jefferson
6:26.0,,,88-82,2,G. Henderson makes 2-pt shot at rim (assist by A. Jefferson)
6:11.0,,,88-82,,Personal foul by K. Walker (drawn by C. Paul)
5:56.0,J. Crawford makes 3-pt shot from 25 ft,3,91-82,,
5:35.0,,,91-82,,G. Henderson misses 2-pt shot from 17 ft
5:34.0,Defensive rebound by B. Griffin,,91-82,,
5:20.0,B. Griffin makes 2-pt shot from 1 ft,2,93-82,,
5:14.0,,,93-82,,Charlotte full timeout
5:08.0,,,93-82,,B. Roberts misses 3-pt shot from 26 ft
5:08.0,,,93-82,,Offensive rebound by Team
5:08.0,Loose ball foul by J. Redick (drawn by K. Walker),,93-82,,
5:08.0,,,93-83,1,K. Walker makes free throw 1 of 2
5:08.0,,,93-84,1,K. Walker makes free throw 2 of 2
4:53.0,C. Paul makes 2-pt shot from 2 ft,2,95-84,,
4:29.0,,,95-86,2,A. Jefferson makes 2-pt shot from 8 ft (assist by G. Henderson)
3:58.0,B. Griffin misses 2-pt shot from 21 ft,,95-86,,
3:57.0,,,95-86,,Defensive rebound by A. Jefferson
3:48.0,,,95-86,,M. Williams misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by Team,,95-86,,
3:47.0,,,95-86,,Loose ball foul by A. Jefferson (drawn by J. Crawford)
3:32.0,J. Crawford makes 2-pt shot from 12 ft (assist by C. Paul),2,97-86,,
3:14.0,,,97-86,,Turnover by G. Henderson (lost ball)
3:04.0,Shooting foul by G. Henderson (drawn by J. Redick),,97-86,,
3:04.0,J. Redick makes free throw 1 of 3,1,98-86,,
3:04.0,J. Redick makes free throw 2 of 3,1,99-86,,
3:04.0,J. Redick makes free throw 3 of 3,1,100-86,,
2:42.0,,,100-88,2,M. Williams makes 2-pt shot from 17 ft (assist by K. Walker)
2:23.0,J. Crawford makes 2-pt shot from 15 ft (assist by B. Griffin),2,102-88,,
2:11.0,,,102-88,,Shooting foul by B. Griffin (drawn by A. Jefferson)
2:11.0,Official timeout,,102-88,,
2:11.0,,,102-88,,A. Jefferson misses free throw 1 of 2
2:11.0,,,102-88,,Offensive rebound by Team
2:11.0,,,102-88,,A. Jefferson misses free throw 2 of 2
2:10.0,Defensive rebound by B. Griffin,,102-88,,
2:10.0,,,102-88,,Personal take foul by B. Roberts (drawn by D. Jordan)
2:10.0,D. Jordan makes free throw 1 of 2,1,103-88,,
2:10.0,D. Jordan makes free throw 2 of 2,1,104-88,,
1:56.0,,,104-88,,M. Williams misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by C. Paul,,104-88,,
1:36.0,C. Paul misses 3-pt shot from 26 ft,,104-88,,
1:36.0,,,104-88,,Defensive rebound by Team
1:36.0,Loose ball foul by D. Jordan (drawn by A. Jefferson),,104-88,,
1:36.0,,,104-89,1,A. Jefferson makes free throw 1 of 2
1:36.0,,,104-89,,J. Pargo enters the game for G. Henderson
1:36.0,,,104-90,1,A. Jefferson makes free throw 2 of 2
1:24.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin),3,107-90,,
1:12.0,,,107-92,2,J. Pargo makes 2-pt shot from 19 ft (assist by M. Williams)
0:53.0,C. Paul makes 3-pt shot from 26 ft,3,110-92,,
