time,New York,pts.away,score,pts.home,Philadelphia
0:10.0,L. Galloway misses 2-pt shot from 2 ft,,47-40,,
0:10.0,Offensive rebound by A. Stoudemire,,47-40,,
0:10.0,A. Stoudemire makes 2-pt shot at rim,2,49-40,,
0:03.0,,,49-42,2,M. Carter-Williams makes 2-pt shot from 4 ft
0:00.0,L. Galloway misses 3-pt shot from 77 ft,,49-42,,
0:00.0,Offensive rebound by Team,,49-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon),3,52-42,,
11:32.0,,,52-42,,Turnover by H. Sims (lost ball)
11:26.0,C. Anthony makes 3-pt shot from 26 ft (assist by J. Calderon),3,55-42,,
11:25.0,,,55-42,,Philadelphia full timeout
11:13.0,,,55-44,2,H. Sims makes 2-pt shot from 17 ft (assist by R. Covington)
11:01.0,J. Smith makes 2-pt shot from 12 ft (assist by J. Calderon),2,57-44,,
10:46.0,,,57-44,,M. Carter-Williams misses 2-pt shot from 10 ft
10:44.0,Defensive rebound by C. Anthony,,57-44,,
10:37.0,C. Anthony misses 2-pt shot from 6 ft,,57-44,,
10:35.0,,,57-44,,Defensive rebound by K. McDaniels
10:20.0,,,57-44,,H. Sims misses 2-pt shot from 18 ft
10:18.0,,,57-44,,Offensive rebound by M. Carter-Williams
10:13.0,,,57-44,,R. Covington misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by C. Anthony,,57-44,,
10:04.0,J. Calderon misses 3-pt shot from 26 ft,,57-44,,
10:01.0,,,57-44,,Defensive rebound by H. Sims
9:52.0,,,57-44,,Shooting foul by L. Galloway (drawn by M. Carter-Williams)
9:52.0,,,57-45,1,M. Carter-Williams makes free throw 1 of 2
9:52.0,,,57-45,,M. Carter-Williams misses free throw 2 of 2
9:49.0,Defensive rebound by J. Smith,,57-45,,
9:30.0,,,57-45,,Personal foul by M. Carter-Williams (drawn by J. Smith)
9:25.0,L. Galloway makes 2-pt shot from 17 ft (assist by L. Amundson),2,59-45,,
9:08.0,,,59-45,,K. McDaniels misses 2-pt shot from 15 ft (block by L. Galloway)
9:06.0,,,59-45,,Offensive rebound by H. Sims
9:05.0,,,59-45,,H. Sims misses 2-pt shot from 6 ft
9:03.0,,,59-45,,Offensive rebound by K. McDaniels
9:03.0,,,59-45,,K. McDaniels misses 2-pt shot from 1 ft
9:02.0,,,59-45,,Offensive rebound by K. McDaniels
9:02.0,,,59-45,,K. McDaniels misses 2-pt shot from 1 ft
9:00.0,,,59-45,,Offensive rebound by F. Aldemir
8:54.0,,,59-45,,F. Aldemir misses 2-pt shot from 8 ft
8:51.0,Defensive rebound by J. Calderon,,59-45,,
8:49.0,C. Anthony misses 3-pt shot from 26 ft,,59-45,,
8:49.0,,,59-45,,Defensive rebound by M. Carter-Williams
8:49.0,,,59-45,,Shooting foul by L. Amundson (drawn by M. Carter-Williams)
8:49.0,,,59-46,1,M. Carter-Williams makes free throw 1 of 2
8:49.0,,,59-47,1,M. Carter-Williams makes free throw 2 of 2
8:25.0,Turnover by Team (shot clock),,59-47,,
8:11.0,,,59-47,,M. Carter-Williams misses 2-pt shot from 5 ft (block by J. Smith)
8:09.0,,,59-47,,Offensive rebound by H. Sims
8:03.0,,,59-47,,K. McDaniels misses 2-pt shot from 1 ft
8:01.0,Defensive rebound by C. Anthony,,59-47,,
7:47.0,J. Smith makes 2-pt shot from 3 ft (assist by L. Galloway),2,61-47,,
7:39.0,,,61-47,,Shooting foul by L. Amundson (drawn by K. McDaniels)
7:39.0,,,61-48,1,K. McDaniels makes free throw 1 of 2
7:39.0,,,61-49,1,K. McDaniels makes free throw 2 of 2
7:25.0,,,61-49,,Def 3 sec tech foul by F. Aldemir
7:25.0,C. Anthony makes technical free throw,1,62-49,,
7:25.0,,,62-49,,J. Grant enters the game for F. Aldemir
7:19.0,J. Calderon misses 3-pt shot from 25 ft,,62-49,,
7:17.0,,,62-49,,Defensive rebound by Team
7:16.0,,,62-49,,L. Drew enters the game for K. McDaniels
6:59.0,,,62-52,3,R. Covington makes 3-pt shot from 26 ft (assist by L. Drew)
6:44.0,C. Anthony misses 2-pt shot from 17 ft,,62-52,,
6:40.0,,,62-52,,Defensive rebound by H. Sims
6:29.0,,,62-52,,R. Covington misses 3-pt shot from 28 ft
6:28.0,Defensive rebound by L. Galloway,,62-52,,
6:14.0,,,62-52,,Personal foul by R. Covington (drawn by C. Anthony)
6:14.0,,,62-52,,M. Thomas enters the game for H. Sims
6:04.0,L. Amundson misses 2-pt shot from 19 ft,,62-52,,
6:03.0,,,62-52,,Defensive rebound by M. Thomas
5:50.0,,,62-52,,M. Carter-Williams misses 2-pt shot from 3 ft
5:48.0,Defensive rebound by L. Amundson,,62-52,,
5:34.0,C. Anthony makes 2-pt shot from 1 ft (assist by J. Smith),2,64-52,,
5:12.0,,,64-52,,Turnover by L. Drew (bad pass; steal by C. Anthony)
5:06.0,C. Anthony misses 2-pt shot from 1 ft (block by J. Grant),,64-52,,
5:03.0,,,64-52,,Defensive rebound by R. Covington
4:59.0,,,64-55,3,L. Drew makes 3-pt shot from 25 ft (assist by R. Covington)
4:37.0,J. Calderon misses 2-pt shot from 21 ft,,64-55,,
4:36.0,,,64-55,,Defensive rebound by R. Covington
4:20.0,Violation by L. Amundson (kicked ball),,64-55,,
4:20.0,,,64-55,,H. Thompson enters the game for R. Covington
4:20.0,A. Stoudemire enters the game for L. Amundson,,64-55,,
4:20.0,,,64-55,,J. Sampson enters the game for J. Grant
4:20.0,,,64-55,,K. McDaniels enters the game for M. Carter-Williams
4:20.0,L. Thomas enters the game for J. Smith,,64-55,,
4:12.0,,,64-55,,H. Thompson misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by A. Stoudemire,,64-55,,
3:51.0,L. Thomas makes 2-pt shot from 4 ft (assist by C. Anthony),2,66-55,,
3:33.0,,,66-55,,Turnover by M. Thomas (bad pass; steal by C. Anthony)
3:11.0,A. Stoudemire makes 2-pt shot from 7 ft,2,68-55,,
2:56.0,,,68-57,2,M. Thomas makes 2-pt shot from 2 ft (assist by K. McDaniels)
2:56.0,,,68-57,,Shooting foul by A. Stoudemire (drawn by M. Thomas)
2:56.0,New York full timeout,,68-57,,
2:56.0,T. Hardaway enters the game for J. Calderon,,68-57,,
2:56.0,Violation by A. Stoudemire (lane),,68-57,,
2:56.0,,,68-57,,M. Thomas misses free throw 1 of 1
2:53.0,,,68-57,,Offensive rebound by H. Thompson
2:46.0,,,68-60,3,K. McDaniels makes 3-pt shot from 25 ft (assist by L. Drew)
2:26.0,L. Galloway makes 2-pt shot from 1 ft (assist by L. Thomas),2,70-60,,
2:26.0,Shooting foul by M. Thomas (drawn by L. Galloway),,70-60,,
2:26.0,L. Galloway misses free throw 1 of 1,,70-60,,
2:25.0,Offensive rebound by L. Thomas,,70-60,,
2:24.0,L. Thomas makes 2-pt shot from 1 ft,2,72-60,,
1:59.0,,,72-60,,L. Drew misses 3-pt shot from 26 ft
1:58.0,Defensive rebound by A. Stoudemire,,72-60,,
1:50.0,C. Anthony misses 3-pt shot from 24 ft,,72-60,,
1:49.0,,,72-60,,Defensive rebound by Team
1:49.0,Loose ball foul by A. Stoudemire (drawn by M. Thomas),,72-60,,
