time,Charlotte,pts.away,score,pts.home,Orlando
5:38.0,,,87-68,,Orlando full timeout
5:38.0,G. Henderson enters the game for G. Neal,,87-68,,
5:18.0,,,87-68,,T. Harris misses 2-pt shot at rim (block by K. Walker)
5:13.0,,,87-68,,Offensive rebound by T. Harris
5:13.0,,,87-70,2,T. Harris makes 2-pt shot from 1 ft
4:50.0,G. Henderson misses 3-pt shot from 26 ft,,87-70,,
4:49.0,Offensive rebound by J. Maxiell,,87-70,,
4:31.0,K. Walker misses 2-pt shot from 18 ft,,87-70,,
4:30.0,,,87-70,,Defensive rebound by E. Payton
4:21.0,,,87-70,,E. Fournier misses 2-pt shot from 17 ft
4:20.0,Defensive rebound by K. Walker,,87-70,,
3:56.0,M. Kidd-Gilchrist misses 2-pt shot from 8 ft,,87-70,,
3:55.0,,,87-70,,Defensive rebound by N. Vucevic
3:49.0,,,87-72,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
3:32.0,K. Walker misses 3-pt shot from 30 ft,,87-72,,
3:31.0,,,87-72,,Defensive rebound by E. Payton
3:22.0,,,87-75,3,V. Oladipo makes 3-pt shot from 22 ft (assist by E. Fournier)
3:22.0,Charlotte full timeout,,87-75,,
2:58.0,G. Henderson misses 2-pt shot from 12 ft,,87-75,,
2:57.0,Offensive rebound by J. Maxiell,,87-75,,
2:34.0,M. Williams misses 3-pt shot from 26 ft,,87-75,,
2:31.0,,,87-75,,Defensive rebound by E. Fournier
2:25.0,,,87-75,,Shooting foul by G. Henderson (drawn by T. Harris)
2:25.0,,,87-75,,T. Harris misses free throw 1 of 2
