time,Miami,pts.away,score,pts.home,Cleveland
3:11.0,,,68-83,1,T. Mozgov makes free throw 2 of 2
3:03.0,M. Chalmers misses 2-pt shot from 2 ft (block by J. Smith),,68-83,,
3:01.0,,,68-83,,Defensive rebound by J. Smith
2:55.0,,,68-83,,I. Shumpert misses 2-pt shot from 20 ft
2:54.0,Defensive rebound by M. Chalmers,,68-83,,
2:50.0,J. Ennis makes 2-pt shot at rim (assist by M. Chalmers),2,70-83,,
2:33.0,,,70-83,,Turnover by K. Irving (bad pass)
2:33.0,Miami full timeout,,70-83,,
2:33.0,,,70-83,,L. James enters the game for T. Mozgov
2:11.0,C. Andersen makes 2-pt shot at rim (assist by H. Walker),2,72-83,,
1:49.0,,,72-83,,Turnover by K. Irving (bad pass; steal by H. Walker)
1:30.0,T. Johnson misses 2-pt shot from 7 ft,,72-83,,
1:29.0,,,72-83,,Defensive rebound by T. Thompson
1:17.0,,,72-85,2,L. James makes 2-pt shot at rim
1:17.0,,,72-85,,Shooting foul by H. Walker (drawn by L. James)
1:17.0,,,72-85,,M. Dellavedova enters the game for K. Irving
1:17.0,L. Deng enters the game for J. Ennis,,72-85,,
1:17.0,,,72-86,1,L. James makes free throw 1 of 1
0:55.0,H. Walker misses 2-pt shot from 6 ft,,72-86,,
0:54.0,,,72-86,,Defensive rebound by T. Thompson
0:39.0,,,72-88,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
0:29.0,Offensive foul by M. Chalmers,,72-88,,
0:29.0,Turnover by M. Chalmers (offensive foul),,72-88,,
0:09.0,,,72-91,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
0:00.0,M. Chalmers misses 3-pt shot from 25 ft,,72-91,,
0:00.0,Offensive rebound by Team,,72-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,L. Deng misses 2-pt shot from 10 ft,,72-91,,
11:40.0,Offensive rebound by L. Deng,,72-91,,
11:37.0,Turnover by L. Deng (bad pass; steal by I. Shumpert),,72-91,,
11:32.0,,,72-91,,J. Smith misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by Team,,72-91,,
11:31.0,G. Dragic enters the game for T. Johnson,,72-91,,
11:16.0,Turnover by C. Andersen (bad pass),,72-91,,
11:01.0,,,72-91,,L. James misses 2-pt shot from 18 ft
11:00.0,,,72-91,,Offensive rebound by L. James
10:56.0,,,72-93,2,L. James makes 2-pt shot from 1 ft
10:39.0,Shooting foul by J. Smith (drawn by M. Chalmers),,72-93,,
10:39.0,M. Chalmers makes free throw 1 of 2,1,73-93,,
10:39.0,H. Whiteside enters the game for C. Andersen,,73-93,,
10:39.0,J. Ennis enters the game for H. Walker,,73-93,,
10:39.0,M. Chalmers makes free throw 2 of 2,1,74-93,,
