time,Utah,pts.away,score,pts.home,Toronto
6:07.0,E. Kanter makes free throw 1 of 2,1,84-89,,
6:07.0,E. Kanter makes free throw 2 of 2,1,85-89,,
5:53.0,,,85-92,3,P. Patterson makes 3-pt shot from 23 ft (assist by L. Williams)
5:34.0,E. Kanter misses 2-pt shot from 5 ft,,85-92,,
5:33.0,,,85-92,,Defensive rebound by D. DeRozan
5:17.0,,,85-94,2,L. Williams makes 2-pt shot from 18 ft
5:02.0,T. Burke misses 2-pt shot from 5 ft,,85-94,,
5:01.0,Offensive rebound by E. Kanter,,85-94,,
5:01.0,,,85-94,,Personal foul by K. Lowry (drawn by E. Kanter)
5:01.0,E. Kanter misses free throw 1 of 2,,85-94,,
5:01.0,Offensive rebound by Team,,85-94,,
5:01.0,D. Favors enters the game for J. Ingles,,85-94,,
5:01.0,E. Kanter makes free throw 2 of 2,1,86-94,,
4:48.0,,,86-94,,Shooting foul by T. Burke (drawn by L. Williams)
4:48.0,,,86-95,1,L. Williams makes free throw 1 of 3
4:48.0,,,86-96,1,L. Williams makes free throw 2 of 3
4:48.0,D. Exum enters the game for T. Burke,,86-96,,
4:48.0,,,86-97,1,L. Williams makes free throw 3 of 3
4:30.0,D. Exum misses 2-pt shot from 20 ft,,86-97,,
4:28.0,,,86-97,,Defensive rebound by L. Williams
4:24.0,,,86-99,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
4:24.0,Utah full timeout,,86-99,,
4:24.0,T. Burke enters the game for T. Booker,,86-99,,
4:24.0,G. Hayward enters the game for D. Exum,,86-99,,
4:08.0,G. Hayward misses 2-pt shot from 5 ft,,86-99,,
4:07.0,Offensive rebound by D. Favors,,86-99,,
4:05.0,D. Favors makes 2-pt shot from 2 ft,2,88-99,,
3:53.0,,,88-99,,L. Williams misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by A. Burks,,88-99,,
3:44.0,Turnover by A. Burks (bad pass; steal by L. Williams),,88-99,,
3:40.0,,,88-99,,Shooting foul by G. Hayward (drawn by D. DeRozan)
3:40.0,,,88-100,1,D. DeRozan makes free throw 1 of 2
3:40.0,,,88-101,1,D. DeRozan makes free throw 2 of 2
3:26.0,T. Burke misses 2-pt shot from 2 ft,,88-101,,
3:25.0,,,88-101,,Defensive rebound by J. Valanciunas
3:08.0,,,88-104,3,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry)
3:00.0,,,88-104,,Personal foul by K. Lowry (drawn by T. Burke)
3:00.0,T. Burke makes free throw 1 of 2,1,89-104,,
3:00.0,D. Exum enters the game for G. Hayward,,89-104,,
3:00.0,R. Gobert enters the game for D. Favors,,89-104,,
3:00.0,T. Burke makes free throw 2 of 2,1,90-104,,
2:39.0,,,90-106,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
2:17.0,T. Burke misses 2-pt shot from 2 ft (block by J. Valanciunas),,90-106,,
2:15.0,Offensive rebound by R. Gobert,,90-106,,
2:11.0,T. Burke misses 2-pt shot from 19 ft,,90-106,,
2:10.0,Offensive rebound by R. Gobert,,90-106,,
