time,San Antonio,pts.away,score,pts.home,Washington
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,J. Ayres makes 2-pt shot at rim (assist by M. Ginobili),2,74-75,,
11:29.0,,,74-75,,K. Humphries misses 2-pt shot from 17 ft
11:28.0,Defensive rebound by P. Mills,,74-75,,
11:07.0,T. Parker misses 2-pt shot from 3 ft (block by K. Humphries),,74-75,,
11:07.0,Offensive rebound by Team,,74-75,,
11:07.0,,,74-75,,K. Seraphin enters the game for M. Gortat
11:05.0,P. Mills misses 2-pt shot from 18 ft,,74-75,,
11:05.0,Offensive rebound by Team,,74-75,,
11:05.0,Turnover by Team (shot clock),,74-75,,
10:43.0,,,74-75,,J. Wall misses 2-pt shot from 8 ft
10:42.0,,,74-75,,Offensive rebound by K. Humphries
10:40.0,,,74-75,,K. Humphries misses 2-pt shot from 3 ft
10:39.0,Defensive rebound by J. Ayres,,74-75,,
10:36.0,M. Ginobili misses 2-pt shot from 4 ft (block by J. Wall),,74-75,,
10:36.0,Offensive rebound by Team,,74-75,,
10:23.0,M. Ginobili misses 3-pt shot from 25 ft,,74-75,,
10:23.0,,,74-75,,Defensive rebound by K. Humphries
10:13.0,Personal foul by M. Ginobili (drawn by K. Humphries),,74-75,,
10:13.0,,,74-75,,A. Miller enters the game for J. Wall
10:09.0,,,74-75,,B. Beal misses 2-pt shot from 19 ft
10:08.0,Defensive rebound by J. Ayres,,74-75,,
9:59.0,B. Diaw makes 2-pt shot from 6 ft,2,76-75,,
9:45.0,,,76-77,2,K. Humphries makes 2-pt shot from 16 ft (assist by A. Miller)
9:30.0,T. Parker misses 2-pt shot from 16 ft,,76-77,,
9:29.0,,,76-77,,Defensive rebound by K. Humphries
9:18.0,,,76-77,,K. Seraphin misses 2-pt shot from 14 ft
9:17.0,Defensive rebound by B. Diaw,,76-77,,
8:56.0,T. Parker makes 2-pt shot from 16 ft,2,78-77,,
8:39.0,,,78-79,2,R. Butler makes 2-pt shot from 2 ft
8:38.0,San Antonio full timeout,,78-79,,
8:38.0,D. Green enters the game for M. Ginobili,,78-79,,
8:15.0,T. Parker misses 3-pt shot from 26 ft,,78-79,,
8:14.0,,,78-79,,Defensive rebound by Team
7:57.0,,,78-81,2,K. Seraphin makes 2-pt shot from 9 ft
7:42.0,Shooting foul by K. Humphries (drawn by B. Diaw),,78-81,,
7:42.0,B. Diaw makes 2-pt shot from 8 ft,2,80-81,,
7:42.0,B. Diaw misses free throw 1 of 1,,80-81,,
7:41.0,,,80-81,,Defensive rebound by B. Beal
7:27.0,,,80-83,2,K. Seraphin makes 2-pt shot from 7 ft (assist by B. Beal)
7:13.0,J. Ayres makes 2-pt shot from 9 ft (assist by B. Diaw),2,82-83,,
7:04.0,,,82-83,,Turnover by K. Seraphin (traveling)
6:50.0,J. Ayres makes 2-pt shot from 6 ft (assist by D. Green),2,84-83,,
6:50.0,Shooting foul by R. Butler (drawn by J. Ayres),,84-83,,
6:50.0,J. Ayres makes free throw 1 of 1,1,85-83,,
6:34.0,,,85-83,,B. Beal misses 2-pt shot at rim
6:33.0,,,85-83,,Offensive rebound by K. Seraphin
6:33.0,,,85-85,2,K. Seraphin makes 2-pt shot at rim
6:33.0,,,85-85,,Shooting foul by J. Ayres (drawn by K. Seraphin)
6:33.0,,,85-86,1,K. Seraphin makes free throw 1 of 1
6:19.0,,,85-86,,Personal foul by K. Seraphin (drawn by B. Diaw)
6:09.0,B. Diaw makes 2-pt shot from 1 ft,2,87-86,,
5:47.0,,,87-86,,K. Humphries misses 2-pt shot from 14 ft
5:46.0,,,87-86,,Offensive rebound by K. Seraphin
5:44.0,,,87-88,2,K. Seraphin makes 2-pt shot from 1 ft
5:24.0,B. Diaw misses 2-pt shot from 7 ft,,87-88,,
5:23.0,,,87-88,,Defensive rebound by K. Humphries
5:10.0,,,87-90,2,A. Miller makes 2-pt shot from 1 ft
4:49.0,J. Ayres misses 2-pt shot from 1 ft (block by K. Seraphin),,87-90,,
4:48.0,,,87-90,,Defensive rebound by K. Seraphin
4:41.0,,,87-92,2,K. Humphries makes 2-pt shot at rim (assist by K. Seraphin)
