time,San Antonio,pts.away,score,pts.home,Portland
3:35.0,,,37-38,,L. Aldridge enters the game for J. Freeland
3:35.0,M. Belinelli enters the game for C. Joseph,,37-38,,
3:22.0,,,37-38,,Shooting foul by A. Baynes (drawn by D. Lillard)
3:22.0,,,37-39,1,D. Lillard makes free throw 1 of 2
3:22.0,,,37-40,1,D. Lillard makes free throw 2 of 2
3:07.0,D. Green misses 3-pt shot from 22 ft,,37-40,,
3:05.0,,,37-40,,Defensive rebound by D. Lillard
2:56.0,,,37-42,2,D. Lillard makes 2-pt shot at rim
2:56.0,San Antonio full timeout,,37-42,,
2:43.0,A. Baynes misses 2-pt shot from 18 ft,,37-42,,
2:40.0,,,37-42,,Defensive rebound by L. Aldridge
2:34.0,,,37-42,,D. Lillard misses 2-pt shot from 5 ft (block by D. Green)
2:32.0,Defensive rebound by B. Diaw,,37-42,,
2:28.0,A. Baynes makes 2-pt shot from 1 ft (assist by B. Diaw),2,39-42,,
2:07.0,,,39-44,2,L. Aldridge makes 2-pt shot from 14 ft (assist by N. Batum)
1:52.0,M. Belinelli misses 2-pt shot from 5 ft,,39-44,,
1:51.0,,,39-44,,Defensive rebound by R. Lopez
1:51.0,Personal foul by M. Belinelli (drawn by R. Lopez),,39-44,,
1:51.0,,,39-45,1,R. Lopez makes free throw 1 of 2
1:51.0,,,39-46,1,R. Lopez makes free throw 2 of 2
1:40.0,Turnover by D. Green (bad pass),,39-46,,
1:25.0,,,39-46,,Turnover by L. Aldridge (palming)
1:02.0,A. Baynes makes 2-pt shot at rim (assist by B. Diaw),2,41-46,,
0:47.0,,,41-48,2,R. Lopez makes 2-pt shot from 2 ft (assist by N. Batum)
0:39.0,,,41-48,,Personal foul by D. Lillard (drawn by K. Leonard)
0:39.0,K. Leonard makes free throw 1 of 2,1,42-48,,
0:39.0,,,42-48,,S. Blake enters the game for D. Lillard
0:39.0,K. Leonard makes free throw 2 of 2,1,43-48,,
0:31.0,,,43-48,,R. Lopez misses 2-pt shot from 5 ft
0:28.0,Defensive rebound by M. Belinelli,,43-48,,
0:18.0,San Antonio full timeout,,43-48,,
0:05.0,K. Leonard misses 2-pt shot from 7 ft,,43-48,,
0:05.0,,,43-48,,Defensive rebound by R. Lopez
0:00.0,,,43-48,,S. Blake misses 2-pt shot from 1 ft
0:00.0,,,43-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,43-50,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard)
11:21.0,K. Leonard makes 2-pt shot from 7 ft (assist by B. Diaw),2,45-50,,
10:57.0,,,45-50,,D. Lillard misses 2-pt shot from 3 ft
10:55.0,Defensive rebound by A. Baynes,,45-50,,
10:36.0,D. Green misses 2-pt shot from 16 ft,,45-50,,
10:36.0,,,45-50,,Defensive rebound by D. Lillard
10:27.0,,,45-50,,R. Lopez misses 2-pt shot from 13 ft
10:26.0,Defensive rebound by A. Baynes,,45-50,,
10:17.0,K. Leonard misses 2-pt shot from 8 ft,,45-50,,
10:15.0,,,45-50,,Defensive rebound by L. Aldridge
10:06.0,,,45-52,2,N. Batum makes 2-pt shot from 20 ft
9:49.0,C. Joseph makes 3-pt shot from 23 ft (assist by K. Leonard),3,48-52,,
9:25.0,,,48-54,2,L. Aldridge makes 2-pt shot from 14 ft
9:07.0,B. Diaw misses 2-pt shot from 11 ft,,48-54,,
9:06.0,,,48-54,,Defensive rebound by R. Lopez
8:53.0,,,48-54,,L. Aldridge misses 2-pt shot from 12 ft
8:52.0,Defensive rebound by K. Leonard,,48-54,,
8:43.0,K. Leonard misses 2-pt shot from 1 ft,,48-54,,
8:42.0,Offensive rebound by A. Baynes,,48-54,,
8:42.0,A. Baynes makes 2-pt shot from 1 ft,2,50-54,,
8:37.0,,,50-54,,Turnover by L. Aldridge (inbound)
8:23.0,B. Diaw misses 3-pt shot from 25 ft,,50-54,,
8:21.0,,,50-54,,Defensive rebound by R. Lopez
8:15.0,Personal foul by B. Diaw (drawn by L. Aldridge),,50-54,,
7:58.0,,,50-54,,N. Batum misses 3-pt shot from 24 ft
7:57.0,,,50-54,,Offensive rebound by Team
7:57.0,,,50-54,,C. Kaman enters the game for R. Lopez
7:43.0,,,50-54,,L. Aldridge misses 2-pt shot from 3 ft
7:42.0,Defensive rebound by A. Baynes,,50-54,,
7:24.0,A. Baynes misses 2-pt shot from 5 ft,,50-54,,
7:24.0,,,50-54,,Defensive rebound by D. Lillard
7:12.0,,,50-54,,W. Matthews misses 2-pt shot from 6 ft
7:11.0,Defensive rebound by K. Leonard,,50-54,,
7:06.0,,,50-54,,Personal foul by W. Matthews (drawn by K. Leonard)
7:06.0,San Antonio full timeout,,50-54,,
6:51.0,K. Leonard misses 2-pt shot from 14 ft,,50-54,,
6:51.0,,,50-54,,Defensive rebound by L. Aldridge
6:36.0,,,50-56,2,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum)
6:22.0,B. Diaw makes 2-pt shot from 5 ft,2,52-56,,
6:22.0,Shooting foul by L. Aldridge (drawn by B. Diaw),,52-56,,
6:22.0,J. Ayres enters the game for A. Baynes,,52-56,,
6:22.0,B. Diaw misses free throw 1 of 1,,52-56,,
6:21.0,,,52-56,,Defensive rebound by L. Aldridge
6:04.0,,,52-58,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lillard)
5:39.0,D. Green makes 2-pt shot from 21 ft (assist by B. Diaw),2,54-58,,
5:25.0,,,54-58,,D. Lillard misses 2-pt shot from 2 ft
5:24.0,,,54-58,,Offensive rebound by L. Aldridge
