time,Phoenix,pts.away,score,pts.home,LA Lakers
5:07.0,,,73-69,2,R. Price makes 2-pt shot from 1 ft
4:58.0,G. Dragic misses 2-pt shot from 12 ft,,73-69,,
4:56.0,,,73-69,,Defensive rebound by K. Bryant
4:51.0,,,73-71,2,E. Davis makes 2-pt shot from 1 ft (assist by K. Bryant)
4:25.0,M. Morris makes 2-pt shot from 13 ft (assist by E. Bledsoe),2,75-71,,
4:12.0,,,75-71,,Shooting foul by A. Len (drawn by E. Davis)
4:12.0,,,75-71,,LA Lakers full timeout
4:12.0,M. Plumlee enters the game for A. Len,,75-71,,
4:12.0,G. Green enters the game for G. Dragic,,75-71,,
4:12.0,,,75-71,,C. Boozer enters the game for J. Hill
4:12.0,,,75-71,,E. Davis misses free throw 1 of 2
4:12.0,,,75-71,,Offensive rebound by Team
4:12.0,,,75-71,,E. Davis misses free throw 2 of 2
4:11.0,Defensive rebound by E. Bledsoe,,75-71,,
3:46.0,E. Bledsoe misses 2-pt shot from 19 ft,,75-71,,
3:45.0,,,75-71,,Defensive rebound by K. Bryant
3:40.0,,,75-74,3,K. Bryant makes 3-pt shot from 26 ft
3:19.0,G. Green misses 2-pt shot from 2 ft (block by W. Johnson),,75-74,,
3:19.0,Offensive rebound by Team,,75-74,,
3:19.0,M. Morris enters the game for M. Morris,,75-74,,
3:19.0,,,75-74,,N. Young enters the game for R. Price
3:19.0,,,75-74,,J. Lin enters the game for W. Johnson
3:15.0,M. Morris misses 2-pt shot from 19 ft,,75-74,,
3:12.0,Offensive rebound by G. Green,,75-74,,
3:10.0,G. Green misses 2-pt shot from 5 ft,,75-74,,
3:09.0,Offensive rebound by M. Plumlee,,75-74,,
3:08.0,M. Plumlee makes 2-pt shot from 1 ft,2,77-74,,
2:55.0,,,77-76,2,K. Bryant makes 2-pt shot from 15 ft
2:41.0,E. Bledsoe makes 2-pt shot from 1 ft,2,79-76,,
2:41.0,Shooting foul by E. Davis (drawn by E. Bledsoe),,79-76,,
2:41.0,Phoenix full timeout,,79-76,,
2:41.0,,,79-76,,W. Ellington enters the game for K. Bryant
2:41.0,E. Bledsoe makes free throw 1 of 1,1,80-76,,
2:29.0,,,80-76,,J. Lin misses 2-pt shot from 2 ft
2:27.0,Defensive rebound by P. Tucker,,80-76,,
2:14.0,G. Green makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,83-76,,
1:59.0,,,83-78,2,N. Young makes 2-pt shot from 17 ft
1:42.0,E. Bledsoe makes 3-pt shot from 25 ft,3,86-78,,
1:25.0,,,86-78,,N. Young misses 2-pt shot from 14 ft
1:24.0,Defensive rebound by M. Plumlee,,86-78,,
1:11.0,Turnover by E. Bledsoe (bad pass; steal by C. Boozer),,86-78,,
1:05.0,,,86-81,3,J. Lin makes 3-pt shot from 25 ft (assist by W. Ellington)
0:38.0,E. Bledsoe makes 2-pt shot from 16 ft (assist by M. Morris),2,88-81,,
0:34.0,,,88-81,,Offensive charge foul by J. Lin
0:34.0,,,88-81,,Turnover by J. Lin (offensive foul)
0:34.0,I. Thomas enters the game for P. Tucker,,88-81,,
0:12.0,Turnover by M. Plumlee (bad pass; steal by E. Davis),,88-81,,
0:03.0,,,88-81,,N. Young misses 3-pt shot from 26 ft
0:01.0,,,88-81,,Offensive rebound by E. Davis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,G. Dragic makes 3-pt shot from 23 ft (assist by I. Thomas),3,91-81,,
11:40.0,,,91-81,,Turnover by W. Ellington (bad pass)
11:31.0,G. Green makes 3-pt shot from 25 ft (assist by I. Thomas),3,94-81,,
11:10.0,,,94-83,2,J. Lin makes 2-pt shot from 9 ft
10:46.0,G. Green misses 3-pt shot from 28 ft,,94-83,,
10:45.0,,,94-83,,Defensive rebound by W. Ellington
10:31.0,,,94-83,,R. Sacre misses 2-pt shot from 8 ft
10:30.0,Defensive rebound by G. Dragic,,94-83,,
10:21.0,M. Plumlee makes 2-pt shot from 2 ft (assist by G. Dragic),2,96-83,,
10:00.0,,,96-85,2,C. Boozer makes 2-pt shot from 10 ft
9:40.0,M. Morris makes 2-pt shot from 19 ft,2,98-85,,
9:18.0,,,98-85,,N. Young misses 2-pt shot from 12 ft
9:16.0,Defensive rebound by M. Morris,,98-85,,
9:07.0,G. Dragic misses 3-pt shot from 26 ft,,98-85,,
9:06.0,,,98-85,,Defensive rebound by C. Boozer
8:58.0,Official timeout,,98-85,,
8:44.0,,,98-85,,N. Young misses 3-pt shot from 26 ft
8:42.0,Defensive rebound by G. Green,,98-85,,
8:38.0,Turnover by G. Green (traveling),,98-85,,
8:30.0,Personal foul by M. Morris (drawn by C. Boozer),,98-85,,
8:23.0,,,98-87,2,J. Lin makes 2-pt shot from 2 ft
8:04.0,I. Thomas misses 2-pt shot from 1 ft (block by J. Lin),,98-87,,
8:03.0,,,98-87,,Defensive rebound by J. Lin
7:43.0,,,98-87,,C. Boozer misses 2-pt shot from 2 ft
7:42.0,Defensive rebound by M. Plumlee,,98-87,,
7:30.0,M. Morris misses 2-pt shot from 17 ft,,98-87,,
7:29.0,,,98-87,,Defensive rebound by W. Ellington
7:14.0,,,98-89,2,N. Young makes 2-pt shot from 1 ft
6:52.0,G. Green misses 2-pt shot at rim,,98-89,,
6:50.0,,,98-89,,Defensive rebound by J. Lin
6:45.0,,,98-91,2,W. Ellington makes 2-pt shot from 1 ft (assist by J. Lin)
6:44.0,Phoenix full timeout,,98-91,,
6:44.0,Technical foul by M. Morris,,98-91,,
6:44.0,,,98-91,,K. Bryant enters the game for W. Ellington
6:44.0,E. Bledsoe enters the game for M. Plumlee,,98-91,,
6:44.0,A. Len enters the game for I. Thomas,,98-91,,
6:44.0,M. Morris enters the game for M. Morris,,98-91,,
6:44.0,,,98-92,1,N. Young makes technical free throw
6:20.0,Turnover by Team (shot clock),,98-92,,
6:05.0,,,98-94,2,N. Young makes 2-pt shot from 17 ft
5:47.0,M. Morris makes 2-pt shot from 14 ft (assist by G. Dragic),2,100-94,,
5:47.0,Shooting foul by C. Boozer (drawn by M. Morris),,100-94,,
5:47.0,,,100-94,,E. Davis enters the game for R. Sacre
5:47.0,P. Tucker enters the game for G. Green,,100-94,,
5:47.0,M. Morris misses free throw 1 of 1,,100-94,,
5:45.0,,,100-94,,Defensive rebound by C. Boozer
5:28.0,,,100-97,3,J. Lin makes 3-pt shot from 25 ft
5:11.0,E. Bledsoe misses 2-pt shot from 2 ft,,100-97,,
5:09.0,Offensive rebound by A. Len,,100-97,,
5:09.0,A. Len makes 2-pt shot at rim,2,102-97,,
4:59.0,,,102-97,,Turnover by K. Bryant (bad pass; steal by E. Bledsoe)
4:56.0,Shooting foul by J. Lin (drawn by G. Dragic),,102-97,,
4:56.0,G. Dragic makes free throw 1 of 2,1,103-97,,
4:56.0,G. Dragic makes free throw 2 of 2,1,104-97,,
4:42.0,,,104-97,,K. Bryant misses 3-pt shot from 26 ft
4:41.0,Defensive rebound by A. Len,,104-97,,
4:28.0,,,104-97,,Personal foul by C. Boozer (drawn by A. Len)
4:28.0,,,104-97,,W. Johnson enters the game for C. Boozer
4:17.0,P. Tucker makes 2-pt shot from 19 ft (assist by M. Morris),2,106-97,,
4:04.0,,,106-100,3,W. Johnson makes 3-pt shot from 25 ft (assist by K. Bryant)
3:46.0,Turnover by M. Morris (lost ball; steal by J. Lin),,106-100,,
3:29.0,,,106-100,,N. Young misses 2-pt shot at rim (block by A. Len)
3:29.0,,,106-100,,Offensive rebound by Team
3:26.0,,,106-103,3,W. Johnson makes 3-pt shot from 24 ft (assist by K. Bryant)
3:07.0,E. Bledsoe misses 2-pt shot from 6 ft,,106-103,,
3:06.0,,,106-103,,Defensive rebound by Team
3:06.0,I. Thomas enters the game for A. Len,,106-103,,
2:58.0,Personal foul by G. Dragic (drawn by N. Young),,106-103,,
2:58.0,,,106-103,,LA Lakers full timeout
2:43.0,,,106-103,,N. Young misses 2-pt shot from 15 ft
2:42.0,Defensive rebound by P. Tucker,,106-103,,
2:35.0,E. Bledsoe misses 2-pt shot from 2 ft (block by J. Lin),,106-103,,
2:33.0,,,106-103,,Defensive rebound by W. Johnson
2:21.0,,,106-103,,Shooting foul by G. Dragic (drawn by N. Young)
2:21.0,,,106-104,1,N. Young makes free throw 1 of 2
2:21.0,,,106-105,1,N. Young makes free throw 2 of 2
1:59.0,P. Tucker makes 2-pt shot from 1 ft,2,108-105,,
1:41.0,,,108-105,,J. Lin misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by M. Morris,,108-105,,
1:27.0,,,108-105,,Personal foul by W. Johnson (drawn by M. Morris)
1:11.0,E. Bledsoe misses 2-pt shot from 17 ft,,108-105,,
