time,LA Clippers,pts.away,score,pts.home,San Antonio
2:46.0,LA Clippers full timeout,,69-70,,
2:46.0,D. Jordan misses free throw 1 of 2,,69-70,,
2:46.0,Offensive rebound by Team,,69-70,,
2:46.0,,,69-70,,M. Bonner enters the game for B. Diaw
2:46.0,G. Davis enters the game for D. Jordan,,69-70,,
2:46.0,D. Jordan misses free throw 2 of 2,,69-70,,
2:46.0,,,69-70,,Defensive rebound by Team
2:21.0,,,69-70,,P. Mills misses 3-pt shot from 24 ft
2:20.0,,,69-70,,Offensive rebound by K. Leonard
2:16.0,,,69-70,,P. Mills misses 3-pt shot from 27 ft
2:15.0,Defensive rebound by C. Paul,,69-70,,
2:14.0,,,69-70,,Personal foul by T. Splitter (drawn by C. Paul)
2:14.0,C. Paul makes free throw 1 of 2,1,70-70,,
2:14.0,,,70-70,,B. Diaw enters the game for T. Splitter
2:14.0,C. Paul makes free throw 2 of 2,1,71-70,,
2:02.0,,,71-70,,M. Ginobili misses 2-pt shot from 1 ft
2:01.0,Defensive rebound by J. Crawford,,71-70,,
1:58.0,,,71-70,,Personal block foul by P. Mills (drawn by C. Paul)
1:58.0,C. Paul makes free throw 1 of 2,1,72-70,,
1:58.0,C. Paul makes free throw 2 of 2,1,73-70,,
1:44.0,,,73-70,,P. Mills misses 2-pt shot from 12 ft
1:43.0,Defensive rebound by C. Paul,,73-70,,
1:42.0,,,73-70,,Personal foul by M. Ginobili (drawn by C. Paul)
1:42.0,C. Paul makes free throw 1 of 2,1,74-70,,
1:42.0,,,74-70,,T. Parker enters the game for P. Mills
1:42.0,C. Paul makes free throw 2 of 2,1,75-70,,
1:28.0,Personal foul by G. Davis (drawn by B. Diaw),,75-70,,
1:28.0,,,75-71,1,B. Diaw makes free throw 1 of 2
1:28.0,,,75-71,,D. Green enters the game for K. Leonard
1:28.0,,,75-72,1,B. Diaw makes free throw 2 of 2
1:08.0,A. Rivers makes 2-pt shot from 23 ft,2,77-72,,
0:54.0,,,77-74,2,B. Diaw makes 2-pt shot from 2 ft (assist by M. Ginobili)
0:41.0,C. Paul makes 2-pt shot from 20 ft,2,79-74,,
0:30.0,,,79-74,,D. Green misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by B. Griffin,,79-74,,
0:08.0,J. Crawford makes 2-pt shot from 13 ft,2,81-74,,
0:03.0,Personal foul by C. Paul (drawn by M. Ginobili),,81-74,,
0:03.0,,,81-75,1,M. Ginobili makes free throw 1 of 2
0:03.0,,,81-75,,C. Joseph enters the game for M. Bonner
0:03.0,J. Redick enters the game for C. Paul,,81-75,,
0:03.0,,,81-76,1,M. Ginobili makes free throw 2 of 2
