time,LA Lakers,pts.away,score,pts.home,LA Clippers
8:31.0,,,50-79,1,D. Jordan makes free throw 1 of 2
8:31.0,,,50-80,1,D. Jordan makes free throw 2 of 2
8:11.0,Turnover by K. Bryant (traveling),,50-80,,
7:58.0,,,50-82,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
7:33.0,W. Ellington misses 3-pt shot from 26 ft,,50-82,,
7:32.0,,,50-82,,Defensive rebound by B. Griffin
7:19.0,,,50-82,,Turnover by M. Barnes (bad pass; steal by K. Bryant)
7:14.0,Shooting foul by C. Paul (drawn by J. Hill),,50-82,,
7:14.0,J. Hill misses free throw 1 of 2,,50-82,,
7:14.0,Offensive rebound by Team,,50-82,,
7:14.0,J. Hill makes free throw 2 of 2,1,51-82,,
6:59.0,,,51-85,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul)
6:40.0,K. Bryant misses 2-pt shot from 18 ft,,51-85,,
6:39.0,,,51-85,,Defensive rebound by J. Redick
6:34.0,,,51-85,,M. Barnes misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by N. Young,,51-85,,
6:32.0,,,51-85,,Personal take foul by D. Jordan (drawn by N. Young)
6:24.0,N. Young makes 2-pt shot from 18 ft (assist by K. Bryant),2,53-85,,
5:58.0,,,53-85,,C. Paul misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by K. Bryant,,53-85,,
5:49.0,K. Bryant makes 2-pt shot from 9 ft,2,55-85,,
5:45.0,,,55-85,,LA Clippers full timeout
5:27.0,,,55-87,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
5:02.0,K. Bryant misses 3-pt shot from 26 ft,,55-87,,
5:01.0,,,55-87,,Defensive rebound by M. Barnes
4:53.0,,,55-89,2,M. Barnes makes 2-pt shot at rim (assist by C. Paul)
4:36.0,,,55-89,,Violation by B. Griffin (def goaltending)
4:36.0,W. Ellington makes 2-pt shot from 1 ft,2,57-89,,
4:36.0,,,57-89,,Technical foul by B. Griffin
4:36.0,N. Young makes technical free throw,1,58-89,,
4:36.0,C. Boozer enters the game for E. Davis,,58-89,,
4:36.0,R. Sacre enters the game for J. Hill,,58-89,,
4:22.0,,,58-89,,C. Paul misses 2-pt shot from 14 ft
4:21.0,Defensive rebound by R. Sacre,,58-89,,
4:13.0,N. Young misses 3-pt shot from 24 ft,,58-89,,
4:11.0,Offensive rebound by R. Sacre,,58-89,,
4:09.0,Turnover by R. Sacre (bad pass; steal by C. Paul),,58-89,,
4:04.0,,,58-91,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
3:48.0,K. Bryant makes 2-pt shot from 13 ft,2,60-91,,
3:26.0,Personal foul by C. Boozer (drawn by B. Griffin),,60-91,,
