time,Philadelphia,pts.away,score,pts.home,Brooklyn
0:55.0,T. Wroten misses 2-pt shot from 5 ft,,58-61,,
0:54.0,,,58-61,,Defensive rebound by M. Plumlee
0:48.0,,,58-61,,C. Jefferson misses 2-pt shot at rim
0:46.0,,,58-61,,Offensive rebound by M. Plumlee
0:45.0,,,58-61,,M. Plumlee misses 2-pt shot from 3 ft
0:45.0,Defensive rebound by A. Shved,,58-61,,
0:41.0,T. Wroten misses 2-pt shot at rim (block by B. Bogdanovic),,58-61,,
0:39.0,,,58-61,,Defensive rebound by A. Anderson
0:35.0,,,58-63,2,A. Anderson makes 2-pt shot from 7 ft (assist by J. Jack)
0:19.0,A. Shved misses 3-pt shot from 24 ft,,58-63,,
0:18.0,Offensive rebound by H. Sims,,58-63,,
0:02.0,Shooting foul by J. Jack (drawn by T. Wroten),,58-63,,
0:02.0,T. Wroten makes free throw 1 of 2,1,59-63,,
0:02.0,T. Wroten makes free throw 2 of 2,1,60-63,,
0:00.0,,,60-63,,J. Jack misses 3-pt shot from 49 ft
0:00.0,,,60-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,T. Wroten misses 3-pt shot from 25 ft,,60-63,,
11:37.0,Offensive rebound by A. Shved,,60-63,,
11:36.0,Turnover by Team (shot clock),,60-63,,
11:27.0,,,60-63,,K. Garnett misses 2-pt shot from 1 ft
11:26.0,,,60-63,,Offensive rebound by Team
11:26.0,H. Thompson enters the game for J. Grant,,60-63,,
11:10.0,,,60-65,2,B. Bogdanovic makes 2-pt shot from 11 ft
10:51.0,A. Shved misses 3-pt shot from 28 ft,,60-65,,
10:50.0,,,60-65,,Defensive rebound by Team
10:50.0,N. Noel enters the game for H. Sims,,60-65,,
10:38.0,,,60-67,2,J. Jack makes 2-pt shot from 8 ft
10:20.0,H. Thompson misses 3-pt shot from 23 ft,,60-67,,
10:19.0,,,60-67,,Defensive rebound by K. Garnett
10:12.0,,,60-69,2,C. Jefferson makes 2-pt shot at rim (assist by J. Jack)
10:12.0,Philadelphia full timeout,,60-69,,
10:12.0,M. Carter-Williams enters the game for T. Wroten,,60-69,,
