time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,K. Love misses 3-pt shot from 26 ft,,51-44,,
11:47.0,,,51-44,,Defensive rebound by T. Ross
11:34.0,,,51-46,2,G. Vasquez makes 2-pt shot from 21 ft
11:24.0,Turnover by A. Varejao (bad pass),,51-46,,
11:14.0,,,51-46,,G. Vasquez misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by K. Love,,51-46,,
11:02.0,K. Irving makes 2-pt shot from 3 ft,2,53-46,,
10:46.0,,,53-48,2,K. Lowry makes 2-pt shot from 17 ft (assist by A. Johnson)
10:36.0,Turnover by K. Irving (bad pass),,53-48,,
10:23.0,,,53-48,,Turnover by G. Vasquez (lost ball)
10:08.0,Turnover by L. James (traveling),,53-48,,
9:51.0,,,53-48,,Shooting foul by A. Varejao (drawn by A. Johnson)
9:51.0,,,53-48,,A. Johnson misses free throw 1 of 2
9:51.0,,,53-48,,Offensive rebound by Team
9:51.0,,,53-49,1,A. Johnson makes free throw 2 of 2
9:32.0,L. James misses 2-pt shot from 20 ft,,53-49,,
9:31.0,,,53-49,,Defensive rebound by A. Johnson
9:10.0,,,53-52,3,A. Johnson makes 3-pt shot from 26 ft (assist by G. Vasquez)
8:52.0,L. James makes 2-pt shot from 12 ft,2,55-52,,
8:37.0,,,55-54,2,J. Valanciunas makes 2-pt shot at rim (assist by A. Johnson)
8:17.0,A. Varejao misses 2-pt shot from 1 ft,,55-54,,
8:17.0,Offensive rebound by A. Varejao,,55-54,,
8:06.0,A. Varejao misses 2-pt shot from 11 ft,,55-54,,
8:05.0,Offensive rebound by K. Irving,,55-54,,
7:57.0,S. Marion makes 2-pt shot from 1 ft (assist by L. James),2,57-54,,
7:36.0,,,57-54,,Shooting foul by A. Varejao (drawn by J. Valanciunas)
7:36.0,,,57-55,1,J. Valanciunas makes free throw 1 of 2
7:36.0,T. Thompson enters the game for A. Varejao,,57-55,,
7:36.0,,,57-55,,J. Valanciunas misses free throw 2 of 2
7:35.0,Defensive rebound by K. Love,,57-55,,
7:25.0,L. James misses 2-pt shot from 2 ft,,57-55,,
7:25.0,Offensive rebound by S. Marion,,57-55,,
7:23.0,S. Marion misses 2-pt shot from 3 ft,,57-55,,
7:22.0,,,57-55,,Defensive rebound by T. Ross
7:14.0,,,57-58,3,K. Lowry makes 3-pt shot from 26 ft (assist by G. Vasquez)
6:58.0,K. Irving makes 2-pt shot from 3 ft,2,59-58,,
6:44.0,,,59-58,,G. Vasquez misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by Team,,59-58,,
6:33.0,K. Irving makes 2-pt shot from 4 ft,2,61-58,,
6:10.0,,,61-58,,A. Johnson misses 2-pt shot from 5 ft
6:09.0,Defensive rebound by K. Love,,61-58,,
5:55.0,K. Love makes 2-pt shot from 3 ft (assist by K. Irving),2,63-58,,
5:54.0,,,63-58,,Toronto full timeout
5:54.0,,,63-58,,L. Williams enters the game for G. Vasquez
5:38.0,Personal foul by K. Love (drawn by J. Valanciunas),,63-58,,
5:31.0,,,63-60,2,J. Valanciunas makes 2-pt shot from 4 ft
5:05.0,Shooting foul by A. Johnson (drawn by K. Love),,63-60,,
5:05.0,K. Love makes free throw 1 of 2,1,64-60,,
5:05.0,K. Love makes free throw 2 of 2,1,65-60,,
4:47.0,,,65-60,,T. Ross misses 2-pt shot from 10 ft
4:46.0,Defensive rebound by K. Love,,65-60,,
4:41.0,K. Irving misses 2-pt shot from 2 ft,,65-60,,
4:40.0,Offensive rebound by T. Thompson,,65-60,,
4:37.0,T. Thompson misses 2-pt shot from 1 ft (block by J. Valanciunas),,65-60,,
4:36.0,Offensive rebound by T. Thompson,,65-60,,
4:31.0,K. Irving makes 3-pt shot from 26 ft (assist by T. Thompson),3,68-60,,
4:19.0,,,68-60,,L. Williams misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by L. James,,68-60,,
4:11.0,L. James makes 3-pt shot from 26 ft (assist by K. Irving),3,71-60,,
4:10.0,,,71-60,,Toronto full timeout
4:10.0,,,71-60,,J. Johnson enters the game for T. Ross
4:10.0,,,71-60,,P. Patterson enters the game for A. Johnson
3:58.0,,,71-60,,K. Lowry misses 2-pt shot from 21 ft
3:57.0,Defensive rebound by K. Love,,71-60,,
3:51.0,K. Irving misses 3-pt shot from 24 ft,,71-60,,
3:50.0,,,71-60,,Defensive rebound by K. Lowry
3:44.0,,,71-60,,Turnover by K. Lowry (lost ball; steal by K. Irving)
3:38.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,73-60,,
3:19.0,,,73-60,,J. Valanciunas misses 2-pt shot from 3 ft
3:18.0,Defensive rebound by K. Love,,73-60,,
2:56.0,Turnover by L. James (bad pass),,73-60,,
2:56.0,Cleveland full timeout,,73-60,,
2:56.0,,,73-60,,T. Hansbrough enters the game for J. Valanciunas
2:56.0,,,73-60,,G. Vasquez enters the game for K. Lowry
2:46.0,,,73-60,,J. Johnson misses 2-pt shot from 19 ft
2:45.0,Defensive rebound by L. James,,73-60,,
2:26.0,K. Love misses 3-pt shot from 22 ft,,73-60,,
2:25.0,,,73-60,,Defensive rebound by J. Johnson
2:17.0,,,73-62,2,J. Johnson makes 2-pt shot from 2 ft
1:56.0,K. Irving misses 2-pt shot from 2 ft (block by G. Vasquez),,73-62,,
1:56.0,,,73-62,,Defensive rebound by Team
1:46.0,,,73-62,,Turnover by L. Williams (lost ball; steal by L. James)
1:38.0,L. James makes 3-pt shot from 23 ft (assist by K. Irving),3,76-62,,
1:17.0,,,76-62,,J. Johnson misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by S. Marion,,76-62,,
1:08.0,Turnover by K. Love (lost ball),,76-62,,
1:08.0,D. Waiters enters the game for K. Irving,,76-62,,
1:08.0,J. Jones enters the game for S. Marion,,76-62,,
0:57.0,,,76-62,,L. Williams misses 2-pt shot from 16 ft
0:56.0,,,76-62,,Offensive rebound by J. Johnson
0:51.0,,,76-64,2,L. Williams makes 2-pt shot from 3 ft (assist by J. Johnson)
0:35.0,J. Jones misses 2-pt shot from 12 ft,,76-64,,
0:35.0,,,76-64,,Defensive rebound by Team
0:35.0,Personal foul by T. Thompson (drawn by P. Patterson),,76-64,,
0:25.0,,,76-64,,P. Patterson misses 3-pt shot from 26 ft
