time,New York,pts.away,score,pts.home,Oklahoma City
9:36.0,Personal foul by J. Smith (drawn by N. Collison),,52-84,,
9:31.0,Personal foul by J. Smith (drawn by R. Jackson),,52-84,,
9:17.0,,,52-86,2,R. Jackson makes 2-pt shot from 20 ft
9:03.0,J. Smith makes 2-pt shot from 16 ft (assist by T. Hardaway),2,54-86,,
8:39.0,Official timeout,,54-86,,
8:39.0,,,54-86,,G. Jerrett enters the game for N. Collison
8:28.0,T. Wear makes 2-pt shot from 14 ft (assist by S. Larkin),2,56-86,,
8:03.0,,,56-89,3,A. Morrow makes 3-pt shot from 25 ft (assist by G. Jerrett)
7:48.0,,,56-89,,Personal foul by J. Lamb (drawn by T. Hardaway)
7:42.0,J. Smith misses 2-pt shot from 17 ft,,56-89,,
7:41.0,,,56-89,,Defensive rebound by G. Jerrett
7:20.0,,,56-89,,G. Jerrett misses 3-pt shot from 23 ft
7:19.0,Defensive rebound by S. Dalembert,,56-89,,
7:15.0,,,56-89,,Personal foul by G. Jerrett (drawn by J. Smith)
7:15.0,A. Stoudemire enters the game for S. Dalembert,,56-89,,
7:07.0,T. Hardaway makes 3-pt shot from 22 ft (assist by S. Larkin),3,59-89,,
6:50.0,,,59-92,3,A. Morrow makes 3-pt shot from 22 ft (assist by R. Jackson)
6:34.0,S. Larkin makes 2-pt shot from 1 ft (assist by T. Hardaway),2,61-92,,
6:13.0,,,61-94,2,K. Perkins makes 2-pt shot from 4 ft (assist by J. Lamb)
6:00.0,T. Hardaway misses 3-pt shot from 24 ft,,61-94,,
5:59.0,,,61-94,,Defensive rebound by K. Perkins
5:41.0,,,61-94,,Shooting foul by A. Stoudemire (drawn by K. Perkins)
5:41.0,,,61-94,,Oklahoma City full timeout
5:41.0,,,61-94,,I. Smith enters the game for R. Jackson
5:41.0,,,61-95,1,K. Perkins makes free throw 1 of 2
5:41.0,,,61-96,1,K. Perkins makes free throw 2 of 2
5:31.0,,,61-96,,Personal foul by J. Lamb (drawn by T. Hardaway)
5:16.0,Turnover by A. Stoudemire (lost ball; steal by J. Lamb),,61-96,,
5:11.0,,,61-96,,A. Morrow misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by J. Smith,,61-96,,
5:08.0,Turnover by J. Smith (bad pass; steal by A. Morrow),,61-96,,
5:05.0,,,61-98,2,A. Morrow makes 2-pt shot from 9 ft
4:51.0,J. Smith misses 2-pt shot from 17 ft,,61-98,,
4:50.0,Offensive rebound by A. Stoudemire,,61-98,,
4:48.0,A. Stoudemire makes 2-pt shot at rim,2,63-98,,
4:30.0,,,63-98,,Offensive foul by K. Perkins
4:30.0,,,63-98,,Turnover by K. Perkins (offensive foul)
