time,Washington,pts.away,score,pts.home,Milwaukee
10:14.0,,,79-74,,Technical foul by Team
10:14.0,B. Beal makes technical free throw,1,80-74,,
9:59.0,R. Butler makes 3-pt shot from 25 ft (assist by B. Beal),3,83-74,,
9:43.0,,,83-74,,J. Parker misses 2-pt shot from 17 ft
9:42.0,Defensive rebound by K. Seraphin,,83-74,,
9:34.0,K. Seraphin misses 2-pt shot at rim,,83-74,,
9:32.0,Offensive rebound by A. Miller,,83-74,,
9:26.0,K. Humphries makes 2-pt shot at rim (assist by A. Miller),2,85-74,,
9:17.0,Shooting block foul by B. Beal (drawn by O. Mayo),,85-74,,
9:17.0,,,85-75,1,O. Mayo makes free throw 1 of 2
9:17.0,,,85-75,,L. Sanders enters the game for Z. Pachulia
9:17.0,,,85-76,1,O. Mayo makes free throw 2 of 2
9:01.0,K. Humphries makes 2-pt shot from 10 ft (assist by B. Beal),2,87-76,,
8:56.0,Personal block foul by A. Miller (drawn by J. Parker),,87-76,,
8:56.0,Official timeout,,87-76,,
8:47.0,,,87-78,2,J. Parker makes 2-pt shot from 3 ft (assist by O. Mayo)
8:31.0,,,87-78,,Personal foul by G. Antetokounmpo (drawn by K. Humphries)
8:24.0,A. Miller makes 2-pt shot at rim (assist by B. Beal),2,89-78,,
8:04.0,,,89-78,,J. Bayless misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by Team,,89-78,,
8:04.0,,,89-78,,B. Knight enters the game for J. Bayless
7:52.0,K. Humphries misses 2-pt shot from 14 ft,,89-78,,
7:50.0,Offensive rebound by K. Seraphin,,89-78,,
7:49.0,K. Seraphin makes 2-pt shot at rim,2,91-78,,
7:29.0,,,91-78,,O. Mayo misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by K. Seraphin,,91-78,,
7:15.0,B. Beal makes 2-pt shot from 17 ft (assist by A. Miller),2,93-78,,
7:15.0,,,93-78,,Milwaukee full timeout
7:15.0,,,93-78,,J. Dudley enters the game for G. Antetokounmpo
7:15.0,,,93-78,,E. Ilyasova enters the game for L. Sanders
7:15.0,,,93-78,,K. Middleton enters the game for O. Mayo
7:00.0,,,93-81,3,B. Knight makes 3-pt shot from 26 ft
6:37.0,A. Miller makes 2-pt shot from 7 ft (assist by K. Humphries),2,95-81,,
6:35.0,Personal foul by B. Beal (drawn by B. Knight),,95-81,,
6:27.0,,,95-81,,Turnover by B. Knight (bad pass)
6:12.0,,,95-81,,Personal foul by E. Ilyasova (drawn by K. Humphries)
6:05.0,B. Beal misses 2-pt shot from 19 ft,,95-81,,
6:03.0,Offensive rebound by K. Humphries,,95-81,,
6:03.0,K. Humphries makes 2-pt shot at rim,2,97-81,,
5:52.0,,,97-83,2,B. Knight makes 2-pt shot at rim
5:52.0,,,97-83,,Shooting foul by R. Butler (drawn by B. Knight)
5:52.0,,,97-84,1,B. Knight makes free throw 1 of 1
5:32.0,Turnover by K. Humphries (lost ball; steal by K. Middleton),,97-84,,
