time,Atlanta,pts.away,score,pts.home,Brooklyn
0:45.0,Offensive rebound by P. Millsap,,38-45,,
0:44.0,Shooting foul by J. Johnson (drawn by P. Millsap),,38-45,,
0:44.0,P. Millsap makes free throw 1 of 2,1,39-45,,
0:44.0,D. Schroder enters the game for J. Teague,,39-45,,
0:44.0,S. Mack enters the game for K. Korver,,39-45,,
0:44.0,P. Millsap makes free throw 2 of 2,1,40-45,,
0:28.0,,,40-47,2,A. Anderson makes 2-pt shot from 13 ft (assist by T. Young)
0:26.0,Atlanta full timeout,,40-47,,
0:26.0,,,40-47,,M. Plumlee enters the game for B. Lopez
0:26.0,K. Korver enters the game for S. Mack,,40-47,,
0:04.0,Turnover by Team (shot clock),,40-47,,
0:04.0,,,40-47,,Brooklyn full timeout
0:04.0,P. Antic enters the game for K. Korver,,40-47,,
0:04.0,,,40-47,,B. Lopez enters the game for M. Plumlee
0:04.0,,,40-47,,B. Bogdanovic enters the game for T. Young
0:01.0,,,40-47,,J. Johnson misses 3-pt shot from 29 ft
0:00.0,,,40-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,D. Carroll misses 3-pt shot from 25 ft,,40-47,,
11:38.0,Offensive rebound by Team,,40-47,,
11:38.0,,,40-47,,Loose ball foul by J. Johnson (drawn by P. Millsap)
11:28.0,P. Millsap misses 2-pt shot from 1 ft,,40-47,,
11:27.0,Offensive rebound by P. Millsap,,40-47,,
11:26.0,P. Millsap misses 2-pt shot from 2 ft,,40-47,,
11:25.0,,,40-47,,Defensive rebound by J. Johnson
11:03.0,,,40-47,,Turnover by J. Johnson (lost ball; steal by A. Horford)
11:02.0,,,40-47,,Personal foul by D. Williams (drawn by J. Teague)
10:56.0,J. Teague misses 2-pt shot from 3 ft,,40-47,,
10:55.0,Offensive rebound by J. Teague,,40-47,,
10:52.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,42-47,,
10:35.0,,,42-47,,T. Young misses 2-pt shot from 14 ft
10:34.0,,,42-47,,Offensive rebound by B. Lopez
10:22.0,,,42-47,,T. Young misses 2-pt shot from 2 ft
10:20.0,Defensive rebound by A. Horford,,42-47,,
10:17.0,D. Carroll makes 2-pt shot from 2 ft (assist by A. Horford),2,44-47,,
10:17.0,,,44-47,,Brooklyn full timeout
10:05.0,,,44-47,,Shooting foul by A. Horford (drawn by B. Lopez)
10:05.0,,,44-48,1,B. Lopez makes free throw 1 of 2
10:05.0,,,44-48,,B. Lopez misses free throw 2 of 2
10:04.0,Defensive rebound by D. Carroll,,44-48,,
9:41.0,D. Carroll makes 3-pt shot from 24 ft (assist by A. Horford),3,47-48,,
9:26.0,,,47-50,2,B. Bogdanovic makes 2-pt shot from 17 ft (assist by J. Johnson)
9:01.0,Turnover by D. Carroll (lost ball),,47-50,,
8:51.0,,,47-50,,Shooting foul by A. Horford (drawn by B. Lopez)
8:51.0,,,47-51,1,B. Lopez makes free throw 1 of 2
8:51.0,,,47-52,1,B. Lopez makes free throw 2 of 2
8:41.0,K. Korver misses 3-pt shot from 24 ft,,47-52,,
8:40.0,,,47-52,,Defensive rebound by D. Williams
8:33.0,,,47-52,,D. Williams misses 2-pt shot from 9 ft
8:32.0,Defensive rebound by P. Millsap,,47-52,,
8:29.0,Shooting foul by J. Johnson (drawn by J. Teague),,47-52,,
8:29.0,J. Teague makes free throw 1 of 2,1,48-52,,
8:29.0,J. Teague makes free throw 2 of 2,1,49-52,,
8:15.0,,,49-52,,Turnover by T. Young (lost ball; steal by J. Teague)
8:10.0,D. Carroll makes 2-pt shot at rim (assist by J. Teague),2,51-52,,
7:56.0,,,51-52,,D. Williams misses 2-pt shot from 18 ft
7:55.0,Defensive rebound by D. Carroll,,51-52,,
7:48.0,A. Horford misses 2-pt shot from 13 ft,,51-52,,
7:47.0,,,51-52,,Defensive rebound by B. Bogdanovic
7:33.0,,,51-52,,B. Bogdanovic misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by Team,,51-52,,
7:14.0,A. Horford misses 2-pt shot from 1 ft,,51-52,,
7:12.0,,,51-52,,Defensive rebound by D. Williams
7:07.0,,,51-54,2,J. Johnson makes 2-pt shot from 15 ft (assist by D. Williams)
6:55.0,K. Bazemore enters the game for D. Carroll,,51-54,,
6:55.0,,,51-54,,A. Anderson enters the game for J. Johnson
6:45.0,P. Millsap misses 2-pt shot from 6 ft,,51-54,,
