time,Orlando,pts.away,score,pts.home,Atlanta
5:18.0,,,57-48,,Offensive rebound by Team
5:18.0,,,57-49,1,D. Schroder makes free throw 2 of 2
4:59.0,V. Oladipo makes 3-pt shot from 25 ft,3,60-49,,
4:44.0,,,60-52,3,D. Carroll makes 3-pt shot from 24 ft (assist by P. Millsap)
4:20.0,Offensive charge foul by T. Harris,,60-52,,
4:20.0,Turnover by T. Harris (offensive foul),,60-52,,
4:20.0,,,60-52,,T. Sefolosha enters the game for K. Korver
4:20.0,E. Payton enters the game for T. Harris,,60-52,,
4:08.0,,,60-52,,P. Millsap misses 2-pt shot from 2 ft (block by C. Frye)
4:06.0,Defensive rebound by K. O'Quinn,,60-52,,
4:00.0,Shooting foul by E. Brand (drawn by V. Oladipo),,60-52,,
4:00.0,V. Oladipo makes free throw 1 of 2,1,61-52,,
4:00.0,V. Oladipo misses free throw 2 of 2,,61-52,,
3:58.0,,,61-52,,Defensive rebound by P. Millsap
3:50.0,D. Dedmon enters the game for C. Frye,,61-52,,
3:42.0,,,61-52,,Turnover by D. Schroder (lost ball)
3:30.0,E. Fournier misses 2-pt shot at rim,,61-52,,
3:30.0,,,61-52,,Defensive rebound by P. Millsap
3:30.0,Personal foul by E. Fournier (drawn by P. Millsap),,61-52,,
3:30.0,,,61-53,1,P. Millsap makes free throw 1 of 2
3:30.0,B. Gordon enters the game for E. Fournier,,61-53,,
3:30.0,,,61-53,,P. Millsap misses free throw 2 of 2
3:28.0,Defensive rebound by K. O'Quinn,,61-53,,
3:12.0,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton),3,64-53,,
2:50.0,,,64-56,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
2:29.0,Turnover by E. Payton (bad pass; steal by D. Schroder),,64-56,,
2:26.0,,,64-58,2,D. Carroll makes 2-pt shot at rim (assist by D. Schroder)
2:26.0,,,64-58,,Shooting foul by K. O'Quinn (drawn by D. Carroll)
2:26.0,Orlando full timeout,,64-58,,
2:26.0,,,64-59,1,D. Carroll makes free throw 1 of 1
2:14.0,K. O'Quinn misses 2-pt shot from 19 ft,,64-59,,
2:13.0,,,64-59,,Defensive rebound by T. Sefolosha
2:07.0,,,64-59,,Turnover by P. Millsap (traveling)
1:50.0,V. Oladipo misses 2-pt shot from 15 ft,,64-59,,
1:49.0,,,64-59,,Defensive rebound by T. Sefolosha
1:39.0,,,64-59,,Shooting foul by B. Gordon (drawn by P. Millsap)
1:39.0,,,64-59,,P. Millsap misses free throw 1 of 2
1:39.0,,,64-59,,Offensive rebound by Team
1:39.0,,,64-59,,J. Teague enters the game for D. Carroll
1:39.0,C. Frye enters the game for K. O'Quinn,,64-59,,
1:39.0,W. Green enters the game for V. Oladipo,,64-59,,
1:39.0,,,64-59,,P. Millsap misses free throw 2 of 2
1:37.0,Defensive rebound by Team,,64-59,,
1:28.0,Turnover by E. Payton (lost ball),,64-59,,
1:28.0,,,64-59,,A. Horford enters the game for P. Millsap
1:21.0,Personal foul by E. Payton (drawn by D. Schroder),,64-59,,
1:21.0,,,64-60,1,D. Schroder makes free throw 1 of 2
1:21.0,,,64-61,1,D. Schroder makes free throw 2 of 2
1:07.0,,,64-61,,Violation by T. Sefolosha (kicked ball)
0:59.0,W. Green misses 2-pt shot from 21 ft,,64-61,,
0:58.0,,,64-61,,Defensive rebound by J. Teague
0:40.0,,,64-64,3,A. Horford makes 3-pt shot from 22 ft (assist by D. Schroder)
0:25.0,Turnover by C. Frye (bad pass),,64-64,,
0:25.0,,,64-64,,K. Korver enters the game for T. Sefolosha
0:03.0,,,64-64,,D. Schroder misses 2-pt shot at rim (block by D. Dedmon)
0:03.0,,,64-64,,Offensive rebound by Team
0:03.0,,,64-64,,T. Sefolosha enters the game for J. Teague
0:02.0,,,64-64,,A. Horford misses 2-pt shot from 22 ft
0:01.0,,,64-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,64-64,,Shooting foul by D. Dedmon (drawn by E. Brand)
11:39.0,,,64-64,,E. Brand misses free throw 1 of 2
11:39.0,,,64-64,,Offensive rebound by Team
11:39.0,Violation by D. Dedmon (def goaltending),,64-64,,
11:39.0,,,64-65,1,E. Brand makes free throw 2 of 2
11:15.0,W. Green misses 2-pt shot from 5 ft,,64-65,,
11:14.0,,,64-65,,Defensive rebound by D. Schroder
11:08.0,,,64-65,,Turnover by J. Teague (lost ball; steal by B. Gordon)
10:55.0,W. Green misses 3-pt shot from 25 ft,,64-65,,
10:54.0,,,64-65,,Defensive rebound by A. Horford
10:42.0,,,64-65,,D. Schroder misses 2-pt shot from 21 ft
10:40.0,Defensive rebound by D. Dedmon,,64-65,,
10:33.0,Offensive charge foul by W. Green,,64-65,,
10:33.0,Turnover by W. Green (offensive foul),,64-65,,
10:33.0,E. Fournier enters the game for W. Green,,64-65,,
10:14.0,,,64-65,,J. Teague misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by E. Fournier,,64-65,,
10:04.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton),3,67-65,,
9:45.0,,,67-67,2,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague)
9:32.0,D. Dedmon misses 2-pt shot from 1 ft (block by T. Sefolosha),,67-67,,
9:30.0,,,67-67,,Defensive rebound by E. Brand
9:24.0,,,67-67,,Turnover by E. Brand (bad pass)
9:24.0,,,67-67,,K. Korver enters the game for D. Schroder
9:24.0,,,67-67,,M. Scott enters the game for E. Brand
9:01.0,E. Payton misses 2-pt shot at rim,,67-67,,
8:59.0,Offensive rebound by E. Payton,,67-67,,
8:59.0,E. Payton misses 2-pt shot from 2 ft,,67-67,,
8:58.0,Offensive rebound by C. Frye,,67-67,,
8:58.0,Orlando full timeout,,67-67,,
8:58.0,T. Harris enters the game for C. Frye,,67-67,,
8:58.0,V. Oladipo enters the game for D. Dedmon,,67-67,,
8:58.0,K. O'Quinn enters the game for E. Payton,,67-67,,
8:47.0,T. Harris makes 2-pt shot from 16 ft,2,69-67,,
8:34.0,,,69-69,2,J. Teague makes 2-pt shot from 22 ft (assist by A. Horford)
8:07.0,T. Harris misses 3-pt shot from 23 ft,,69-69,,
8:06.0,,,69-69,,Defensive rebound by A. Horford
7:47.0,,,69-69,,A. Horford misses 2-pt shot from 20 ft
7:46.0,Defensive rebound by V. Oladipo,,69-69,,
7:29.0,T. Harris misses 2-pt shot from 9 ft (block by A. Horford),,69-69,,
7:28.0,Offensive rebound by T. Harris,,69-69,,
7:22.0,E. Fournier misses 3-pt shot from 29 ft,,69-69,,
7:18.0,,,69-69,,Defensive rebound by K. Korver
7:12.0,,,69-69,,Shooting foul by T. Harris (drawn by M. Scott)
7:12.0,,,69-70,1,M. Scott makes free throw 1 of 2
7:12.0,,,69-70,,D. Carroll enters the game for T. Sefolosha
7:12.0,,,69-70,,P. Millsap enters the game for A. Horford
7:12.0,,,69-70,,M. Scott misses free throw 2 of 2
7:10.0,Defensive rebound by T. Harris,,69-70,,
6:57.0,Turnover by V. Oladipo (bad pass; steal by M. Scott),,69-70,,
6:48.0,,,69-70,,D. Carroll misses 3-pt shot from 22 ft
6:47.0,,,69-70,,Offensive rebound by P. Millsap
6:46.0,,,69-70,,P. Millsap misses 2-pt shot from 1 ft (block by T. Harris)
6:44.0,,,69-70,,Offensive rebound by K. Korver
6:42.0,,,69-73,3,K. Korver makes 3-pt shot from 25 ft
6:24.0,Shooting foul by D. Carroll (drawn by K. O'Quinn),,69-73,,
6:24.0,K. O'Quinn makes free throw 1 of 2,1,70-73,,
6:24.0,C. Frye enters the game for B. Gordon,,70-73,,
6:24.0,K. O'Quinn makes free throw 2 of 2,1,71-73,,
6:10.0,,,71-73,,M. Scott misses 2-pt shot from 6 ft
6:09.0,Defensive rebound by K. O'Quinn,,71-73,,
5:48.0,E. Fournier misses 3-pt shot from 27 ft,,71-73,,
5:47.0,,,71-73,,Defensive rebound by P. Millsap
5:34.0,,,71-76,3,P. Millsap makes 3-pt shot from 25 ft (assist by K. Korver)
5:33.0,Orlando full timeout,,71-76,,
5:33.0,Official timeout,,71-76,,
5:33.0,,,71-76,,T. Sefolosha enters the game for K. Korver
