time,Miami,pts.away,score,pts.home,Golden State
2:37.0,L. Deng makes 2-pt shot from 1 ft,2,86-99,,
2:21.0,,,86-99,,K. Thompson misses 3-pt shot from 26 ft
2:20.0,Defensive rebound by C. Bosh,,86-99,,
2:14.0,S. Napier misses 3-pt shot from 26 ft,,86-99,,
2:13.0,,,86-99,,Defensive rebound by K. Thompson
2:00.0,,,86-101,2,A. Iguodala makes 2-pt shot from 1 ft
1:44.0,Shooting foul by K. Thompson (drawn by L. Deng),,86-101,,
1:44.0,L. Deng misses free throw 1 of 2,,86-101,,
1:44.0,Offensive rebound by Team,,86-101,,
1:44.0,J. Hamilton enters the game for C. Bosh,,86-101,,
1:44.0,T. Johnson enters the game for M. Chalmers,,86-101,,
1:44.0,L. Deng makes free throw 2 of 2,1,87-101,,
1:30.0,,,87-101,,Offensive foul by D. Green
1:30.0,,,87-101,,Turnover by D. Green (offensive foul)
1:30.0,J. Ennis enters the game for L. Deng,,87-101,,
1:17.0,J. Hamilton misses 2-pt shot from 3 ft,,87-101,,
1:16.0,,,87-101,,Defensive rebound by S. Curry
1:01.0,,,87-101,,K. Thompson misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by Team,,87-101,,
0:50.0,J. Hamilton misses 2-pt shot from 17 ft,,87-101,,
