time,Atlanta,pts.away,score,pts.home,Charlotte
1:55.0,J. Teague makes 2-pt shot from 9 ft,2,44-45,,
1:32.0,,,44-45,,A. Jefferson misses 2-pt shot from 8 ft
1:32.0,Defensive rebound by Team,,44-45,,
1:15.0,A. Horford misses 2-pt shot from 19 ft,,44-45,,
1:14.0,,,44-45,,Defensive rebound by L. Stephenson
1:01.0,,,44-47,2,A. Jefferson makes 2-pt shot from 1 ft
0:49.0,J. Teague misses 2-pt shot at rim,,44-47,,
0:49.0,Offensive rebound by D. Carroll,,44-47,,
0:49.0,A. Horford makes 2-pt shot from 18 ft (assist by D. Carroll),2,46-47,,
0:32.0,,,46-47,,A. Jefferson misses 2-pt shot from 1 ft (block by A. Horford)
0:30.0,Defensive rebound by K. Korver,,46-47,,
0:27.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver),2,48-47,,
0:04.0,,,48-47,,G. Neal misses 2-pt shot from 19 ft
0:03.0,Defensive rebound by Team,,48-47,,
0:03.0,,,48-47,,Loose ball foul by L. Stephenson (drawn by K. Korver)
0:03.0,K. Korver makes free throw 1 of 2,1,49-47,,
0:03.0,S. Mack enters the game for D. Carroll,,49-47,,
0:03.0,K. Korver makes free throw 2 of 2,1,50-47,,
0:00.0,,,50-47,,K. Walker misses 3-pt shot from 39 ft
0:00.0,,,50-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by J. Teague (bad pass; steal by K. Walker),,50-47,,
11:44.0,Personal foul by P. Millsap (drawn by K. Walker),,50-47,,
11:19.0,,,50-47,,K. Walker misses 2-pt shot from 20 ft
11:19.0,,,50-47,,Offensive rebound by Team
11:19.0,,,50-47,,Turnover by Team (shot clock)
11:03.0,K. Korver makes 2-pt shot from 18 ft (assist by P. Millsap),2,52-47,,
10:51.0,,,52-47,,A. Jefferson misses 2-pt shot from 1 ft
