time,Portland,pts.away,score,pts.home,Toronto
9:01.0,R. Lopez makes 2-pt shot from 17 ft (assist by D. Lillard),2,71-55,,
9:00.0,,,71-55,,Toronto full timeout
8:50.0,,,71-57,2,D. DeRozan makes 2-pt shot from 10 ft
8:35.0,A. Afflalo misses 2-pt shot from 17 ft,,71-57,,
8:34.0,,,71-57,,Defensive rebound by K. Lowry
8:27.0,,,71-59,2,J. Valanciunas makes 2-pt shot from 10 ft (assist by K. Lowry)
8:07.0,,,71-59,,Personal foul by T. Ross (drawn by N. Batum)
8:02.0,D. Lillard makes 2-pt shot from 10 ft (assist by N. Batum),2,73-59,,
7:47.0,,,73-59,,D. DeRozan misses 3-pt shot from 22 ft
7:45.0,Defensive rebound by D. Lillard,,73-59,,
7:39.0,D. Lillard misses 3-pt shot from 24 ft,,73-59,,
7:37.0,Offensive rebound by N. Batum,,73-59,,
7:33.0,Turnover by A. Afflalo (lost ball; steal by D. DeRozan),,73-59,,
7:24.0,,,73-59,,D. DeRozan misses 2-pt shot from 8 ft
7:22.0,Defensive rebound by L. Aldridge,,73-59,,
7:15.0,D. Lillard makes 2-pt shot from 2 ft (assist by N. Batum),2,75-59,,
6:58.0,,,75-61,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by T. Ross)
6:37.0,Shooting foul by J. Valanciunas (drawn by L. Aldridge),,75-61,,
6:37.0,L. Aldridge makes free throw 1 of 2,1,76-61,,
6:37.0,L. Aldridge makes free throw 2 of 2,1,77-61,,
6:23.0,,,77-61,,T. Ross misses 2-pt shot from 6 ft
6:22.0,Defensive rebound by L. Aldridge,,77-61,,
6:18.0,Turnover by D. Lillard (bad pass),,77-61,,
6:18.0,,,77-61,,P. Patterson enters the game for J. Valanciunas
6:01.0,,,77-61,,K. Lowry misses 3-pt shot from 25 ft
6:00.0,,,77-61,,Offensive rebound by D. DeRozan
5:59.0,,,77-63,2,D. DeRozan makes 2-pt shot from 2 ft
