time,Sacramento,pts.away,score,pts.home,Philadelphia
5:46.0,,,75-66,2,N. Noel makes 2-pt shot from 13 ft
5:32.0,Shooting foul by J. Grant (drawn by D. Cousins),,75-66,,
5:32.0,D. Cousins makes free throw 1 of 2,1,76-66,,
5:32.0,D. Williams enters the game for C. Landry,,76-66,,
5:32.0,D. Cousins makes free throw 2 of 2,1,77-66,,
5:21.0,,,77-68,2,I. Canaan makes 2-pt shot from 1 ft
5:11.0,R. McCallum misses 2-pt shot from 1 ft,,77-68,,
5:10.0,,,77-68,,Defensive rebound by N. Noel
5:05.0,,,77-68,,I. Canaan misses 3-pt shot from 27 ft
5:02.0,Defensive rebound by R. Gay,,77-68,,
4:51.0,D. Cousins misses 2-pt shot from 2 ft,,77-68,,
4:50.0,Offensive rebound by D. Cousins,,77-68,,
4:49.0,Shooting foul by N. Noel (drawn by D. Cousins),,77-68,,
4:49.0,D. Cousins misses free throw 1 of 2,,77-68,,
4:49.0,Offensive rebound by Team,,77-68,,
4:49.0,O. Casspi enters the game for B. McLemore,,77-68,,
4:49.0,D. Cousins makes free throw 2 of 2,1,78-68,,
4:36.0,,,78-70,2,L. Mbah a Moute makes 2-pt shot at rim
4:25.0,,,78-70,,Personal foul by J. Grant (drawn by R. Gay)
4:25.0,R. Gay makes free throw 1 of 2,1,79-70,,
4:25.0,,,79-70,,I. Smith enters the game for I. Canaan
4:25.0,R. Gay makes free throw 2 of 2,1,80-70,,
4:13.0,,,80-73,3,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith)
3:58.0,R. McCallum misses 2-pt shot from 1 ft,,80-73,,
3:57.0,,,80-73,,Defensive rebound by R. Covington
3:56.0,Personal foul by R. McCallum (drawn by R. Covington),,80-73,,
3:56.0,A. Miller enters the game for R. McCallum,,80-73,,
3:40.0,,,80-75,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
3:37.0,Sacramento full timeout,,80-75,,
3:37.0,J. Thompson enters the game for D. Cousins,,80-75,,
3:17.0,A. Miller misses 2-pt shot at rim,,80-75,,
3:16.0,,,80-75,,Defensive rebound by N. Noel
3:09.0,,,80-77,2,I. Smith makes 2-pt shot at rim
2:59.0,Turnover by A. Miller (bad pass),,80-77,,
2:59.0,,,80-77,,T. Robinson enters the game for L. Mbah a Moute
2:59.0,,,80-77,,H. Sims enters the game for N. Noel
2:45.0,,,80-77,,Shooting foul by J. Thompson (drawn by J. Grant)
2:45.0,,,80-78,1,J. Grant makes free throw 1 of 2
2:45.0,,,80-78,,H. Thompson enters the game for R. Covington
2:45.0,,,80-78,,J. Grant misses free throw 2 of 2
2:42.0,,,80-78,,Offensive rebound by Team
2:25.0,,,80-81,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
2:07.0,D. Williams makes 2-pt shot from 18 ft (assist by A. Miller),2,82-81,,
1:53.0,,,82-83,2,I. Smith makes 2-pt shot from 4 ft
1:37.0,Turnover by R. Gay (lost ball; steal by J. Grant),,82-83,,
1:32.0,,,82-83,,Shooting foul by J. Thompson (drawn by I. Smith)
1:32.0,,,82-84,1,I. Smith makes free throw 1 of 2
1:32.0,B. McLemore enters the game for R. Gay,,82-84,,
1:32.0,,,82-84,,I. Smith misses free throw 2 of 2
1:29.0,Defensive rebound by D. Williams,,82-84,,
1:11.0,A. Miller misses 2-pt shot from 16 ft,,82-84,,
1:09.0,,,82-84,,Defensive rebound by H. Sims
1:00.0,,,82-86,2,H. Sims makes 2-pt shot at rim (assist by I. Smith)
0:35.0,A. Miller misses 2-pt shot from 6 ft,,82-86,,
0:33.0,,,82-86,,Defensive rebound by T. Robinson
0:26.0,,,82-86,,I. Smith misses 2-pt shot from 6 ft
0:25.0,,,82-86,,Offensive rebound by H. Sims
0:25.0,,,82-88,2,H. Sims makes 2-pt shot at rim
0:02.0,O. Casspi misses 2-pt shot from 6 ft (block by J. Grant),,82-88,,
0:01.0,Offensive rebound by D. Williams,,82-88,,
0:01.0,Turnover by Team (shot clock),,82-88,,
0:00.0,,,82-88,,T. Robinson misses 3-pt shot from 75 ft
0:00.0,,,82-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,82-88,,I. Smith misses 3-pt shot from 26 ft
11:34.0,,,82-88,,Offensive rebound by H. Thompson
11:15.0,,,82-88,,Offensive charge foul by H. Thompson
11:15.0,,,82-88,,Turnover by H. Thompson (offensive foul)
11:01.0,A. Miller misses 2-pt shot from 1 ft,,82-88,,
10:59.0,,,82-88,,Defensive rebound by I. Smith
10:54.0,,,82-91,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
10:30.0,Turnover by B. McLemore (bad pass; steal by H. Thompson),,82-91,,
10:27.0,,,82-93,2,H. Thompson makes 2-pt shot at rim
10:27.0,,,82-93,,Shooting foul by A. Miller (drawn by H. Thompson)
10:27.0,Sacramento full timeout,,82-93,,
10:27.0,,,82-93,,H. Thompson misses free throw 1 of 1
10:25.0,Defensive rebound by D. Cousins,,82-93,,
10:10.0,D. Cousins misses 2-pt shot from 2 ft,,82-93,,
10:09.0,Offensive rebound by A. Miller,,82-93,,
10:05.0,B. McLemore misses 3-pt shot from 25 ft,,82-93,,
10:05.0,Offensive rebound by Team,,82-93,,
10:05.0,,,82-93,,Loose ball foul by T. Robinson (drawn by J. Thompson)
9:59.0,Turnover by B. McLemore (bad pass; steal by H. Thompson),,82-93,,
9:56.0,,,82-93,,Shooting foul by B. McLemore (drawn by J. Grant)
9:56.0,,,82-94,1,J. Grant makes free throw 1 of 2
9:56.0,R. McCallum enters the game for A. Miller,,82-94,,
9:56.0,R. Gay enters the game for D. Williams,,82-94,,
9:56.0,,,82-95,1,J. Grant makes free throw 2 of 2
9:41.0,D. Cousins misses 2-pt shot from 4 ft (block by J. Grant),,82-95,,
9:41.0,Offensive rebound by Team,,82-95,,
9:38.0,R. McCallum makes 2-pt shot from 1 ft (assist by R. Gay),2,84-95,,
9:22.0,,,84-95,,H. Thompson misses 2-pt shot from 21 ft
9:21.0,Defensive rebound by D. Cousins,,84-95,,
9:13.0,J. Thompson misses 2-pt shot from 5 ft (block by H. Thompson),,84-95,,
9:11.0,,,84-95,,Defensive rebound by H. Sims
9:03.0,,,84-95,,Turnover by I. Smith (lost ball)
8:50.0,R. McCallum misses 2-pt shot from 4 ft,,84-95,,
8:48.0,,,84-95,,Defensive rebound by H. Thompson
8:41.0,,,84-95,,Shooting foul by R. McCallum (drawn by I. Smith)
8:41.0,,,84-96,1,I. Smith makes free throw 1 of 2
8:41.0,,,84-96,,I. Smith misses free throw 2 of 2
8:40.0,,,84-96,,Offensive rebound by T. Robinson
