time,Memphis,pts.away,score,pts.home,Dallas
2:36.0,,,105-86,,D. Powell enters the game for R. Jefferson
2:36.0,C. Lee enters the game for M. Gasol,,105-86,,
2:36.0,K. Koufos misses free throw 1 of 2,,105-86,,
2:36.0,Offensive rebound by Team,,105-86,,
2:36.0,K. Koufos makes free throw 2 of 2,1,106-86,,
2:27.0,,,106-86,,Shooting foul by V. Carter (drawn by G. Smith)
2:27.0,,,106-86,,G. Smith misses free throw 1 of 2
2:27.0,,,106-86,,Offensive rebound by Team
2:27.0,,,106-86,,C. Villanueva enters the game for D. Powell
2:27.0,,,106-86,,G. Smith misses free throw 2 of 2
2:26.0,Defensive rebound by K. Koufos,,106-86,,
2:12.0,J. Green misses 2-pt shot from 2 ft,,106-86,,
2:10.0,,,106-86,,Defensive rebound by C. Villanueva
1:59.0,,,106-88,2,G. Smith makes 2-pt shot from 1 ft (assist by J. Barea)
1:39.0,J. Green misses 3-pt shot from 23 ft,,106-88,,
1:37.0,,,106-88,,Defensive rebound by G. Smith
1:32.0,,,106-88,,J. Barea misses 3-pt shot from 27 ft
1:30.0,Defensive rebound by C. Lee,,106-88,,
1:25.0,Memphis full timeout,,106-88,,
1:25.0,J. Adams enters the game for C. Lee,,106-88,,
1:25.0,T. Thomas enters the game for K. Koufos,,106-88,,
1:14.0,J. Adams misses 2-pt shot from 18 ft,,106-88,,
1:13.0,,,106-88,,Defensive rebound by G. Smith
1:00.0,,,106-88,,R. Felton misses 2-pt shot from 22 ft
1:00.0,,,106-88,,Offensive rebound by G. Smith
0:57.0,,,106-88,,A. Aminu misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by J. Green,,106-88,,
0:40.0,V. Carter makes 3-pt shot from 25 ft,3,109-88,,
0:23.0,,,109-90,2,R. Felton makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
