time,New York,pts.away,score,pts.home,Washington
3:36.0,,,79-95,,R. Butler misses 3-pt shot from 29 ft
3:36.0,Defensive rebound by J. Smith,,79-95,,
3:30.0,R. Ledo makes 2-pt shot at rim (assist by L. Galloway),2,81-95,,
3:14.0,,,81-95,,K. Humphries misses 2-pt shot at rim
3:14.0,Defensive rebound by J. Smith,,81-95,,
3:08.0,R. Ledo misses 2-pt shot at rim,,81-95,,
3:06.0,,,81-95,,Defensive rebound by Team
3:06.0,,,81-95,,W. Bynum enters the game for B. Beal
2:54.0,,,81-95,,Offensive foul by R. Butler
2:54.0,,,81-95,,Turnover by R. Butler (offensive foul)
2:54.0,New York full timeout,,81-95,,
2:54.0,L. Amundson enters the game for J. Smith,,81-95,,
2:54.0,C. Aldrich enters the game for Q. Acy,,81-95,,
2:40.0,Shooting foul by W. Bynum (drawn by S. Larkin),,81-95,,
2:40.0,S. Larkin makes free throw 1 of 2,1,82-95,,
2:40.0,S. Larkin makes free throw 2 of 2,1,83-95,,
2:19.0,,,83-95,,K. Humphries misses 2-pt shot from 21 ft
