time,Cleveland,pts.away,score,pts.home,New York
6:00.0,,,78-83,2,S. Larkin makes 2-pt shot from 6 ft
5:55.0,,,78-83,,Personal foul by S. Larkin (drawn by K. Irving)
5:55.0,,,78-83,,New York full timeout
5:55.0,K. Irving makes free throw 1 of 2,1,79-83,,
5:55.0,K. Irving misses free throw 2 of 2,,79-83,,
5:54.0,,,79-83,,Defensive rebound by C. Anthony
5:33.0,,,79-83,,C. Anthony misses 2-pt shot from 13 ft
5:32.0,Defensive rebound by Team,,79-83,,
5:32.0,,,79-83,,Loose ball foul by S. Dalembert (drawn by K. Love)
5:32.0,K. Love makes free throw 1 of 2,1,80-83,,
5:32.0,K. Love makes free throw 2 of 2,1,81-83,,
5:10.0,,,81-83,,T. Hardaway misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by M. Miller,,81-83,,
4:55.0,Turnover by M. Miller (offensive foul),,81-83,,
4:55.0,Offensive foul by M. Miller,,81-83,,
4:55.0,,,81-83,,J. Calderon enters the game for S. Larkin
4:35.0,,,81-85,2,T. Hardaway makes 2-pt shot from 16 ft
4:23.0,A. Varejao makes 2-pt shot from 2 ft (assist by L. James),2,83-85,,
4:17.0,,,83-85,,T. Hardaway misses 3-pt shot from 24 ft
4:16.0,,,83-85,,Offensive rebound by S. Dalembert
4:15.0,Personal foul by A. Varejao (drawn by S. Dalembert),,83-85,,
4:07.0,,,83-85,,Offensive foul by S. Dalembert
4:07.0,,,83-85,,Turnover by S. Dalembert (offensive foul)
4:07.0,,,83-85,,A. Stoudemire enters the game for S. Dalembert
3:57.0,,,83-85,,S. Larkin enters the game for Q. Acy
3:54.0,L. James makes 3-pt shot from 26 ft (assist by K. Irving),3,86-85,,
3:30.0,,,86-85,,Turnover by J. Calderon (bad pass; steal by K. Irving)
3:26.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,88-85,,
3:25.0,,,88-85,,New York full timeout
3:06.0,,,88-87,2,A. Stoudemire makes 2-pt shot from 2 ft
