time,Utah,pts.away,score,pts.home,Sacramento
4:39.0,,,62-60,,R. McCallum misses free throw 1 of 2
4:39.0,,,62-60,,Offensive rebound by Team
4:39.0,J. Cooley enters the game for R. Gobert,,62-60,,
4:39.0,,,62-60,,J. Thompson enters the game for C. Landry
4:39.0,,,62-61,1,R. McCallum makes free throw 2 of 2
4:29.0,E. Millsap makes 2-pt shot from 3 ft,2,64-61,,
4:29.0,Shooting foul by O. Casspi (drawn by E. Millsap),,64-61,,
4:29.0,B. Cotton enters the game for D. Exum,,64-61,,
4:29.0,,,64-61,,N. Stauskas enters the game for O. Casspi
4:29.0,E. Millsap makes free throw 1 of 1,1,65-61,,
4:16.0,,,65-61,,Shooting foul by J. Cooley (drawn by D. Cousins)
4:16.0,,,65-63,2,D. Cousins makes 2-pt shot from 2 ft
4:16.0,,,65-63,,D. Cousins misses free throw 1 of 1
4:14.0,,,65-63,,Offensive rebound by Team
4:01.0,,,65-65,2,D. Cousins makes 2-pt shot from 2 ft
4:01.0,,,65-65,,Shooting foul by T. Booker (drawn by D. Cousins)
4:01.0,,,65-65,,D. Cousins misses free throw 1 of 1
3:59.0,Defensive rebound by J. Cooley,,65-65,,
3:51.0,Shooting foul by R. McCallum (drawn by B. Cotton),,65-65,,
3:51.0,B. Cotton makes free throw 1 of 2,1,66-65,,
3:51.0,B. Cotton makes free throw 2 of 2,1,67-65,,
3:42.0,,,67-65,,R. McCallum misses 2-pt shot from 2 ft
3:41.0,Defensive rebound by J. Cooley,,67-65,,
3:33.0,Turnover by C. Johnson (step out of bounds),,67-65,,
3:33.0,,,67-65,,D. Williams enters the game for D. Cousins
3:23.0,,,67-65,,R. McCallum misses 2-pt shot from 4 ft
3:22.0,Defensive rebound by J. Cooley,,67-65,,
3:11.0,T. Booker misses 2-pt shot from 5 ft,,67-65,,
3:10.0,Offensive rebound by J. Cooley,,67-65,,
3:04.0,Turnover by E. Millsap (lost ball; steal by B. McLemore),,67-65,,
2:59.0,,,67-65,,R. McCallum misses 2-pt shot from 1 ft (block by T. Booker)
2:58.0,,,67-65,,Offensive rebound by N. Stauskas
2:58.0,,,67-65,,Shooting foul by C. Johnson (drawn by N. Stauskas)
2:58.0,Utah full timeout,,67-65,,
2:58.0,,,67-65,,A. Miller enters the game for R. McCallum
2:58.0,J. Ingles enters the game for T. Booker,,67-65,,
2:58.0,R. Gobert enters the game for J. Cooley,,67-65,,
2:58.0,J. Evans enters the game for E. Millsap,,67-65,,
2:58.0,,,67-66,1,N. Stauskas makes free throw 1 of 2
2:58.0,,,67-67,1,N. Stauskas makes free throw 2 of 2
2:39.0,J. Evans makes 2-pt shot at rim (assist by R. Gobert),2,69-67,,
2:39.0,Shooting foul by B. McLemore (drawn by J. Evans),,69-67,,
2:39.0,J. Evans makes free throw 1 of 1,1,70-67,,
2:22.0,,,70-69,2,D. Williams makes 2-pt shot from 19 ft (assist by B. McLemore)
2:08.0,B. Cotton misses 2-pt shot from 18 ft,,70-69,,
2:07.0,,,70-69,,Defensive rebound by B. McLemore
1:56.0,,,70-69,,D. Williams misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by B. Cotton,,70-69,,
1:43.0,R. Gobert misses 2-pt shot from 2 ft (block by A. Miller),,70-69,,
1:42.0,,,70-69,,Defensive rebound by A. Miller
1:39.0,,,70-69,,B. McLemore misses 2-pt shot at rim
1:37.0,Defensive rebound by B. Cotton,,70-69,,
1:31.0,C. Johnson makes 3-pt shot from 24 ft,3,73-69,,
1:16.0,,,73-69,,B. McLemore misses 2-pt shot from 8 ft (block by J. Evans)
1:14.0,Defensive rebound by J. Ingles,,73-69,,
1:12.0,Shooting foul by A. Miller (drawn by B. Cotton),,73-69,,
1:12.0,B. Cotton misses free throw 1 of 2,,73-69,,
1:12.0,Offensive rebound by Team,,73-69,,
1:12.0,,,73-69,,O. Casspi enters the game for B. McLemore
1:12.0,B. Cotton makes free throw 2 of 2,1,74-69,,
0:52.0,,,74-69,,D. Williams misses 3-pt shot from 22 ft
0:51.0,,,74-69,,Offensive rebound by J. Thompson
0:50.0,,,74-69,,J. Thompson misses 2-pt shot from 7 ft (block by R. Gobert)
0:48.0,Defensive rebound by B. Cotton,,74-69,,
0:43.0,B. Cotton makes 2-pt shot from 10 ft,2,76-69,,
0:31.0,,,76-71,2,J. Thompson makes 2-pt shot from 7 ft (assist by A. Miller)
0:12.0,C. Johnson misses 3-pt shot from 22 ft,,76-71,,
0:11.0,,,76-71,,Defensive rebound by O. Casspi
0:03.0,,,76-71,,Shooting foul by B. Cotton (drawn by O. Casspi)
0:03.0,,,76-72,1,O. Casspi makes free throw 1 of 2
0:03.0,,,76-73,1,O. Casspi makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-73,,N. Stauskas misses 3-pt shot from 22 ft
11:46.0,Defensive rebound by R. Gobert,,76-73,,
11:46.0,,,76-73,,Personal foul by J. Thompson (drawn by R. Gobert)
11:32.0,B. Cotton misses 3-pt shot from 24 ft,,76-73,,
11:32.0,,,76-73,,Defensive rebound by Team
11:32.0,Loose ball foul by R. Gobert (drawn by J. Thompson),,76-73,,
11:08.0,,,76-75,2,A. Miller makes 2-pt shot from 1 ft (assist by J. Thompson)
10:53.0,R. Hood makes 2-pt shot from 4 ft,2,78-75,,
10:44.0,,,78-75,,Turnover by A. Miller (bad pass; steal by J. Evans)
10:36.0,J. Evans makes 2-pt shot from 1 ft (assist by R. Hood),2,80-75,,
10:20.0,,,80-75,,J. Thompson misses 2-pt shot from 17 ft
10:19.0,Defensive rebound by R. Gobert,,80-75,,
10:10.0,J. Ingles misses 3-pt shot from 24 ft,,80-75,,
10:09.0,,,80-75,,Defensive rebound by J. Thompson
9:50.0,,,80-75,,O. Casspi misses 2-pt shot from 5 ft
9:49.0,Defensive rebound by R. Gobert,,80-75,,
9:46.0,J. Evans makes 2-pt shot from 1 ft (assist by B. Cotton),2,82-75,,
9:46.0,Shooting foul by D. Williams (drawn by J. Evans),,82-75,,
9:46.0,,,82-75,,Sacramento full timeout
9:46.0,,,82-75,,B. McLemore enters the game for N. Stauskas
9:46.0,,,82-75,,D. Cousins enters the game for J. Thompson
9:46.0,T. Booker enters the game for R. Gobert,,82-75,,
9:46.0,J. Evans makes free throw 1 of 1,1,83-75,,
9:36.0,Personal foul by J. Ingles (drawn by D. Cousins),,83-75,,
9:24.0,,,83-75,,Turnover by D. Williams (traveling)
9:09.0,T. Booker misses 2-pt shot from 14 ft,,83-75,,
9:09.0,Offensive rebound by Team,,83-75,,
9:09.0,,,83-75,,Personal foul by B. McLemore (drawn by J. Evans)
8:49.0,Turnover by J. Ingles (bad pass; steal by D. Williams),,83-75,,
8:40.0,,,83-75,,Offensive charge foul by B. McLemore
8:40.0,,,83-75,,Turnover by B. McLemore (offensive foul)
8:40.0,R. Gobert enters the game for B. Cotton,,83-75,,
8:40.0,D. Exum enters the game for J. Evans,,83-75,,
8:15.0,D. Exum misses 3-pt shot from 23 ft,,83-75,,
8:14.0,,,83-75,,Defensive rebound by A. Miller
8:00.0,,,83-75,,Shooting foul by R. Gobert (drawn by D. Cousins)
8:00.0,,,83-76,1,D. Cousins makes free throw 1 of 2
8:00.0,,,83-76,,R. McCallum enters the game for B. McLemore
8:00.0,,,83-76,,J. Thompson enters the game for A. Miller
8:00.0,E. Millsap enters the game for J. Ingles,,83-76,,
8:00.0,,,83-76,,D. Cousins misses free throw 2 of 2
7:58.0,,,83-76,,Offensive rebound by J. Thompson
7:57.0,,,83-78,2,J. Thompson makes 2-pt shot from 2 ft
7:34.0,E. Millsap misses 3-pt shot from 25 ft,,83-78,,
7:34.0,,,83-78,,Defensive rebound by R. McCallum
7:17.0,,,83-78,,Turnover by D. Cousins (lost ball; steal by R. Hood)
6:52.0,E. Millsap misses 2-pt shot from 18 ft,,83-78,,
6:51.0,,,83-78,,Defensive rebound by O. Casspi
6:41.0,,,83-80,2,D. Cousins makes 2-pt shot at rim (assist by R. McCallum)
