time,Utah,pts.away,score,pts.home,Golden State
8:16.0,S. Novak misses 3-pt shot from 26 ft,,64-90,,
8:15.0,Offensive rebound by R. Gobert,,64-90,,
8:03.0,I. Clark makes 2-pt shot from 2 ft (assist by S. Novak),2,66-90,,
8:03.0,Shooting foul by L. Barbosa (drawn by I. Clark),,66-90,,
8:03.0,Official timeout,,66-90,,
8:03.0,,,66-90,,B. Rush enters the game for L. Barbosa
8:03.0,I. Clark makes free throw 1 of 1,1,67-90,,
7:54.0,,,67-90,,Shooting foul by S. Novak (drawn by H. Barnes)
7:54.0,,,67-91,1,H. Barnes makes free throw 1 of 2
7:54.0,,,67-92,1,H. Barnes makes free throw 2 of 2
7:39.0,D. Exum misses 2-pt shot from 19 ft,,67-92,,
7:38.0,,,67-92,,Defensive rebound by H. Barnes
7:25.0,,,67-92,,F. Ezeli misses 2-pt shot from 8 ft
7:24.0,Defensive rebound by S. Novak,,67-92,,
7:19.0,,,67-92,,Personal foul by B. Rush (drawn by J. Ingles)
7:01.0,J. Ingles misses 3-pt shot from 27 ft,,67-92,,
6:59.0,,,67-92,,Defensive rebound by F. Ezeli
6:53.0,,,67-94,2,A. Iguodala makes 2-pt shot from 20 ft
6:38.0,I. Clark misses 2-pt shot from 8 ft (block by F. Ezeli),,67-94,,
6:37.0,,,67-94,,Defensive rebound by S. Livingston
6:37.0,Personal foul by I. Clark (drawn by F. Ezeli),,67-94,,
6:37.0,,,67-94,,J. Holiday enters the game for A. Iguodala
6:19.0,,,67-94,,Turnover by H. Barnes (bad pass; steal by I. Clark)
6:01.0,I. Clark makes 3-pt shot from 29 ft (assist by D. Exum),3,70-94,,
5:49.0,,,70-94,,B. Rush misses 2-pt shot from 2 ft (block by R. Gobert)
5:48.0,Defensive rebound by D. Exum,,70-94,,
5:25.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,72-94,,
5:15.0,,,72-94,,Golden State full timeout
5:15.0,E. Kanter enters the game for R. Gobert,,72-94,,
5:09.0,,,72-94,,Shooting foul by S. Novak (drawn by H. Barnes)
5:09.0,,,72-95,1,H. Barnes makes free throw 1 of 2
5:09.0,,,72-96,1,H. Barnes makes free throw 2 of 2
4:56.0,D. Exum makes 2-pt shot from 1 ft (assist by E. Kanter),2,74-96,,
4:38.0,,,74-98,2,S. Livingston makes 2-pt shot from 2 ft
4:27.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Ingles),2,76-98,,
4:27.0,Shooting foul by F. Ezeli (drawn by E. Kanter),,76-98,,
4:27.0,,,76-98,,O. Kuzmic enters the game for F. Ezeli
4:27.0,J. Evans enters the game for J. Ingles,,76-98,,
4:27.0,E. Kanter makes free throw 1 of 1,1,77-98,,
4:14.0,,,77-98,,B. Rush misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by I. Clark,,77-98,,
4:00.0,E. Kanter makes 2-pt shot from 1 ft (assist by D. Exum),2,79-98,,
3:49.0,,,79-98,,J. Holiday misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by E. Kanter,,79-98,,
3:46.0,Turnover by E. Kanter (bad pass; steal by H. Barnes),,79-98,,
3:43.0,,,79-98,,O. Kuzmic misses 2-pt shot from 1 ft
3:41.0,,,79-98,,Offensive rebound by O. Kuzmic
3:36.0,,,79-98,,Turnover by J. Holiday (bad pass; steal by I. Clark)
3:33.0,I. Clark misses 2-pt shot from 1 ft (block by B. Rush),,79-98,,
3:30.0,,,79-98,,Defensive rebound by S. Livingston
3:24.0,,,79-98,,J. Holiday misses 2-pt shot from 1 ft (block by J. Evans)
3:22.0,Defensive rebound by J. Evans,,79-98,,
3:09.0,J. Evans makes 2-pt shot at rim (assist by E. Kanter),2,81-98,,
2:52.0,,,81-98,,J. Holiday misses 2-pt shot from 13 ft
2:51.0,,,81-98,,Offensive rebound by H. Barnes
2:51.0,Utah full timeout,,81-98,,
