time,Memphis,pts.away,score,pts.home,LA Clippers
0:23.0,,,65-66,,J. Redick enters the game for M. Barnes
0:23.0,M. Conley makes free throw 2 of 2,1,66-66,,
0:02.0,,,66-66,,C. Paul misses 2-pt shot from 1 ft
0:02.0,,,66-66,,Offensive rebound by D. Jordan
0:02.0,,,66-68,2,D. Jordan makes 2-pt shot at rim
0:01.0,J. Green misses 3-pt shot from 63 ft (block by C. Paul),,66-68,,
0:00.0,Offensive rebound by Team,,66-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,66-68,,Technical foul by Team
12:00.0,M. Conley misses technical free throw,,66-68,,
12:00.0,Offensive rebound by Team,,66-68,,
11:42.0,M. Conley misses 2-pt shot from 2 ft,,66-68,,
11:39.0,Offensive rebound by K. Koufos,,66-68,,
11:39.0,K. Koufos misses 2-pt shot at rim,,66-68,,
11:36.0,,,66-68,,Defensive rebound by G. Davis
11:19.0,,,66-68,,Turnover by G. Davis (lost ball; steal by M. Conley)
11:15.0,,,66-68,,Violation by D. Jordan (def goaltending)
11:15.0,N. Calathes makes 2-pt shot from 5 ft,2,68-68,,
11:04.0,,,68-68,,J. Crawford misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by J. Green,,68-68,,
11:01.0,Shooting foul by A. Rivers (drawn by T. Allen),,68-68,,
11:01.0,,,68-68,,LA Clippers full timeout
11:01.0,T. Allen misses free throw 1 of 2,,68-68,,
11:01.0,Offensive rebound by Team,,68-68,,
11:01.0,,,68-68,,J. Redick enters the game for D. Jordan
11:01.0,T. Allen makes free throw 2 of 2,1,69-68,,
10:43.0,,,69-70,2,G. Davis makes 2-pt shot from 2 ft
10:26.0,Turnover by N. Calathes (bad pass; steal by A. Rivers),,69-70,,
10:21.0,,,69-70,,A. Rivers misses 2-pt shot at rim
10:21.0,Defensive rebound by Team,,69-70,,
10:05.0,T. Allen misses 2-pt shot from 1 ft,,69-70,,
10:04.0,Offensive rebound by Team,,69-70,,
9:57.0,Shooting foul by M. Barnes (drawn by J. Green),,69-70,,
9:57.0,J. Green misses free throw 1 of 2,,69-70,,
9:57.0,Offensive rebound by Team,,69-70,,
9:57.0,J. Green makes free throw 2 of 2,1,70-70,,
9:50.0,,,70-70,,J. Crawford misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by T. Allen,,70-70,,
9:43.0,M. Conley makes 2-pt shot from 4 ft,2,72-70,,
9:43.0,Shooting foul by A. Rivers (drawn by M. Conley),,72-70,,
9:43.0,M. Conley makes free throw 1 of 1,1,73-70,,
9:37.0,,,73-70,,Turnover by J. Crawford (discontinued dribble)
9:19.0,Shooting foul by M. Barnes (drawn by J. Green),,73-70,,
9:19.0,J. Green makes free throw 1 of 2,1,74-70,,
9:19.0,,,74-70,,C. Paul enters the game for A. Rivers
9:19.0,,,74-70,,D. Jordan enters the game for G. Davis
9:19.0,C. Lee enters the game for M. Conley,,74-70,,
9:19.0,J. Green makes free throw 2 of 2,1,75-70,,
9:09.0,,,75-73,3,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul)
8:39.0,N. Calathes makes 2-pt shot from 9 ft (assist by C. Lee),2,77-73,,
8:29.0,Personal foul by C. Lee (drawn by C. Paul),,77-73,,
8:29.0,Official timeout,,77-73,,
8:20.0,,,77-73,,Shooting foul by T. Allen (drawn by J. Crawford)
8:20.0,,,77-74,1,J. Crawford makes free throw 1 of 2
8:20.0,,,77-75,1,J. Crawford makes free throw 2 of 2
8:00.0,J. Green misses 2-pt shot from 19 ft,,77-75,,
7:58.0,,,77-75,,Defensive rebound by D. Jordan
7:42.0,,,77-75,,Turnover by C. Paul (lost ball; steal by N. Calathes)
7:36.0,T. Allen makes 2-pt shot from 1 ft (assist by N. Calathes),2,79-75,,
7:20.0,Personal foul by N. Calathes (drawn by M. Barnes),,79-75,,
7:04.0,,,79-75,,C. Paul misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by C. Lee,,79-75,,
6:48.0,K. Koufos misses 2-pt shot from 3 ft,,79-75,,
6:44.0,,,79-75,,Defensive rebound by D. Jordan
6:30.0,,,79-75,,J. Crawford misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by Team,,79-75,,
6:19.0,M. Gasol enters the game for J. Green,,79-75,,
6:05.0,N. Calathes misses 3-pt shot from 27 ft,,79-75,,
6:04.0,,,79-75,,Defensive rebound by D. Jordan
5:42.0,,,79-75,,J. Crawford misses 3-pt shot from 27 ft
5:41.0,Defensive rebound by M. Gasol,,79-75,,
5:21.0,C. Lee misses 3-pt shot from 25 ft,,79-75,,
5:19.0,,,79-75,,Defensive rebound by J. Crawford
5:16.0,Personal foul by C. Lee (drawn by C. Paul),,79-75,,
5:16.0,,,79-75,,LA Clippers full timeout
5:16.0,M. Conley enters the game for K. Koufos,,79-75,,
5:16.0,Z. Randolph enters the game for N. Calathes,,79-75,,
5:16.0,,,79-75,,S. Hawes enters the game for M. Barnes
5:09.0,,,79-75,,J. Redick misses 3-pt shot from 24 ft
5:08.0,,,79-75,,Offensive rebound by Team
4:56.0,,,79-75,,J. Crawford misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by M. Gasol,,79-75,,
4:44.0,M. Gasol makes 2-pt shot from 1 ft (assist by C. Lee),2,81-75,,
4:30.0,,,81-77,2,C. Paul makes 2-pt shot from 12 ft
4:00.0,Turnover by T. Allen (lost ball; steal by J. Crawford),,81-77,,
3:52.0,Personal take foul by Z. Randolph (drawn by D. Jordan),,81-77,,
3:52.0,,,81-77,,D. Jordan misses free throw 1 of 2
3:52.0,,,81-77,,Offensive rebound by Team
3:52.0,,,81-78,1,D. Jordan makes free throw 2 of 2
3:37.0,Shooting foul by J. Redick (drawn by C. Lee),,81-78,,
3:37.0,C. Lee makes free throw 1 of 2,1,82-78,,
3:37.0,C. Lee makes free throw 2 of 2,1,83-78,,
3:21.0,,,83-80,2,C. Paul makes 2-pt shot from 2 ft (assist by S. Hawes)
3:05.0,M. Conley makes 2-pt shot from 14 ft,2,85-80,,
2:45.0,,,85-80,,J. Redick misses 2-pt shot from 1 ft (block by Z. Randolph)
2:44.0,Defensive rebound by T. Allen,,85-80,,
2:28.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Gasol),3,88-80,,
2:28.0,,,88-80,,LA Clippers full timeout
2:21.0,Personal foul by Z. Randolph (drawn by C. Paul),,88-80,,
2:21.0,,,88-81,1,C. Paul makes free throw 1 of 2
2:21.0,J. Green enters the game for T. Allen,,88-81,,
2:21.0,,,88-81,,M. Barnes enters the game for J. Crawford
2:21.0,,,88-82,1,C. Paul makes free throw 2 of 2
2:00.0,Turnover by M. Gasol (bad pass; steal by D. Jordan),,88-82,,
1:52.0,,,88-85,3,J. Redick makes 3-pt shot from 25 ft (assist by M. Barnes)
1:28.0,Z. Randolph misses 2-pt shot from 1 ft,,88-85,,
1:25.0,,,88-85,,Defensive rebound by M. Barnes
1:10.0,,,88-87,2,C. Paul makes 2-pt shot from 14 ft
1:10.0,Memphis full timeout,,88-87,,
0:58.0,M. Conley misses 2-pt shot from 12 ft,,88-87,,
0:57.0,,,88-87,,Defensive rebound by J. Redick
0:38.0,,,88-87,,C. Paul misses 2-pt shot from 2 ft
0:37.0,Defensive rebound by Z. Randolph,,88-87,,
0:16.0,Z. Randolph misses 2-pt shot from 20 ft,,88-87,,
0:15.0,,,88-87,,Defensive rebound by J. Redick
0:02.0,,,88-87,,Turnover by C. Paul (bad pass; steal by M. Conley)
0:02.0,,,88-87,,Personal take foul by M. Barnes (drawn by M. Conley)
0:02.0,Memphis full timeout,,88-87,,
0:02.0,T. Allen enters the game for J. Green,,88-87,,
0:02.0,,,88-87,,J. Crawford enters the game for S. Hawes
0:02.0,M. Conley makes free throw 1 of 2,1,89-87,,
0:02.0,M. Conley makes free throw 2 of 2,1,90-87,,
0:02.0,,,90-87,,Turnover by M. Barnes (bad pass; steal by C. Lee)
