time,Portland,pts.away,score,pts.home,Philadelphia
9:55.0,C. Kaman makes 2-pt shot from 18 ft (assist by W. Matthews),2,91-82,,
9:35.0,,,91-82,,Shooting foul by C. Kaman (drawn by K. McDaniels)
9:35.0,D. Lillard enters the game for W. Matthews,,91-82,,
9:35.0,,,91-83,1,K. McDaniels makes free throw 1 of 2
9:35.0,,,91-84,1,K. McDaniels makes free throw 2 of 2
9:17.0,C. Kaman makes 2-pt shot from 3 ft,2,93-84,,
9:09.0,,,93-84,,Philadelphia full timeout
9:09.0,,,93-84,,N. Noel enters the game for H. Sims
9:09.0,,,93-84,,T. Wroten enters the game for K. McDaniels
9:00.0,,,93-84,,M. Carter-Williams misses 2-pt shot from 3 ft
8:58.0,Defensive rebound by C. Kaman,,93-84,,
8:48.0,D. Lillard misses 3-pt shot from 27 ft,,93-84,,
8:45.0,Offensive rebound by C. Kaman,,93-84,,
8:45.0,C. Kaman misses 2-pt shot from 2 ft,,93-84,,
8:44.0,Offensive rebound by A. Crabbe,,93-84,,
8:40.0,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Blake),3,96-84,,
8:13.0,,,96-84,,T. Wroten misses 2-pt shot from 12 ft
8:11.0,Defensive rebound by C. Kaman,,96-84,,
8:08.0,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Lillard),2,98-84,,
8:08.0,,,98-84,,Philadelphia full timeout
8:08.0,,,98-84,,K. McDaniels enters the game for L. Mbah a Moute
8:08.0,,,98-84,,H. Sims enters the game for H. Thompson
7:54.0,,,98-84,,Shooting foul by J. Freeland (drawn by T. Wroten)
7:54.0,,,98-84,,T. Wroten misses free throw 1 of 2
7:54.0,,,98-84,,Offensive rebound by Team
7:54.0,,,98-84,,T. Wroten misses free throw 2 of 2
7:52.0,Defensive rebound by C. Kaman,,98-84,,
7:35.0,C. Kaman makes 2-pt shot from 3 ft (assist by S. Blake),2,100-84,,
7:25.0,,,100-86,2,M. Carter-Williams makes 2-pt shot from 9 ft
7:04.0,C. Kaman misses 2-pt shot from 3 ft,,100-86,,
7:02.0,,,100-86,,Defensive rebound by M. Carter-Williams
6:59.0,,,100-86,,B. Davies enters the game for N. Noel
6:56.0,,,100-88,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by T. Wroten)
6:31.0,,,100-88,,Personal foul by B. Davies (drawn by D. Lillard)
6:31.0,N. Batum enters the game for A. Crabbe,,100-88,,
6:31.0,R. Lopez enters the game for C. Kaman,,100-88,,
6:27.0,R. Lopez misses 2-pt shot from 2 ft,,100-88,,
6:26.0,,,100-88,,Defensive rebound by T. Wroten
6:13.0,,,100-88,,T. Wroten misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by D. Lillard,,100-88,,
6:06.0,S. Blake misses 3-pt shot from 22 ft,,100-88,,
6:03.0,Offensive rebound by J. Freeland,,100-88,,
5:49.0,Turnover by N. Batum (bad pass; steal by H. Sims),,100-88,,
5:29.0,,,100-88,,B. Davies misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by J. Freeland,,100-88,,
5:07.0,J. Freeland misses 2-pt shot from 16 ft,,100-88,,
5:05.0,,,100-88,,Defensive rebound by M. Carter-Williams
4:59.0,,,100-88,,M. Carter-Williams misses 2-pt shot from 17 ft
4:55.0,,,100-88,,Offensive rebound by Team
4:55.0,Loose ball foul by S. Blake (drawn by B. Davies),,100-88,,
4:55.0,W. Matthews enters the game for S. Blake,,100-88,,
4:55.0,,,100-88,,A. Shved enters the game for M. Carter-Williams
