time,Memphis,pts.away,score,pts.home,Washington
4:13.0,,,57-81,2,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal)
3:58.0,N. Calathes makes 3-pt shot from 25 ft (assist by B. Udrih),3,60-81,,
3:41.0,,,60-83,2,D. Gooden makes 2-pt shot from 18 ft (assist by B. Beal)
3:40.0,,,60-83,,Violation by Team (delay of game)
3:27.0,Offensive foul by J. Green,,60-83,,
3:27.0,Turnover by J. Green (offensive foul),,60-83,,
3:27.0,R. Smith enters the game for B. Udrih,,60-83,,
3:27.0,J. Adams enters the game for C. Lee,,60-83,,
3:10.0,,,60-83,,D. Gooden misses 3-pt shot from 23 ft
3:08.0,,,60-83,,Offensive rebound by Team
3:08.0,,,60-83,,Washington full timeout
3:08.0,J. Leuer enters the game for J. Green,,60-83,,
2:59.0,,,60-83,,M. Gortat misses 2-pt shot from 13 ft
2:58.0,,,60-83,,Offensive rebound by D. Gooden
2:49.0,,,60-83,,Shooting foul by J. Leuer (drawn by D. Gooden)
2:49.0,,,60-84,1,D. Gooden makes free throw 1 of 2
2:49.0,,,60-84,,R. Sessions enters the game for J. Wall
2:49.0,,,60-85,1,D. Gooden makes free throw 2 of 2
2:31.0,N. Calathes misses 2-pt shot from 6 ft,,60-85,,
2:30.0,Offensive rebound by N. Calathes,,60-85,,
2:22.0,J. Adams misses 2-pt shot at rim (block by M. Gortat),,60-85,,
2:21.0,Offensive rebound by J. Stokes,,60-85,,
2:21.0,Shooting foul by M. Gortat (drawn by J. Stokes),,60-85,,
2:21.0,J. Stokes makes free throw 1 of 2,1,61-85,,
2:21.0,J. Green enters the game for J. Adams,,61-85,,
2:21.0,J. Stokes makes free throw 2 of 2,1,62-85,,
2:09.0,,,62-87,2,B. Beal makes 2-pt shot from 16 ft
1:50.0,J. Leuer misses 2-pt shot from 4 ft,,62-87,,
1:49.0,,,62-87,,Defensive rebound by M. Gortat
1:34.0,,,62-89,2,M. Gortat makes 2-pt shot from 2 ft (assist by R. Sessions)
1:16.0,J. Stokes makes 2-pt shot from 1 ft (assist by J. Green),2,64-89,,
1:00.0,,,64-89,,Turnover by B. Beal (bad pass; steal by J. Stokes)
0:54.0,J. Stokes misses 2-pt shot at rim (block by M. Gortat),,64-89,,
0:54.0,Offensive rebound by J. Stokes,,64-89,,
0:54.0,J. Stokes makes 2-pt shot at rim,2,66-89,,
0:54.0,Shooting foul by M. Gortat (drawn by J. Stokes),,66-89,,
0:54.0,,,66-89,,K. Seraphin enters the game for M. Gortat
0:54.0,J. Adams enters the game for J. Green,,66-89,,
0:54.0,,,66-89,,D. Blair enters the game for D. Gooden
0:54.0,J. Stokes misses free throw 1 of 1,,66-89,,
0:54.0,,,66-89,,Defensive rebound by K. Seraphin
0:42.0,,,66-89,,O. Porter misses 2-pt shot from 20 ft
0:42.0,Defensive rebound by J. Leuer,,66-89,,
0:42.0,,,66-89,,Personal foul by K. Seraphin (drawn by J. Stokes)
0:42.0,Personal foul by J. Stokes,,66-89,,
0:42.0,Jump ball: K. Seraphin vs. J. Stokes (R. Smith gains possession),,,,Jump ball: K. Seraphin vs. J. Stokes (R. Smith gains possession)
0:42.0,Turnover by Team (back court),,66-89,,
0:27.0,,,66-89,,Turnover by O. Porter (lost ball; steal by J. Stokes)
0:23.0,J. Leuer makes 2-pt shot from 1 ft (assist by J. Adams),2,68-89,,
0:23.0,,,68-89,,K. Seraphin ejected from game
0:23.0,,,68-89,,M. Gortat enters the game for K. Seraphin
0:23.0,J. Leuer misses flagrant free throw 1 of 2,,68-89,,
0:23.0,Offensive rebound by Team,,68-89,,
0:23.0,J. Leuer makes flagrant free throw 2 of 2,1,69-89,,
0:06.0,,,69-89,,Personal foul by D. Blair (drawn by R. Smith)
0:06.0,R. Smith makes free throw 1 of 2,1,70-89,,
0:06.0,R. Smith makes free throw 2 of 2,1,71-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Turnover by J. Leuer (lost ball; steal by O. Porter),,71-89,,
11:39.0,,,71-89,,Turnover by D. Blair (lost ball; steal by J. Adams)
11:32.0,R. Smith misses 2-pt shot from 1 ft,,71-89,,
11:31.0,,,71-89,,Defensive rebound by R. Sessions
11:15.0,,,71-91,2,B. Beal makes 2-pt shot from 1 ft (assist by O. Porter)
11:15.0,,,71-91,,Shooting foul by J. Leuer (drawn by B. Beal)
11:15.0,,,71-91,,B. Beal misses free throw 1 of 1
11:14.0,Defensive rebound by J. Stokes,,71-91,,
10:59.0,N. Calathes misses 2-pt shot from 18 ft,,71-91,,
10:58.0,,,71-91,,Defensive rebound by B. Beal
10:47.0,,,71-91,,D. Blair misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by Team,,71-91,,
10:36.0,,,71-91,,Personal foul by D. Blair (drawn by J. Stokes)
10:28.0,J. Leuer makes 2-pt shot from 3 ft,2,73-91,,
10:18.0,,,73-91,,Shooting foul by J. Leuer (drawn by R. Sessions)
10:18.0,,,73-92,1,R. Sessions makes free throw 1 of 2
10:18.0,,,73-93,1,R. Sessions makes free throw 2 of 2
9:58.0,Shooting foul by D. Blair (drawn by J. Stokes),,73-93,,
9:58.0,J. Stokes makes free throw 1 of 2,1,74-93,,
9:58.0,J. Stokes makes free throw 2 of 2,1,75-93,,
9:48.0,,,75-93,,M. Gortat misses 2-pt shot from 13 ft
9:46.0,,,75-93,,Offensive rebound by Team
9:20.0,,,75-93,,B. Beal misses 3-pt shot from 27 ft
9:19.0,Defensive rebound by Team,,75-93,,
9:04.0,R. Smith misses 3-pt shot from 23 ft,,75-93,,
9:03.0,Offensive rebound by J. Leuer,,75-93,,
9:00.0,J. Leuer misses 2-pt shot from 4 ft,,75-93,,
9:00.0,Offensive rebound by Team,,75-93,,
8:43.0,N. Calathes misses 2-pt shot from 21 ft,,75-93,,
8:42.0,,,75-93,,Defensive rebound by D. Blair
8:27.0,Personal foul by R. Smith (drawn by M. Gortat),,75-93,,
8:27.0,Official timeout,,75-93,,
8:27.0,J. Green enters the game for J. Stokes,,75-93,,
8:12.0,,,75-93,,B. Beal misses 3-pt shot from 23 ft
8:11.0,,,75-93,,Offensive rebound by D. Blair
8:04.0,,,75-93,,O. Porter misses 2-pt shot from 6 ft
8:03.0,Defensive rebound by J. Green,,75-93,,
7:45.0,Offensive foul by J. Adams,,75-93,,
7:45.0,Turnover by J. Adams (offensive foul),,75-93,,
7:45.0,,,75-93,,D. Gooden enters the game for D. Blair
7:33.0,,,75-93,,M. Gortat misses 2-pt shot from 9 ft
7:32.0,,,75-93,,Offensive rebound by Team
7:32.0,,,75-93,,M. Webster enters the game for B. Beal
7:18.0,,,75-93,,D. Gooden misses 2-pt shot from 15 ft
7:17.0,Defensive rebound by J. Leuer,,75-93,,
7:09.0,N. Calathes misses 2-pt shot at rim,,75-93,,
7:08.0,Offensive rebound by J. Leuer,,75-93,,
7:06.0,Offensive foul by J. Adams,,75-93,,
7:06.0,Turnover by J. Adams (offensive foul),,75-93,,
6:50.0,,,75-93,,O. Porter misses 2-pt shot from 19 ft
6:48.0,Defensive rebound by J. Green,,75-93,,
6:43.0,Shooting foul by O. Porter (drawn by N. Calathes),,75-93,,
6:43.0,N. Calathes misses free throw 1 of 2,,75-93,,
6:43.0,Offensive rebound by Team,,75-93,,
6:43.0,J. Stokes enters the game for J. Leuer,,75-93,,
6:43.0,N. Calathes makes free throw 2 of 2,1,76-93,,
6:28.0,,,76-93,,R. Sessions misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by J. Stokes,,76-93,,
6:22.0,J. Adams makes 2-pt shot at rim (assist by R. Smith),2,78-93,,
6:02.0,,,78-95,2,M. Gortat makes 2-pt shot from 1 ft (assist by R. Sessions)
6:02.0,,,78-95,,Shooting foul by J. Adams (drawn by M. Gortat)
6:02.0,,,78-96,1,M. Gortat makes free throw 1 of 1
5:45.0,J. Green misses 3-pt shot from 27 ft,,78-96,,
5:44.0,Offensive rebound by R. Smith,,78-96,,
5:39.0,N. Calathes misses 3-pt shot from 26 ft,,78-96,,
5:38.0,,,78-96,,Defensive rebound by D. Gooden
5:31.0,,,78-96,,R. Sessions misses 2-pt shot at rim
5:29.0,Defensive rebound by N. Calathes,,78-96,,
5:28.0,Turnover by N. Calathes (lost ball),,78-96,,
5:28.0,,,78-96,,Washington full timeout
