time,LA Lakers,pts.away,score,pts.home,Atlanta
9:07.0,,,67-65,3,J. Teague makes 3-pt shot from 25 ft
8:47.0,W. Johnson makes 2-pt shot at rim (assist by C. Boozer),2,69-65,,
8:37.0,,,69-65,,J. Teague misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by C. Boozer,,69-65,,
8:31.0,J. Hill makes 2-pt shot at rim (assist by J. Lin),2,71-65,,
8:13.0,,,71-68,3,A. Horford makes 3-pt shot from 23 ft (assist by P. Millsap)
7:54.0,J. Hill makes 2-pt shot from 1 ft (assist by J. Lin),2,73-68,,
7:41.0,Personal foul by C. Boozer (drawn by J. Teague),,73-68,,
7:32.0,,,73-68,,J. Teague misses 2-pt shot from 7 ft
7:29.0,,,73-68,,Offensive rebound by T. Sefolosha
7:29.0,,,73-68,,T. Sefolosha misses 2-pt shot at rim
7:28.0,,,73-68,,Offensive rebound by T. Sefolosha
7:24.0,,,73-68,,T. Sefolosha misses 3-pt shot from 22 ft
7:23.0,Defensive rebound by J. Hill,,73-68,,
7:13.0,C. Boozer makes 2-pt shot from 16 ft (assist by K. Bryant),2,75-68,,
7:01.0,,,75-68,,Shooting foul by C. Boozer (drawn by P. Millsap)
7:01.0,,,75-69,1,P. Millsap makes free throw 1 of 2
7:01.0,,,75-70,1,P. Millsap makes free throw 2 of 2
6:45.0,J. Lin makes 2-pt shot from 19 ft (assist by W. Johnson),2,77-70,,
6:34.0,,,77-72,2,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague)
6:18.0,Turnover by J. Lin (bad pass; steal by P. Millsap),,77-72,,
6:01.0,,,77-72,,P. Antic enters the game for A. Horford
6:01.0,E. Davis enters the game for C. Boozer,,77-72,,
5:58.0,,,77-74,2,P. Millsap makes 2-pt shot from 17 ft (assist by K. Korver)
5:36.0,J. Hill makes 2-pt shot from 2 ft,2,79-74,,
5:28.0,,,79-76,2,J. Teague makes 2-pt shot from 2 ft
5:13.0,J. Hill makes 2-pt shot from 7 ft,2,81-76,,
4:57.0,,,81-76,,P. Millsap misses 2-pt shot from 16 ft
4:57.0,Defensive rebound by Team,,81-76,,
4:43.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,83-76,,
4:40.0,,,83-76,,Atlanta full timeout
4:40.0,N. Young enters the game for W. Johnson,,83-76,,
4:25.0,,,83-76,,K. Korver misses 3-pt shot from 22 ft
4:24.0,Defensive rebound by J. Lin,,83-76,,
4:15.0,E. Davis misses 2-pt shot from 1 ft,,83-76,,
4:13.0,,,83-76,,Defensive rebound by P. Antic
3:56.0,,,83-76,,J. Teague misses 2-pt shot from 1 ft
3:55.0,,,83-76,,Offensive rebound by P. Antic
3:54.0,,,83-76,,P. Antic misses 2-pt shot from 1 ft
3:53.0,,,83-76,,Offensive rebound by P. Antic
