time,Minnesota,pts.away,score,pts.home,Indiana
11:00.0,A. Wiggins makes free throw 1 of 1,1,51-54,,
10:48.0,,,51-54,,Turnover by D. West (bad pass; steal by G. Dieng)
10:42.0,T. Young misses 2-pt shot from 3 ft,,51-54,,
10:40.0,,,51-54,,Defensive rebound by D. West
10:24.0,,,51-56,2,S. Hill makes 2-pt shot from 7 ft
10:00.0,M. Williams misses 2-pt shot from 5 ft,,51-56,,
9:59.0,Offensive rebound by G. Dieng,,51-56,,
9:58.0,G. Dieng misses 2-pt shot from 3 ft (block by R. Hibbert),,51-56,,
9:58.0,Offensive rebound by Team,,51-56,,
9:52.0,M. Williams misses 2-pt shot from 13 ft,,51-56,,
9:51.0,,,51-56,,Defensive rebound by C. Miles
9:38.0,,,51-56,,C. Miles misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by G. Dieng,,51-56,,
9:24.0,A. Wiggins misses 2-pt shot from 9 ft,,51-56,,
9:23.0,,,51-56,,Defensive rebound by D. West
9:14.0,,,51-58,2,C. Watson makes 2-pt shot from 2 ft (assist by D. West)
9:14.0,Minnesota full timeout,,51-58,,
8:54.0,M. Williams makes 2-pt shot from 17 ft (assist by G. Dieng),2,53-58,,
8:37.0,,,53-60,2,C. Miles makes 2-pt shot from 22 ft (assist by S. Hill)
8:11.0,T. Young misses 2-pt shot from 1 ft,,53-60,,
8:10.0,,,53-60,,Defensive rebound by C. Watson
8:05.0,,,53-60,,Turnover by C. Watson (bad pass; steal by C. Budinger)
8:01.0,C. Budinger misses 2-pt shot at rim,,53-60,,
8:00.0,,,53-60,,Defensive rebound by C. Miles
7:54.0,,,53-62,2,C. Miles makes 2-pt shot from 13 ft (assist by D. West)
7:38.0,T. Young misses 2-pt shot from 18 ft,,53-62,,
7:36.0,,,53-62,,Defensive rebound by S. Hill
7:26.0,,,53-62,,R. Hibbert misses 2-pt shot from 3 ft
7:25.0,Defensive rebound by Team,,53-62,,
7:10.0,M. Williams makes 2-pt shot from 20 ft (assist by G. Dieng),2,55-62,,
6:49.0,,,55-62,,S. Hill misses 2-pt shot from 16 ft
6:48.0,Defensive rebound by C. Budinger,,55-62,,
6:37.0,M. Williams makes 2-pt shot from 17 ft,2,57-62,,
6:21.0,,,57-62,,Turnover by D. West (bad pass; steal by T. Young)
6:17.0,Turnover by M. Williams (bad pass; steal by C. Miles),,57-62,,
6:04.0,,,57-62,,R. Hibbert misses 2-pt shot from 3 ft
6:02.0,,,57-62,,Offensive rebound by R. Hibbert
6:01.0,,,57-62,,R. Hibbert misses 2-pt shot at rim
6:01.0,,,57-62,,Offensive rebound by R. Hibbert
6:01.0,Violation by G. Dieng (def goaltending),,57-62,,
5:57.0,,,57-64,2,R. Hibbert makes 2-pt shot at rim
5:47.0,G. Dieng makes flagrant free throw 1 of 2,1,58-64,,
5:47.0,,,58-64,,R. Hibbert ejected from game
5:47.0,,,58-64,,L. Allen enters the game for R. Hibbert
5:47.0,G. Dieng makes flagrant free throw 2 of 2,1,59-64,,
5:40.0,Offensive foul by G. Dieng,,59-64,,
5:40.0,Turnover by G. Dieng (offensive foul),,59-64,,
5:30.0,,,59-64,,C. Watson misses 2-pt shot from 20 ft
5:28.0,Defensive rebound by G. Dieng,,59-64,,
5:15.0,Turnover by G. Dieng (lost ball; steal by L. Allen),,59-64,,
5:00.0,,,59-66,2,C. Miles makes 2-pt shot from 22 ft (assist by D. West)
4:44.0,M. Williams makes 2-pt shot from 19 ft,2,61-66,,
4:29.0,,,61-66,,L. Allen misses 2-pt shot from 7 ft
4:28.0,Defensive rebound by G. Dieng,,61-66,,
4:20.0,A. Wiggins misses 2-pt shot from 3 ft (block by C. Miles),,61-66,,
4:19.0,,,61-66,,Defensive rebound by S. Hill
4:11.0,,,61-68,2,C. Miles makes 2-pt shot from 1 ft
3:46.0,A. Wiggins misses 2-pt shot from 2 ft,,61-68,,
3:45.0,,,61-68,,Defensive rebound by S. Hill
3:40.0,,,61-68,,Turnover by S. Hill (bad pass; steal by T. Young)
3:39.0,,,61-68,,Personal take foul by C. Watson (drawn by T. Young)
3:39.0,,,61-68,,R. Stuckey enters the game for S. Hill
3:39.0,A. Bennett enters the game for C. Budinger,,61-68,,
3:39.0,R. Hummel enters the game for G. Dieng,,61-68,,
3:23.0,M. Williams misses 2-pt shot from 16 ft,,61-68,,
3:22.0,,,61-68,,Defensive rebound by D. West
3:17.0,,,61-68,,Offensive charge foul by C. Watson
3:17.0,,,61-68,,Turnover by C. Watson (offensive foul)
3:05.0,Turnover by A. Wiggins (traveling),,61-68,,
2:54.0,,,61-68,,C. Miles misses 3-pt shot from 25 ft
2:53.0,,,61-68,,Offensive rebound by L. Allen
2:53.0,,,61-68,,Shooting foul by A. Bennett (drawn by L. Allen)
2:53.0,,,61-68,,Indiana full timeout
2:53.0,,,61-68,,L. Allen misses free throw 1 of 2
2:53.0,,,61-68,,Offensive rebound by Team
2:53.0,,,61-68,,L. Allen misses free throw 2 of 2
2:52.0,Defensive rebound by A. Bennett,,61-68,,
2:40.0,A. Wiggins misses 2-pt shot from 21 ft,,61-68,,
2:37.0,,,61-68,,Defensive rebound by R. Stuckey
2:32.0,,,61-68,,Offensive foul by D. West
2:32.0,,,61-68,,Turnover by D. West (offensive foul)
2:19.0,Turnover by T. Young (lost ball; steal by D. West),,61-68,,
2:05.0,,,61-68,,L. Allen misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by R. Hummel,,61-68,,
1:49.0,M. Williams makes 3-pt shot from 25 ft (assist by A. Wiggins),3,64-68,,
1:27.0,,,64-71,3,C. Miles makes 3-pt shot from 22 ft (assist by C. Watson)
1:04.0,A. Wiggins misses 2-pt shot from 2 ft,,64-71,,
1:02.0,,,64-71,,Defensive rebound by L. Allen
0:51.0,Personal foul by T. Young (drawn by D. West),,64-71,,
0:51.0,,,64-71,,D. Sloan enters the game for C. Watson
0:51.0,,,64-71,,D. Rudez enters the game for C. Miles
0:51.0,G. Dieng enters the game for T. Young,,64-71,,
0:40.0,,,64-73,2,D. West makes 2-pt shot from 3 ft (assist by D. Sloan)
0:32.0,M. Williams makes 3-pt shot from 26 ft (assist by A. Bennett),3,67-73,,
0:14.0,,,67-75,2,D. West makes 2-pt shot from 20 ft (assist by D. Sloan)
0:03.0,M. Williams makes 2-pt shot from 20 ft,2,69-75,,
0:00.0,,,69-75,,D. Sloan misses 3-pt shot from 47 ft
0:00.0,,,69-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,69-75,,D. Rudez misses 3-pt shot from 22 ft
11:44.0,Defensive rebound by R. Hummel,,69-75,,
11:37.0,M. Williams makes 3-pt shot from 24 ft (assist by R. Hummel),3,72-75,,
11:20.0,,,72-75,,L. Allen misses 2-pt shot from 13 ft
11:19.0,Defensive rebound by R. Hummel,,72-75,,
11:05.0,M. Williams misses 2-pt shot from 18 ft,,72-75,,
11:04.0,,,72-75,,Defensive rebound by R. Stuckey
10:49.0,,,72-78,3,D. Rudez makes 3-pt shot from 25 ft (assist by L. Scola)
10:23.0,R. Hummel makes 2-pt shot from 1 ft (assist by M. Williams),2,74-78,,
10:11.0,Personal foul by T. Daniels (drawn by R. Stuckey),,74-78,,
10:11.0,,,74-78,,I. Mahinmi enters the game for L. Allen
10:04.0,,,74-78,,R. Stuckey misses 3-pt shot from 24 ft
10:02.0,,,74-78,,Offensive rebound by L. Scola
9:59.0,,,74-78,,Shooting foul by R. Hummel (drawn by L. Scola)
9:59.0,,,74-78,,L. Scola misses free throw 1 of 2
9:59.0,,,74-78,,Offensive rebound by Team
9:59.0,,,74-79,1,L. Scola makes free throw 2 of 2
9:47.0,M. Williams misses 2-pt shot from 15 ft,,74-79,,
9:46.0,,,74-79,,Defensive rebound by I. Mahinmi
9:38.0,,,74-81,2,D. Sloan makes 2-pt shot from 4 ft
