time,New Orleans,pts.away,score,pts.home,Indiana
1:29.0,,,82-93,1,C. Miles makes free throw 2 of 2
1:17.0,Shooting foul by S. Hill (drawn by T. Evans),,82-93,,
1:17.0,T. Evans makes free throw 1 of 2,1,83-93,,
1:17.0,T. Evans makes free throw 2 of 2,1,84-93,,
0:57.0,,,84-93,,Shooting foul by O. Asik (drawn by R. Hibbert)
0:57.0,,,84-94,1,R. Hibbert makes free throw 1 of 2
0:57.0,,,84-95,1,R. Hibbert makes free throw 2 of 2
0:57.0,New Orleans full timeout,,84-95,,
0:57.0,L. Babbitt enters the game for O. Asik,,84-95,,
0:52.0,J. Holiday misses 3-pt shot from 25 ft,,84-95,,
0:51.0,,,84-95,,Defensive rebound by D. West
0:48.0,Personal foul by T. Evans (drawn by D. West),,84-95,,
