time,San Antonio,pts.away,score,pts.home,Golden State
6:06.0,,,66-59,,H. Barnes misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by M. Ginobili,,66-59,,
5:52.0,M. Ginobili misses 3-pt shot from 24 ft,,66-59,,
5:51.0,,,66-59,,Defensive rebound by A. Bogut
5:45.0,,,66-59,,Offensive foul by D. Green
5:45.0,,,66-59,,Turnover by D. Green (offensive foul)
5:45.0,C. Joseph enters the game for T. Parker,,66-59,,
5:45.0,,,66-59,,A. Iguodala enters the game for H. Barnes
5:44.0,,,66-59,,Technical foul by D. Green
5:44.0,M. Ginobili misses technical free throw,,66-59,,
5:44.0,Offensive rebound by Team,,66-59,,
5:32.0,Turnover by B. Diaw (lost ball; steal by A. Bogut),,66-59,,
5:22.0,,,66-59,,D. Green misses 2-pt shot from 2 ft
5:21.0,Defensive rebound by T. Duncan,,66-59,,
5:14.0,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili),2,68-59,,
5:01.0,,,68-61,2,S. Curry makes 2-pt shot from 9 ft
4:37.0,M. Ginobili makes 3-pt shot from 23 ft (assist by B. Diaw),3,71-61,,
4:25.0,,,71-61,,S. Curry misses 3-pt shot from 27 ft
4:24.0,Defensive rebound by D. Green,,71-61,,
4:09.0,M. Ginobili misses 3-pt shot from 26 ft,,71-61,,
4:08.0,,,71-61,,Defensive rebound by D. Green
3:51.0,,,71-61,,S. Curry misses 2-pt shot from 3 ft
3:49.0,Defensive rebound by B. Diaw,,71-61,,
3:41.0,,,71-61,,Personal foul by A. Bogut (drawn by B. Diaw)
3:26.0,C. Joseph makes 2-pt shot from 15 ft (assist by B. Diaw),2,73-61,,
3:19.0,,,73-61,,Golden State full timeout
3:19.0,A. Baynes enters the game for T. Duncan,,73-61,,
3:19.0,K. Leonard enters the game for D. Green,,73-61,,
3:19.0,,,73-61,,F. Ezeli enters the game for D. Green
3:19.0,,,73-61,,H. Barnes enters the game for A. Bogut
3:11.0,,,73-63,2,H. Barnes makes 2-pt shot from 17 ft (assist by S. Curry)
2:50.0,M. Ginobili misses 2-pt shot from 2 ft,,73-63,,
2:49.0,,,73-63,,Defensive rebound by H. Barnes
2:39.0,Personal foul by K. Leonard (drawn by K. Thompson),,73-63,,
2:29.0,,,73-63,,Shooting foul by M. Ginobili (drawn by H. Barnes)
2:29.0,,,73-64,1,H. Barnes makes free throw 1 of 2
2:29.0,,,73-64,,H. Barnes misses free throw 2 of 2
2:28.0,Defensive rebound by B. Diaw,,73-64,,
2:06.0,M. Ginobili makes 2-pt shot from 2 ft (assist by C. Joseph),2,75-64,,
1:57.0,,,75-64,,Turnover by F. Ezeli (lost ball; steal by C. Joseph)
1:52.0,K. Leonard makes 2-pt shot at rim (assist by C. Joseph),2,77-64,,
1:35.0,Personal foul by M. Ginobili (drawn by F. Ezeli),,77-64,,
1:35.0,,,77-64,,F. Ezeli misses free throw 1 of 2
1:35.0,,,77-64,,Offensive rebound by Team
1:35.0,,,77-64,,L. Barbosa enters the game for S. Curry
1:35.0,,,77-65,1,F. Ezeli makes free throw 2 of 2
1:20.0,C. Joseph makes 2-pt shot from 11 ft (assist by M. Ginobili),2,79-65,,
1:02.0,,,79-67,2,K. Thompson makes 2-pt shot from 5 ft
1:02.0,,,79-67,,Shooting foul by A. Baynes (drawn by K. Thompson)
1:02.0,,,79-68,1,K. Thompson makes free throw 1 of 1
