time,Houston,pts.away,score,pts.home,Utah
2:25.0,,,100-87,2,T. Burke makes 2-pt shot from 1 ft (assist by D. Favors)
2:20.0,Houston full timeout,,100-87,,
2:05.0,Turnover by J. Terry (bad pass; steal by D. Favors),,100-87,,
1:56.0,,,100-87,,Turnover by A. Burks (bad pass; steal by T. Ariza)
1:50.0,T. Jones makes 2-pt shot at rim (assist by T. Ariza),2,102-87,,
1:43.0,,,102-87,,Shooting foul by T. Jones (drawn by D. Favors)
1:43.0,,,102-88,1,D. Favors makes free throw 1 of 2
1:43.0,,,102-88,,E. Kanter enters the game for T. Booker
1:43.0,,,102-88,,D. Exum enters the game for T. Burke
1:43.0,,,102-89,1,D. Favors makes free throw 2 of 2
1:33.0,Offensive foul by D. Howard,,102-89,,
1:33.0,Turnover by D. Howard (offensive foul),,102-89,,
1:33.0,T. Black enters the game for D. Howard,,102-89,,
1:23.0,,,102-91,2,A. Burks makes 2-pt shot from 6 ft
1:04.0,Turnover by J. Harden (offensive foul),,102-91,,
1:04.0,Offensive foul by J. Harden,,102-91,,
0:47.0,,,102-91,,G. Hayward misses 2-pt shot from 2 ft
0:46.0,,,102-91,,Offensive rebound by D. Favors
0:46.0,,,102-93,2,D. Favors makes 2-pt shot at rim
0:26.0,J. Harden makes 2-pt shot from 14 ft,2,104-93,,
0:18.0,,,104-93,,Turnover by D. Exum (bad pass; steal by T. Ariza)
0:00.0,End of 4th quarter,,,,End of 4th quarter
