time,Golden State,pts.away,score,pts.home,Boston
2:17.0,,,68-80,1,B. Bass makes free throw 1 of 2
2:17.0,,,68-81,1,B. Bass makes free throw 2 of 2
1:54.0,K. Thompson misses 3-pt shot from 25 ft,,68-81,,
1:53.0,Offensive rebound by H. Barnes,,68-81,,
1:44.0,K. Thompson makes 2-pt shot from 19 ft (assist by S. Livingston),2,70-81,,
1:18.0,,,70-81,,I. Thomas misses 2-pt shot from 1 ft
1:17.0,,,70-81,,Offensive rebound by J. Crowder
1:12.0,,,70-81,,I. Thomas misses 2-pt shot from 1 ft
1:11.0,,,70-81,,Offensive rebound by B. Bass
1:11.0,,,70-83,2,B. Bass makes 2-pt shot at rim
0:57.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,73-83,,
0:41.0,,,73-83,,Shooting foul by H. Barnes (drawn by J. Young)
0:41.0,,,73-83,,J. Young misses free throw 1 of 2
0:41.0,,,73-83,,Offensive rebound by Team
0:41.0,J. Holiday enters the game for H. Barnes,,73-83,,
0:41.0,,,73-84,1,J. Young makes free throw 2 of 2
0:31.0,K. Thompson misses 3-pt shot from 26 ft,,73-84,,
0:30.0,,,73-84,,Defensive rebound by J. Crowder
0:08.0,,,73-86,2,B. Bass makes 2-pt shot at rim (assist by I. Thomas)
0:02.0,S. Livingston makes 2-pt shot from 16 ft,2,75-86,,
0:00.0,,,75-86,,I. Thomas misses 3-pt shot from 51 ft
0:00.0,,,75-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,D. Green makes 3-pt shot from 27 ft (assist by A. Iguodala),3,78-86,,
11:13.0,,,78-86,,I. Thomas misses 2-pt shot from 4 ft (block by S. Livingston)
11:11.0,,,78-86,,Offensive rebound by M. Smart
11:01.0,,,78-86,,J. Crowder misses 3-pt shot from 27 ft
11:00.0,Defensive rebound by D. Green,,78-86,,
10:49.0,S. Livingston makes 2-pt shot at rim,2,80-86,,
10:49.0,Shooting foul by J. Crowder (drawn by S. Livingston),,80-86,,
10:49.0,S. Curry enters the game for K. Thompson,,80-86,,
10:49.0,S. Livingston makes free throw 1 of 1,1,81-86,,
10:40.0,,,81-86,,J. Crowder misses 2-pt shot from 2 ft (block by A. Iguodala)
10:40.0,,,81-86,,Offensive rebound by Team
10:32.0,,,81-86,,M. Smart misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by A. Iguodala,,81-86,,
10:20.0,J. Holiday misses 3-pt shot from 26 ft,,81-86,,
10:19.0,,,81-86,,Defensive rebound by I. Thomas
10:17.0,,,81-86,,Shooting foul by J. Holiday (drawn by J. Young)
10:17.0,,,81-87,1,J. Young makes free throw 1 of 2
10:17.0,,,81-87,,J. Young misses free throw 2 of 2
10:15.0,Defensive rebound by J. Holiday,,81-87,,
10:03.0,D. Green misses 2-pt shot from 3 ft,,81-87,,
10:02.0,Offensive rebound by A. Iguodala,,81-87,,
