time,Philadelphia,pts.away,score,pts.home,Houston
1:10.0,,,44-44,,J. Harden misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by M. Carter-Williams,,44-44,,
0:57.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,44-44,,
0:57.0,,,44-44,,Defensive rebound by K. Papanikolaou
0:53.0,Personal foul by T. Wroten (drawn by J. Harden),,44-44,,
0:53.0,,,44-45,1,J. Harden makes free throw 1 of 2
0:53.0,K. McDaniels enters the game for T. Wroten,,44-45,,
0:53.0,H. Thompson enters the game for D. Gordon,,44-45,,
0:53.0,,,44-46,1,J. Harden makes free throw 2 of 2
0:42.0,H. Thompson makes 3-pt shot from 22 ft (assist by M. Carter-Williams),3,47-46,,
0:28.0,,,47-46,,Turnover by D. Howard (3 sec)
0:28.0,Philadelphia full timeout,,47-46,,
0:10.0,M. Carter-Williams misses 2-pt shot from 7 ft (block by J. Terry),,47-46,,
0:09.0,,,47-46,,Defensive rebound by J. Terry
0:03.0,,,47-46,,Shooting foul by H. Thompson (drawn by J. Harden)
0:03.0,,,47-46,,J. Harden misses free throw 1 of 2
0:03.0,,,47-46,,Offensive rebound by Team
0:03.0,,,47-47,1,J. Harden makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,Shooting foul by I. Canaan (drawn by T. Wroten),,47-47,,
11:38.0,T. Wroten misses free throw 1 of 2,,47-47,,
11:38.0,Offensive rebound by Team,,47-47,,
11:38.0,T. Wroten makes free throw 2 of 2,1,48-47,,
11:30.0,,,48-49,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
11:08.0,T. Wroten makes 2-pt shot from 3 ft,2,50-49,,
10:56.0,,,50-49,,T. Ariza misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by T. Wroten,,50-49,,
10:48.0,H. Sims makes 2-pt shot from 1 ft (assist by T. Wroten),2,52-49,,
10:27.0,,,52-49,,D. Howard misses 2-pt shot from 6 ft
10:25.0,Defensive rebound by L. Mbah a Moute,,52-49,,
10:18.0,,,52-49,,Personal foul by D. Motiejunas (drawn by H. Sims)
10:10.0,Turnover by T. Wroten (bad pass; steal by T. Ariza),,52-49,,
10:06.0,,,52-49,,J. Harden misses 2-pt shot from 1 ft
10:04.0,Defensive rebound by L. Mbah a Moute,,52-49,,
9:46.0,,,52-49,,Personal foul by I. Canaan (drawn by T. Wroten)
9:31.0,Turnover by Team (shot clock),,52-49,,
9:19.0,,,52-49,,I. Canaan misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by B. Davies,,52-49,,
9:06.0,H. Sims misses 2-pt shot from 14 ft,,52-49,,
9:04.0,,,52-49,,Defensive rebound by J. Harden
8:56.0,,,52-49,,Turnover by T. Ariza (bad pass)
8:31.0,H. Sims misses 2-pt shot from 10 ft (block by D. Howard),,52-49,,
8:31.0,Offensive rebound by Team,,52-49,,
8:31.0,Turnover by Team (shot clock),,52-49,,
8:18.0,,,52-51,2,J. Harden makes 2-pt shot from 2 ft
7:57.0,B. Davies misses 3-pt shot from 25 ft,,52-51,,
7:56.0,,,52-51,,Defensive rebound by D. Howard
7:43.0,,,52-51,,Shooting foul by L. Mbah a Moute (drawn by J. Harden)
7:43.0,,,52-52,1,J. Harden makes free throw 1 of 2
7:43.0,N. Noel enters the game for B. Davies,,52-52,,
7:43.0,,,52-53,1,J. Harden makes free throw 2 of 2
7:25.0,L. Mbah a Moute misses 2-pt shot from 21 ft,,52-53,,
7:24.0,,,52-53,,Defensive rebound by T. Ariza
7:09.0,,,52-55,2,D. Howard makes 2-pt shot from 7 ft
7:08.0,Philadelphia full timeout,,52-55,,
7:08.0,M. Carter-Williams enters the game for L. Mbah a Moute,,52-55,,
6:56.0,T. Wroten misses 2-pt shot from 5 ft (block by D. Howard),,52-55,,
6:54.0,,,52-55,,Defensive rebound by J. Harden
6:48.0,,,52-55,,I. Canaan misses 2-pt shot from 1 ft (block by H. Sims)
6:47.0,Defensive rebound by H. Thompson,,52-55,,
6:38.0,,,52-55,,Violation by D. Howard (def goaltending)
6:38.0,H. Sims makes 2-pt shot from 5 ft,2,54-55,,
6:24.0,,,54-55,,T. Ariza misses 2-pt shot from 13 ft
6:22.0,Defensive rebound by H. Sims,,54-55,,
6:08.0,M. Carter-Williams misses 3-pt shot from 23 ft,,54-55,,
6:07.0,,,54-55,,Defensive rebound by D. Motiejunas
5:59.0,D. Gordon enters the game for H. Sims,,54-55,,
5:59.0,,,54-55,,J. Terry enters the game for I. Canaan
5:59.0,Jump ball: J. Harden vs. N. Noel (J. Terry gains possession),,,,Jump ball: J. Harden vs. N. Noel (J. Terry gains possession)
5:52.0,,,54-55,,Shooting foul by N. Noel (drawn by D. Howard)
5:52.0,,,54-55,,D. Howard misses free throw 1 of 2
5:52.0,,,54-55,,Offensive rebound by Team
5:52.0,,,54-55,,D. Howard misses free throw 2 of 2
5:51.0,Defensive rebound by M. Carter-Williams,,54-55,,
5:40.0,N. Noel misses 2-pt shot from 18 ft,,54-55,,
5:39.0,,,54-55,,Defensive rebound by J. Harden
5:25.0,,,54-55,,J. Harden misses 2-pt shot from 12 ft
5:22.0,Defensive rebound by Team,,54-55,,
5:22.0,,,54-55,,K. Papanikolaou enters the game for D. Motiejunas
5:08.0,Turnover by N. Noel (bad pass; steal by K. Papanikolaou),,54-55,,
5:02.0,,,54-55,,J. Terry misses 3-pt shot from 25 ft
4:58.0,,,54-55,,Offensive rebound by K. Papanikolaou
4:56.0,,,54-55,,Turnover by D. Howard (lost ball; steal by H. Thompson)
4:52.0,N. Noel makes 2-pt shot at rim (assist by H. Thompson),2,56-55,,
4:32.0,,,56-55,,Shooting foul by M. Carter-Williams (drawn by J. Harden)
4:32.0,,,56-56,1,J. Harden makes free throw 1 of 2
4:32.0,K. McDaniels enters the game for T. Wroten,,56-56,,
4:32.0,,,56-56,,T. Black enters the game for D. Howard
4:32.0,,,56-56,,F. Garcia enters the game for T. Ariza
4:32.0,,,56-57,1,J. Harden makes free throw 2 of 2
4:24.0,,,56-57,,Personal foul by K. Papanikolaou (drawn by M. Carter-Williams)
4:08.0,H. Thompson misses 2-pt shot from 12 ft,,56-57,,
4:07.0,,,56-57,,Defensive rebound by J. Harden
4:02.0,,,56-57,,Shooting foul by K. McDaniels (drawn by J. Harden)
4:02.0,,,56-58,1,J. Harden makes free throw 1 of 2
4:02.0,C. Johnson enters the game for H. Thompson,,56-58,,
4:02.0,,,56-59,1,J. Harden makes free throw 2 of 2
3:55.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,58-59,,
3:55.0,Shooting foul by T. Black (drawn by M. Carter-Williams),,58-59,,
3:55.0,M. Carter-Williams makes free throw 1 of 1,1,59-59,,
3:42.0,,,59-59,,J. Harden misses 2-pt shot from 10 ft
3:40.0,Defensive rebound by Team,,59-59,,
3:20.0,N. Noel misses 2-pt shot at rim,,59-59,,
3:20.0,Offensive rebound by N. Noel,,59-59,,
3:19.0,N. Noel makes 2-pt shot at rim,2,61-59,,
2:56.0,,,61-59,,F. Garcia misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by Team,,61-59,,
2:55.0,,,61-59,,Houston full timeout
2:55.0,,,61-59,,D. Howard enters the game for J. Harden
2:55.0,,,61-59,,T. Ariza enters the game for T. Black
2:55.0,B. Davies enters the game for D. Gordon,,61-59,,
2:31.0,B. Davies makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,63-59,,
2:11.0,,,63-59,,K. Papanikolaou misses 3-pt shot from 23 ft
2:10.0,Defensive rebound by C. Johnson,,63-59,,
2:02.0,B. Davies misses 3-pt shot from 24 ft,,63-59,,
2:00.0,,,63-59,,Defensive rebound by T. Ariza
1:51.0,,,63-61,2,D. Howard makes 2-pt shot at rim (assist by K. Papanikolaou)
1:38.0,,,63-61,,Violation by D. Howard (def goaltending)
1:38.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,65-61,,
1:28.0,,,65-61,,F. Garcia misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by K. McDaniels,,65-61,,
1:19.0,M. Carter-Williams makes 3-pt shot from 24 ft,3,68-61,,
1:03.0,,,68-61,,Shooting foul by K. McDaniels (drawn by D. Howard)
1:03.0,,,68-62,1,D. Howard makes free throw 1 of 2
1:03.0,,,68-62,,D. Howard misses free throw 2 of 2
1:02.0,Defensive rebound by M. Carter-Williams,,68-62,,
0:43.0,B. Davies misses 2-pt shot from 6 ft,,68-62,,
0:41.0,,,68-62,,Defensive rebound by D. Howard
0:27.0,,,68-62,,J. Terry misses 2-pt shot from 19 ft
0:26.0,,,68-62,,Offensive rebound by Team
0:26.0,Loose ball foul by B. Davies (drawn by D. Howard),,68-62,,
0:26.0,,,68-63,1,D. Howard makes free throw 1 of 2
0:26.0,,,68-63,,D. Howard misses free throw 2 of 2
0:26.0,Defensive rebound by C. Johnson,,68-63,,
0:17.0,C. Johnson misses 3-pt shot from 24 ft,,68-63,,
0:16.0,Offensive rebound by M. Carter-Williams,,68-63,,
0:13.0,M. Carter-Williams misses 2-pt shot from 3 ft,,68-63,,
0:12.0,,,68-63,,Defensive rebound by D. Howard
0:04.0,,,68-63,,Turnover by K. Papanikolaou (bad pass; steal by K. McDaniels)
0:01.0,M. Carter-Williams misses 2-pt shot from 4 ft,,68-63,,
0:00.0,,,68-63,,Defensive rebound by D. Howard
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by B. Davies (drawn by D. Howard),,68-63,,
11:37.0,,,68-63,,J. Terry misses 3-pt shot from 28 ft
11:37.0,Defensive rebound by Team,,68-63,,
11:37.0,,,68-63,,Loose ball foul by D. Howard (drawn by B. Davies)
11:17.0,K. McDaniels misses 2-pt shot from 4 ft (block by D. Howard),,68-63,,
11:17.0,Offensive rebound by Team,,68-63,,
11:13.0,T. Wroten misses 3-pt shot from 23 ft,,68-63,,
11:12.0,,,68-63,,Defensive rebound by D. Howard
10:52.0,,,68-63,,F. Garcia misses 3-pt shot from 23 ft
10:52.0,,,68-63,,Offensive rebound by Team
10:52.0,Loose ball foul by B. Davies (drawn by D. Howard),,68-63,,
10:52.0,,,68-63,,D. Motiejunas enters the game for K. Papanikolaou
10:52.0,D. Gordon enters the game for B. Davies,,68-63,,
10:47.0,,,68-63,,Turnover by F. Garcia (traveling)
10:34.0,T. Wroten misses 2-pt shot from 6 ft,,68-63,,
10:32.0,Offensive rebound by D. Gordon,,68-63,,
10:31.0,,,68-63,,J. Harden enters the game for F. Garcia
10:31.0,Turnover by D. Gordon (lost ball; steal by D. Motiejunas),,68-63,,
10:31.0,Jump ball: D. Gordon vs. D. Motiejunas (D. Howard gains possession),,,,Jump ball: D. Gordon vs. D. Motiejunas (D. Howard gains possession)
10:21.0,,,68-66,3,J. Terry makes 3-pt shot from 22 ft (assist by J. Harden)
10:06.0,D. Gordon misses 2-pt shot from 20 ft,,68-66,,
10:05.0,,,68-66,,Defensive rebound by D. Howard
9:41.0,,,68-68,2,J. Harden makes 2-pt shot from 20 ft
9:28.0,,,68-68,,Personal foul by J. Terry (drawn by K. McDaniels)
9:17.0,T. Wroten makes 3-pt shot from 27 ft (assist by D. Gordon),3,71-68,,
8:55.0,,,71-68,,D. Motiejunas misses 2-pt shot from 3 ft (block by H. Sims)
8:53.0,Defensive rebound by K. McDaniels,,71-68,,
8:51.0,Turnover by K. McDaniels (lost ball; steal by J. Terry),,71-68,,
8:51.0,Loose ball foul by K. McDaniels (drawn by J. Harden),,71-68,,
8:51.0,,,71-68,,Houston full timeout
8:51.0,,,71-68,,I. Canaan enters the game for J. Terry
8:51.0,N. Noel enters the game for K. McDaniels,,71-68,,
8:51.0,H. Thompson enters the game for D. Gordon,,71-68,,
8:41.0,,,71-68,,J. Harden misses 2-pt shot from 2 ft
8:40.0,,,71-68,,Offensive rebound by D. Howard
8:40.0,,,71-70,2,D. Howard makes 2-pt shot from 1 ft
8:19.0,T. Wroten misses 3-pt shot from 25 ft,,71-70,,
8:17.0,,,71-70,,Defensive rebound by T. Ariza
