time,San Antonio,pts.away,score,pts.home,LA Clippers
11:16.0,,,77-74,,Violation by J. Crawford (kicked ball)
11:09.0,D. Green makes 3-pt shot from 24 ft (assist by M. Ginobili),3,80-74,,
10:50.0,,,80-76,2,H. Turkoglu makes 2-pt shot from 20 ft (assist by A. Rivers)
10:39.0,P. Mills misses 2-pt shot from 6 ft,,80-76,,
10:38.0,Offensive rebound by T. Splitter,,80-76,,
10:31.0,B. Diaw misses 2-pt shot from 5 ft,,80-76,,
10:31.0,,,80-76,,Defensive rebound by A. Rivers
10:31.0,Personal foul by B. Diaw (drawn by A. Rivers),,80-76,,
10:31.0,T. Duncan enters the game for T. Splitter,,80-76,,
10:31.0,,,80-76,,D. Jordan enters the game for G. Davis
10:18.0,,,80-76,,J. Crawford misses 3-pt shot from 27 ft (block by D. Green)
10:16.0,Defensive rebound by P. Mills,,80-76,,
10:14.0,P. Mills makes 2-pt shot from 21 ft,2,82-76,,
10:00.0,,,82-78,2,A. Rivers makes 2-pt shot from 2 ft
9:47.0,,,82-78,,Personal foul by J. Redick (drawn by M. Ginobili)
9:47.0,,,82-78,,C. Paul enters the game for A. Rivers
9:47.0,T. Parker enters the game for P. Mills,,82-78,,
9:38.0,B. Diaw makes 2-pt shot from 11 ft (assist by M. Ginobili),2,84-78,,
9:18.0,,,84-78,,J. Crawford misses 2-pt shot from 4 ft
9:15.0,Defensive rebound by T. Duncan,,84-78,,
8:55.0,T. Duncan makes 2-pt shot from 5 ft,2,86-78,,
8:45.0,Personal foul by M. Ginobili (drawn by C. Paul),,86-78,,
8:45.0,Official timeout,,86-78,,
8:45.0,,,86-78,,B. Griffin enters the game for H. Turkoglu
8:30.0,,,86-78,,C. Paul misses 3-pt shot from 29 ft
8:29.0,Defensive rebound by T. Duncan,,86-78,,
8:17.0,,,86-78,,Violation by D. Jordan (kicked ball)
8:06.0,B. Diaw misses 2-pt shot from 5 ft,,86-78,,
8:04.0,Offensive rebound by B. Diaw,,86-78,,
7:59.0,B. Diaw misses 2-pt shot from 6 ft,,86-78,,
7:58.0,,,86-78,,Defensive rebound by C. Paul
7:48.0,,,86-78,,J. Crawford misses 3-pt shot from 26 ft
7:46.0,,,86-78,,Offensive rebound by B. Griffin
7:44.0,,,86-78,,Turnover by B. Griffin (bad pass; steal by T. Parker)
7:23.0,T. Parker misses 2-pt shot from 6 ft,,86-78,,
7:22.0,,,86-78,,Defensive rebound by C. Paul
7:08.0,,,86-78,,B. Griffin misses 2-pt shot from 17 ft
7:07.0,,,86-78,,Offensive rebound by Team
7:07.0,K. Leonard enters the game for M. Ginobili,,86-78,,
6:57.0,,,86-78,,B. Griffin misses 2-pt shot at rim
6:55.0,Defensive rebound by T. Duncan,,86-78,,
6:41.0,K. Leonard makes 2-pt shot from 16 ft,2,88-78,,
6:32.0,,,88-78,,LA Clippers full timeout
6:32.0,,,88-78,,M. Barnes enters the game for J. Crawford
6:22.0,,,88-80,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
5:56.0,T. Duncan misses 2-pt shot from 9 ft,,88-80,,
5:55.0,,,88-80,,Defensive rebound by D. Jordan
5:44.0,,,88-80,,Shooting foul by T. Duncan (drawn by D. Jordan)
5:44.0,,,88-80,,D. Jordan misses free throw 1 of 2
5:44.0,,,88-80,,Offensive rebound by Team
5:44.0,,,88-80,,D. Jordan misses free throw 2 of 2
5:43.0,Defensive rebound by K. Leonard,,88-80,,
5:27.0,T. Duncan misses 2-pt shot from 2 ft,,88-80,,
5:25.0,,,88-80,,Defensive rebound by D. Jordan
5:23.0,Personal foul by D. Green (drawn by C. Paul),,88-80,,
5:17.0,,,88-83,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Griffin)
5:10.0,San Antonio full timeout,,88-83,,
5:10.0,Technical foul by Team,,88-83,,
5:10.0,P. Mills enters the game for T. Parker,,88-83,,
5:10.0,,,88-83,,J. Redick misses technical free throw
5:10.0,Offensive rebound by Team,,88-83,,
4:51.0,B. Diaw misses 3-pt shot from 25 ft,,88-83,,
4:51.0,,,88-83,,Defensive rebound by Team
4:51.0,Personal take foul by T. Duncan (drawn by D. Jordan),,88-83,,
4:51.0,,,88-83,,D. Jordan misses free throw 1 of 2
4:51.0,,,88-83,,Offensive rebound by Team
4:51.0,M. Ginobili enters the game for D. Green,,88-83,,
4:51.0,,,88-83,,D. Jordan misses free throw 2 of 2
4:48.0,,,88-83,,Offensive rebound by B. Griffin
4:28.0,,,88-83,,B. Griffin misses 2-pt shot from 21 ft
4:27.0,,,88-83,,Offensive rebound by D. Jordan
4:27.0,,,88-83,,D. Jordan misses 2-pt shot from 3 ft
4:24.0,,,88-83,,Offensive rebound by C. Paul
4:23.0,Personal take foul by M. Ginobili (drawn by D. Jordan),,88-83,,
4:23.0,,,88-83,,D. Jordan misses free throw 1 of 2
4:23.0,,,88-83,,Offensive rebound by Team
4:23.0,,,88-84,1,D. Jordan makes free throw 2 of 2
4:06.0,K. Leonard misses 2-pt shot from 6 ft,,88-84,,
4:05.0,,,88-84,,Defensive rebound by B. Griffin
4:01.0,Personal take foul by T. Duncan (drawn by D. Jordan),,88-84,,
