time,Washington,pts.away,score,pts.home,Cleveland
9:24.0,,,69-89,2,K. Love makes 2-pt shot from 9 ft (assist by L. James)
8:59.0,K. Seraphin makes 2-pt shot from 7 ft (assist by A. Miller),2,71-89,,
8:37.0,,,71-89,,D. Waiters misses 2-pt shot from 21 ft
8:36.0,Defensive rebound by R. Butler,,71-89,,
8:13.0,K. Seraphin misses 2-pt shot from 17 ft,,71-89,,
8:12.0,,,71-89,,Defensive rebound by L. James
8:05.0,,,71-89,,D. Waiters misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by K. Seraphin,,71-89,,
7:55.0,A. Miller misses 2-pt shot from 2 ft,,71-89,,
7:54.0,,,71-89,,Defensive rebound by D. Waiters
7:52.0,,,71-89,,Shooting foul by O. Porter (drawn by D. Waiters)
7:52.0,,,71-90,1,D. Waiters makes free throw 1 of 2
7:52.0,,,71-90,,S. Marion enters the game for L. James
7:52.0,,,71-90,,K. Irving enters the game for W. Cherry
7:52.0,J. Wall enters the game for O. Porter,,71-90,,
7:52.0,B. Beal enters the game for A. Miller,,71-90,,
7:52.0,,,71-91,1,D. Waiters makes free throw 2 of 2
7:40.0,B. Beal misses 2-pt shot from 19 ft,,71-91,,
7:39.0,Offensive rebound by D. Blair,,71-91,,
7:37.0,Turnover by J. Wall (bad pass; steal by D. Waiters),,71-91,,
7:30.0,,,71-91,,D. Waiters misses 2-pt shot at rim
7:30.0,Defensive rebound by Team,,71-91,,
7:12.0,B. Beal makes 2-pt shot at rim (assist by K. Seraphin),2,73-91,,
6:59.0,,,73-93,2,K. Irving makes 2-pt shot from 6 ft
6:44.0,R. Butler misses 2-pt shot from 18 ft,,73-93,,
6:43.0,Offensive rebound by K. Seraphin,,73-93,,
6:43.0,,,73-93,,Personal foul by K. Love (drawn by K. Seraphin)
6:30.0,K. Seraphin misses 2-pt shot from 13 ft,,73-93,,
6:30.0,,,73-93,,Defensive rebound by Team
6:30.0,,,73-93,,A. Varejao enters the game for K. Love
6:17.0,,,73-95,2,K. Irving makes 2-pt shot from 14 ft
6:02.0,Shooting foul by A. Varejao (drawn by K. Seraphin),,73-95,,
6:02.0,K. Seraphin misses free throw 1 of 2,,73-95,,
6:02.0,Offensive rebound by Team,,73-95,,
6:02.0,K. Seraphin makes free throw 2 of 2,1,74-95,,
5:45.0,,,74-97,2,T. Thompson makes 2-pt shot from 7 ft (assist by K. Irving)
5:33.0,B. Beal misses 2-pt shot from 5 ft,,74-97,,
5:32.0,Offensive rebound by K. Seraphin,,74-97,,
5:27.0,R. Butler makes 2-pt shot from 5 ft (assist by K. Seraphin),2,76-97,,
5:05.0,,,76-97,,D. Waiters misses 3-pt shot from 25 ft
5:05.0,,,76-97,,Offensive rebound by Team
5:05.0,Official timeout,,76-97,,
5:05.0,O. Porter enters the game for B. Beal,,76-97,,
5:05.0,A. Miller enters the game for J. Wall,,76-97,,
4:46.0,,,76-100,3,K. Irving makes 3-pt shot from 25 ft (assist by D. Waiters)
