time,Minnesota,pts.away,score,pts.home,Detroit
3:13.0,,,51-42,,A. Tolliver enters the game for A. Drummond
3:13.0,A. Wiggins misses free throw 2 of 2,,51-42,,
3:12.0,,,51-42,,Defensive rebound by G. Monroe
2:56.0,,,51-45,3,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Augustin)
2:41.0,,,51-45,,Personal foul by G. Monroe (drawn by N. Pekovic)
2:27.0,K. Martin misses 2-pt shot from 8 ft,,51-45,,
2:25.0,Offensive rebound by K. Martin,,51-45,,
2:23.0,K. Martin makes 2-pt shot at rim,2,53-45,,
2:03.0,,,53-45,,G. Monroe misses 2-pt shot at rim
2:01.0,Defensive rebound by N. Pekovic,,53-45,,
1:50.0,N. Pekovic misses 2-pt shot from 4 ft,,53-45,,
1:49.0,,,53-45,,Defensive rebound by A. Tolliver
1:40.0,,,53-48,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by K. Singler)
1:18.0,Shooting foul by G. Monroe (drawn by N. Pekovic),,53-48,,
1:18.0,,,53-48,,Technical foul by G. Monroe (drawn by N. Pekovic)
1:18.0,M. Williams makes technical free throw,1,54-48,,
1:18.0,N. Pekovic makes free throw 1 of 2,1,55-48,,
1:18.0,,,55-48,,J. Anthony enters the game for G. Monroe
1:18.0,N. Pekovic makes free throw 2 of 2,1,56-48,,
1:04.0,,,56-51,3,D. Augustin makes 3-pt shot from 25 ft
0:50.0,K. Martin makes 2-pt shot from 15 ft (assist by M. Williams),2,58-51,,
0:41.0,,,58-51,,Offensive foul by J. Anthony
0:41.0,,,58-51,,Turnover by J. Anthony (offensive foul)
0:34.0,M. Williams misses 2-pt shot from 18 ft,,58-51,,
0:31.0,Offensive rebound by Team,,58-51,,
0:14.0,Shooting foul by D. Augustin (drawn by M. Williams),,58-51,,
0:14.0,M. Williams makes free throw 1 of 3,1,59-51,,
0:14.0,M. Williams makes free throw 2 of 3,1,60-51,,
0:14.0,,,60-51,,J. Lucas III enters the game for D. Augustin
0:14.0,G. Dieng enters the game for N. Pekovic,,60-51,,
