time,LA Lakers,pts.away,score,pts.home,Oklahoma City
3:01.0,J. Clarkson enters the game for B. Ingram,,69-71,,
3:01.0,K. Caldwell-Pope makes technical free throw,1,70-71,,
2:48.0,Shooting foul by A. Abrines (drawn by J. Randle),,70-71,,
2:48.0,J. Randle misses free throw 1 of 2,,70-71,,
2:48.0,Offensive rebound by Team,,70-71,,
2:48.0,J. Randle makes free throw 2 of 2,1,71-71,,
2:34.0,,,71-73,2,R. Westbrook makes 2-pt shot at rim
2:26.0,J. Clarkson makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope),3,74-73,,
2:08.0,,,74-73,,R. Westbrook misses 2-pt shot from 2 ft
2:06.0,,,74-73,,Offensive rebound by S. Adams
2:06.0,,,74-73,,J. Grant enters the game for C. Anthony
2:06.0,K. Kuzma enters the game for J. Randle,,74-73,,
1:59.0,,,74-75,2,R. Westbrook makes 2-pt shot from 13 ft
1:36.0,B. Lopez makes 2-pt shot from 11 ft,2,76-75,,
1:27.0,,,76-77,2,R. Westbrook makes 2-pt shot from 18 ft
1:27.0,,,76-77,,Shooting foul by J. Clarkson (drawn by R. Westbrook)
1:27.0,,,76-78,1,R. Westbrook makes free throw 1 of 1
1:17.0,K. Caldwell-Pope misses 2-pt shot from 8 ft,,76-78,,
1:17.0,Turnover by K. Caldwell-Pope (turnover),,76-78,,
1:17.0,Offensive rebound by Team,,76-78,,
1:17.0,,,76-78,,J. Huestis enters the game for P. George
1:09.0,,,76-78,,Offensive foul by S. Adams
1:09.0,,,76-78,,Turnover by S. Adams (offensive foul)
1:09.0,,,76-78,,Technical foul by S. Adams
1:09.0,J. Clarkson makes technical free throw,1,77-78,,
0:50.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Lopez),2,79-78,,
0:50.0,Shooting foul by A. Abrines (drawn by K. Caldwell-Pope),,79-78,,
0:50.0,K. Caldwell-Pope misses free throw 1 of 1,,79-78,,
0:49.0,,,79-78,,Defensive rebound by J. Grant
0:38.0,,,79-78,,Shooting foul by B. Lopez (drawn by J. Grant)
0:38.0,,,79-78,,J. Grant misses free throw 1 of 2
0:38.0,,,79-78,,Offensive rebound by Team
0:38.0,,,79-79,1,J. Grant makes free throw 2 of 2
