time,Houston,pts.away,score,pts.home,Sacramento
8:43.0,,,62-52,,W. Cauley-Stein misses 2-pt shot from 19 ft
8:39.0,Defensive rebound by C. Capela,,62-52,,
8:24.0,J. Harden misses 3-pt shot from 25 ft,,62-52,,
8:20.0,,,62-52,,Defensive rebound by S. Labissiere
8:15.0,,,62-54,2,G. Hill makes 2-pt shot from 10 ft
8:02.0,Turnover by E. Gordon (bad pass),,62-54,,
7:49.0,,,62-56,2,G. Hill makes 2-pt shot from 1 ft
7:31.0,E. Gordon misses 3-pt shot from 24 ft,,62-56,,
7:30.0,Offensive rebound by Team,,62-56,,
7:26.0,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon),2,64-56,,
7:05.0,,,64-56,,B. Hield misses 3-pt shot from 24 ft
7:03.0,,,64-56,,Offensive rebound by W. Cauley-Stein
7:02.0,,,64-58,2,S. Labissiere makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
6:44.0,R. Anderson misses 3-pt shot from 25 ft,,64-58,,
6:39.0,Offensive rebound by C. Capela,,64-58,,
6:37.0,J. Harden misses 3-pt shot from 26 ft,,64-58,,
6:35.0,,,64-58,,Defensive rebound by S. Labissiere
6:22.0,,,64-58,,G. Hill misses 3-pt shot from 24 ft
6:20.0,,,64-58,,Offensive rebound by Team
6:20.0,Loose ball foul by R. Anderson (drawn by W. Cauley-Stein),,64-58,,
6:20.0,Houston full timeout,,64-58,,
6:20.0,P. Tucker enters the game for R. Anderson,,64-58,,
6:20.0,L. Mbah a Moute enters the game for E. Gordon,,64-58,,
6:05.0,,,64-58,,W. Cauley-Stein misses 2-pt shot from 4 ft
6:02.0,Defensive rebound by C. Capela,,64-58,,
5:46.0,T. Ariza misses 3-pt shot from 23 ft,,64-58,,
5:43.0,,,64-58,,Defensive rebound by W. Cauley-Stein
5:29.0,,,64-60,2,B. Hield makes 2-pt shot from 12 ft
5:16.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by P. Tucker),2,66-60,,
4:59.0,,,66-62,2,B. Hield makes 2-pt shot from 14 ft
4:35.0,Turnover by C. Capela (traveling),,66-62,,
4:35.0,,,66-62,,G. Temple enters the game for J. Jackson
4:35.0,N. Hilario enters the game for C. Capela,,66-62,,
4:19.0,,,66-65,3,B. Hield makes 3-pt shot from 25 ft
4:01.0,J. Harden makes 2-pt shot from 1 ft,2,68-65,,
3:54.0,,,68-65,,Turnover by G. Hill (bad pass)
3:38.0,N. Hilario misses 2-pt shot from 3 ft,,68-65,,
3:35.0,,,68-65,,Defensive rebound by W. Cauley-Stein
3:33.0,,,68-68,3,B. Hield makes 3-pt shot from 24 ft (assist by G. Hill)
3:26.0,Houston full timeout,,68-68,,
3:26.0,E. Gordon enters the game for T. Ariza,,68-68,,
3:15.0,N. Hilario makes 2-pt shot from 2 ft,2,70-68,,
2:56.0,,,70-68,,Turnover by S. Labissiere (traveling)
2:43.0,J. Harden misses 3-pt shot from 25 ft,,70-68,,
2:40.0,,,70-68,,Defensive rebound by S. Labissiere
2:37.0,,,70-68,,G. Hill misses 2-pt shot at rim
2:35.0,Defensive rebound by L. Mbah a Moute,,70-68,,
2:23.0,E. Gordon misses 2-pt shot from 1 ft (block by W. Cauley-Stein),,70-68,,
2:19.0,,,70-68,,Defensive rebound by S. Labissiere
2:08.0,,,70-68,,Turnover by G. Hill (bad pass; steal by N. Hilario)
2:05.0,Turnover by N. Hilario (lost ball; steal by B. Hield),,70-68,,
2:01.0,,,70-68,,G. Temple misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by N. Hilario,,70-68,,
1:52.0,E. Gordon misses 3-pt shot from 29 ft,,70-68,,
1:47.0,,,70-68,,Defensive rebound by W. Cauley-Stein
1:40.0,,,70-68,,Turnover by S. Labissiere (bad pass; steal by J. Harden)
1:35.0,Turnover by J. Harden (lost ball; steal by G. Temple),,70-68,,
1:19.0,,,70-68,,B. Hield misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by N. Hilario,,70-68,,
1:11.0,Shooting foul by B. Hield (drawn by E. Gordon),,70-68,,
1:11.0,E. Gordon makes free throw 2 of 2,1,71-68,,
1:11.0,E. Gordon makes free throw 1 of 2,1,72-68,,
1:11.0,,,72-68,,K. Koufos enters the game for G. Hill
1:11.0,,,72-68,,D. Fox enters the game for S. Labissiere
1:11.0,D. Jackson enters the game for J. Harden,,72-68,,
0:59.0,Violation by L. Mbah a Moute (kicked ball),,72-68,,
0:54.0,,,72-68,,Turnover by D. Fox (bad pass; steal by D. Jackson)
0:49.0,E. Gordon makes 3-pt shot from 26 ft (assist by D. Jackson),3,75-68,,
0:32.0,,,75-70,2,W. Cauley-Stein makes 2-pt shot from 19 ft (assist by D. Fox)
0:12.0,D. Jackson misses 3-pt shot from 23 ft,,75-70,,
0:08.0,,,75-70,,Defensive rebound by G. Temple
0:03.0,,,75-72,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Fox)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,75-72,,B. Hield misses 2-pt shot from 15 ft
11:38.0,Defensive rebound by D. Jackson,,75-72,,
11:28.0,Turnover by P. Tucker (turnover),,75-72,,
11:15.0,Personal foul by N. Hilario (drawn by K. Koufos),,75-72,,
11:09.0,,,75-74,2,D. Fox makes 2-pt shot from 1 ft (assist by G. Temple)
10:50.0,E. Gordon misses 3-pt shot from 25 ft,,75-74,,
10:49.0,,,75-74,,Defensive rebound by Team
10:49.0,Personal foul by N. Hilario (drawn by V. Carter),,75-74,,
10:49.0,,,75-74,,J. Jackson enters the game for B. Hield
10:38.0,,,75-74,,Turnover by V. Carter (bad pass)
10:18.0,E. Gordon misses 2-pt shot from 2 ft,,75-74,,
10:16.0,Offensive rebound by N. Hilario,,75-74,,
10:16.0,N. Hilario makes 2-pt shot from 1 ft,2,77-74,,
10:16.0,Shooting foul by V. Carter (drawn by N. Hilario),,77-74,,
10:16.0,N. Hilario makes free throw 1 of 1,1,78-74,,
9:59.0,,,78-74,,G. Temple misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by D. Jackson,,78-74,,
9:42.0,D. Jackson misses 2-pt shot from 1 ft,,78-74,,
9:40.0,,,78-74,,Defensive rebound by K. Koufos
9:30.0,,,78-74,,D. Fox misses 2-pt shot from 8 ft (block by D. Jackson)
