time,Houston,pts.away,score,pts.home,Memphis
9:42.0,,,85-73,,T. Evans misses 2-pt shot at rim
9:42.0,,,85-73,,Offensive rebound by Team
9:42.0,Loose ball foul by N. Hilario (drawn by D. Davis),,85-73,,
9:30.0,,,85-73,,Turnover by M. Chalmers (bad pass; steal by C. Paul)
9:29.0,,,85-73,,Personal take foul by T. Evans (drawn by C. Paul)
9:18.0,C. Paul misses 3-pt shot from 25 ft,,85-73,,
9:15.0,Offensive rebound by Team,,85-73,,
9:12.0,Shooting foul by D. Davis (drawn by R. Anderson),,85-73,,
9:12.0,R. Anderson makes free throw 1 of 2,1,86-73,,
9:12.0,R. Anderson makes free throw 2 of 2,1,87-73,,
8:55.0,,,87-73,,Shooting foul by E. Gordon (drawn by M. Chalmers)
8:55.0,,,87-74,1,M. Chalmers makes free throw 1 of 2
8:55.0,,,87-75,1,M. Chalmers makes free throw 2 of 2
8:42.0,Turnover by C. Paul (traveling),,87-75,,
8:42.0,,,87-75,,D. Brooks enters the game for B. McLemore
8:26.0,,,87-75,,M. Chalmers misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by R. Anderson,,87-75,,
8:18.0,R. Anderson makes 3-pt shot from 24 ft (assist by C. Paul),3,90-75,,
8:08.0,Personal foul by N. Hilario (drawn by D. Brooks),,90-75,,
8:08.0,C. Capela enters the game for C. Paul,,90-75,,
8:08.0,J. Harden enters the game for N. Hilario,,90-75,,
7:53.0,,,90-75,,T. Evans misses 2-pt shot at rim (block by C. Capela)
7:49.0,,,90-75,,Offensive rebound by T. Evans
7:48.0,,,90-75,,Turnover by Team (shot clock)
7:33.0,,,90-75,,Personal foul by M. Chalmers (drawn by J. Harden)
7:33.0,,,90-75,,M. Gasol enters the game for T. Evans
7:33.0,,,90-75,,C. Parsons enters the game for D. Davis
7:30.0,Turnover by C. Capela (lost ball; steal by M. Chalmers),,90-75,,
7:30.0,Personal foul by C. Capela (drawn by M. Chalmers),,90-75,,
7:17.0,,,90-75,,D. Brooks misses 3-pt shot from 23 ft
7:14.0,,,90-75,,Offensive rebound by M. Gasol
7:11.0,,,90-75,,Turnover by M. Gasol (bad pass; steal by T. Ariza)
7:07.0,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza),3,93-75,,
6:50.0,,,93-75,,J. Ennis misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by J. Harden,,93-75,,
6:29.0,C. Capela misses 2-pt shot at rim,,93-75,,
6:27.0,,,93-75,,Defensive rebound by M. Gasol
6:25.0,,,93-75,,C. Parsons misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by C. Capela,,93-75,,
6:12.0,Offensive foul by R. Anderson (drawn by M. Chalmers),,93-75,,
6:12.0,Turnover by R. Anderson (offensive foul),,93-75,,
6:12.0,,,93-75,,J. Green enters the game for J. Ennis
6:00.0,Personal foul by T. Ariza (drawn by C. Parsons),,93-75,,
6:00.0,,,93-76,1,C. Parsons makes free throw 1 of 2
6:00.0,,,93-77,1,C. Parsons makes free throw 2 of 2
5:56.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,95-77,,
5:56.0,Shooting foul by C. Parsons (drawn by T. Ariza),,95-77,,
5:56.0,T. Ariza makes free throw 1 of 1,1,96-77,,
5:33.0,,,96-77,,C. Parsons misses 2-pt shot from 15 ft
5:29.0,Defensive rebound by C. Capela,,96-77,,
5:19.0,,,96-77,,Personal foul by C. Parsons (drawn by J. Harden)
5:19.0,J. Harden makes free throw 1 of 2,1,97-77,,
5:19.0,J. Harden makes free throw 2 of 2,1,98-77,,
5:02.0,,,98-77,,M. Gasol misses 2-pt shot from 7 ft
5:00.0,Defensive rebound by R. Anderson,,98-77,,
4:56.0,J. Harden misses 3-pt shot from 26 ft,,98-77,,
4:53.0,Offensive rebound by C. Capela,,98-77,,
4:53.0,,,98-77,,Personal foul by M. Gasol (drawn by C. Capela)
4:53.0,C. Capela misses free throw 1 of 2,,98-77,,
4:53.0,Offensive rebound by Team,,98-77,,
4:53.0,P. Tucker enters the game for E. Gordon,,98-77,,
4:53.0,L. Mbah a Moute enters the game for R. Anderson,,98-77,,
4:53.0,C. Capela misses free throw 2 of 2,,98-77,,
4:51.0,,,98-77,,Defensive rebound by M. Gasol
4:39.0,,,98-77,,M. Gasol misses 2-pt shot from 18 ft
4:36.0,Defensive rebound by P. Tucker,,98-77,,
4:29.0,Offensive foul by C. Capela (drawn by C. Parsons),,98-77,,
4:29.0,Turnover by C. Capela (offensive foul),,98-77,,
4:29.0,,,98-77,,A. Harrison enters the game for M. Chalmers
4:29.0,,,98-77,,D. Davis enters the game for M. Gasol
4:15.0,,,98-77,,D. Brooks misses 2-pt shot from 21 ft
4:13.0,,,98-77,,Offensive rebound by D. Davis
4:13.0,,,98-77,,Shooting foul by C. Capela (drawn by D. Davis)
4:13.0,,,98-78,1,D. Davis makes free throw 1 of 2
4:13.0,,,98-78,,B. McLemore enters the game for D. Brooks
4:13.0,,,98-78,,D. Davis misses free throw 2 of 2
4:11.0,Defensive rebound by C. Capela,,98-78,,
3:49.0,J. Harden makes 2-pt shot from 9 ft,2,100-78,,
3:31.0,,,100-78,,J. Green misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
3:31.0,Defensive rebound by T. Ariza,,100-78,,
