time,Toronto,pts.away,score,pts.home,Denver
3:22.0,Personal foul by P. Siakam (drawn by P. Millsap),,60-89,,
3:22.0,,,60-90,1,P. Millsap makes free throw 1 of 2
3:22.0,,,60-90,,W. Chandler enters the game for G. Harris
3:22.0,J. Poeltl enters the game for L. Nogueira,,60-90,,
3:22.0,,,60-90,,P. Millsap misses free throw 2 of 2
3:20.0,Defensive rebound by P. Siakam,,60-90,,
3:10.0,C. Miles misses 2-pt shot from 7 ft,,60-90,,
3:08.0,,,60-90,,Defensive rebound by P. Millsap
2:57.0,,,60-93,2,J. Murray makes 3-pt shot from 23 ft (assist by P. Millsap)
2:46.0,P. Siakam misses 2-pt shot from 3 ft,,60-93,,
2:43.0,,,60-93,,Defensive rebound by M. Plumlee
2:36.0,,,60-93,,W. Chandler misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by J. Poeltl,,60-93,,
2:32.0,N. Powell makes 2-pt shot from 2 ft,2,62-93,,
2:32.0,Shooting foul by W. Barton (drawn by N. Powell),,62-93,,
2:32.0,N. Powell misses free throw 1 of 1,,62-93,,
2:28.0,,,62-93,,Defensive rebound by W. Chandler
2:14.0,,,62-93,,P. Millsap misses 2-pt shot from 13 ft
2:12.0,,,62-93,,Offensive rebound by M. Plumlee
2:10.0,,,62-96,3,W. Barton makes 3-pt shot from 25 ft (assist by W. Chandler)
1:58.0,Turnover by C. Miles (lost ball; steal by M. Plumlee),,62-96,,
1:57.0,Personal foul by C. Miles (drawn by M. Plumlee),,62-96,,
1:57.0,,,62-96,,M. Plumlee misses free throw 1 of 2
1:57.0,,,62-96,,Offensive rebound by Team
1:57.0,,,62-96,,E. Mudiay enters the game for P. Millsap
1:57.0,,,62-96,,N. Jokic enters the game for J. Murray
1:57.0,,,62-96,,M. Plumlee misses free throw 2 of 2
1:55.0,Defensive rebound by P. Siakam,,62-96,,
1:41.0,N. Powell misses 3-pt shot from 25 ft,,62-96,,
1:37.0,,,62-96,,Defensive rebound by M. Plumlee
1:33.0,,,62-96,,Shooting foul by J. Poeltl (drawn by M. Plumlee)
1:33.0,,,62-97,1,M. Plumlee makes free throw 1 of 2
1:33.0,,,62-98,1,M. Plumlee makes free throw 2 of 2
1:22.0,P. Siakam makes 2-pt shot from 3 ft (assist by N. Powell),2,64-98,,
0:54.0,,,64-100,2,M. Plumlee makes 2-pt shot from 3 ft (assist by W. Chandler)
0:46.0,,,64-100,,Personal foul by N. Jokic (drawn by D. Wright)
0:46.0,D. Wright makes free throw 1 of 2,1,65-100,,
0:46.0,D. Wright makes free throw 2 of 2,1,66-100,,
0:41.0,,,66-100,,Turnover by E. Mudiay (traveling)
0:37.0,D. Wright makes 3-pt shot from 25 ft,3,69-100,,
0:23.0,,,69-103,3,W. Barton makes 3-pt shot from 22 ft (assist by W. Chandler)
0:03.0,N. Powell makes 2-pt shot from 4 ft,2,71-103,,
0:00.0,,,71-103,,E. Mudiay misses 3-pt shot from 32 ft
0:00.0,,,71-103,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,P. Siakam misses 2-pt shot from 4 ft,,71-103,,
11:34.0,Offensive rebound by J. Poeltl,,71-103,,
11:34.0,J. Poeltl makes 2-pt shot at rim,2,73-103,,
11:20.0,,,73-103,,W. Barton misses 2-pt shot from 12 ft
11:17.0,Defensive rebound by J. Poeltl,,73-103,,
11:09.0,P. Siakam misses 3-pt shot from 25 ft,,73-103,,
11:06.0,,,73-103,,Defensive rebound by N. Jokic
10:44.0,,,73-103,,W. Chandler misses 3-pt shot from 23 ft
10:41.0,Defensive rebound by P. Siakam,,73-103,,
10:28.0,Turnover by D. Wright (bad pass; steal by E. Mudiay),,73-103,,
10:28.0,Personal foul by O. Anunoby (drawn by E. Mudiay),,73-103,,
10:28.0,,,73-104,1,E. Mudiay makes free throw 2 of 2
10:28.0,,,73-104,,E. Mudiay misses free throw 1 of 2
10:28.0,,,73-104,,Offensive rebound by Team
10:13.0,,,73-106,2,N. Jokic makes 2-pt shot from 21 ft (assist by E. Mudiay)
10:03.0,F. VanVleet misses 3-pt shot from 25 ft,,73-106,,
10:03.0,,,73-106,,Defensive rebound by E. Mudiay
9:54.0,,,73-108,2,E. Mudiay makes 2-pt shot from 4 ft
9:41.0,D. Wright misses 3-pt shot from 27 ft,,73-108,,
9:37.0,,,73-108,,Defensive rebound by M. Plumlee
9:29.0,,,73-108,,Turnover by M. Plumlee (lost ball; steal by O. Anunoby)
9:20.0,O. Anunoby makes 3-pt shot from 25 ft (assist by D. Wright),3,76-108,,
8:58.0,,,76-108,,Turnover by W. Barton (turnover)
8:58.0,A. McKinnie enters the game for P. Siakam,,76-108,,
8:37.0,F. VanVleet misses 2-pt shot from 3 ft,,76-108,,
8:35.0,Offensive rebound by J. Poeltl,,76-108,,
8:35.0,J. Poeltl makes 2-pt shot from 3 ft,2,78-108,,
8:35.0,,,78-108,,Denver full timeout
8:24.0,,,78-108,,N. Jokic misses 2-pt shot from 3 ft (block by F. VanVleet)
8:18.0,,,78-108,,Offensive rebound by N. Jokic
8:17.0,,,78-110,2,N. Jokic makes 2-pt shot from 1 ft
8:07.0,Turnover by D. Wright (lost ball; steal by N. Jokic),,78-110,,
8:02.0,,,78-112,2,E. Mudiay makes 2-pt shot from 3 ft
7:41.0,Shooting foul by N. Jokic (drawn by A. McKinnie),,78-112,,
7:41.0,A. McKinnie makes free throw 1 of 2,1,79-112,,
7:41.0,,,79-112,,K. Faried enters the game for N. Jokic
7:41.0,A. McKinnie makes free throw 2 of 2,1,80-112,,
7:23.0,,,80-112,,W. Chandler misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by O. Anunoby,,80-112,,
7:11.0,A. McKinnie makes 2-pt shot from 6 ft (assist by O. Anunoby),2,82-112,,
6:51.0,,,82-115,3,W. Barton makes 3-pt shot from 25 ft (assist by W. Chandler)
6:35.0,F. VanVleet misses 2-pt shot from 4 ft,,82-115,,
6:33.0,,,82-115,,Defensive rebound by M. Plumlee
6:31.0,,,82-115,,W. Barton misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by A. McKinnie,,82-115,,
6:22.0,J. Poeltl misses 2-pt shot from 3 ft,,82-115,,
6:20.0,,,82-115,,Defensive rebound by W. Barton
