time,LA Lakers,pts.away,score,pts.home,Denver
11:00.0,Defensive rebound by T. Wear,,98-94,,
10:55.0,Turnover by I. Thomas (bad pass),,98-94,,
10:39.0,,,98-94,,Shooting foul by I. Zubac (drawn by M. Plumlee)
10:39.0,,,98-95,1,M. Plumlee makes free throw 1 of 2
10:39.0,,,98-96,1,M. Plumlee makes free throw 2 of 2
10:31.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,98-96,,
10:26.0,,,98-96,,Defensive rebound by J. Hernangomez
10:20.0,,,98-96,,W. Barton misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by I. Thomas,,98-96,,
10:13.0,I. Thomas makes 2-pt shot from 3 ft,2,100-96,,
9:59.0,,,100-98,2,D. Harris makes 2-pt shot from 1 ft
9:48.0,I. Thomas misses 2-pt shot from 11 ft,,100-98,,
9:46.0,,,100-98,,Defensive rebound by T. Lyles
9:34.0,,,100-98,,Shooting foul by T. Wear (drawn by M. Plumlee)
9:34.0,,,100-99,1,M. Plumlee makes free throw 1 of 2
9:34.0,,,100-99,,M. Plumlee misses free throw 2 of 2
9:32.0,Defensive rebound by K. Caldwell-Pope,,100-99,,
9:19.0,,,100-99,,Personal foul by W. Barton (drawn by T. Ennis)
9:14.0,T. Wear misses 3-pt shot from 24 ft,,100-99,,
9:11.0,Offensive rebound by T. Ennis,,100-99,,
9:05.0,Turnover by T. Ennis (bad pass),,100-99,,
8:49.0,,,100-101,2,W. Barton makes 2-pt shot from 5 ft
8:31.0,Offensive charge foul by T. Ennis (drawn by D. Harris),,100-101,,
8:31.0,Turnover by T. Ennis (offensive foul),,100-101,,
8:31.0,B. Lopez enters the game for I. Zubac,,100-101,,
8:31.0,K. Kuzma enters the game for T. Wear,,100-101,,
8:10.0,,,100-101,,T. Lyles misses 2-pt shot from 4 ft
8:08.0,Defensive rebound by K. Kuzma,,100-101,,
8:00.0,K. Kuzma makes 2-pt shot from 2 ft,2,102-101,,
7:39.0,,,102-103,2,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Lyles)
7:31.0,,,102-103,,Personal block foul by M. Plumlee (drawn by I. Thomas)
7:31.0,,,102-103,,J. Murray enters the game for W. Barton
7:31.0,,,102-103,,G. Harris enters the game for J. Hernangomez
7:31.0,L. Ball enters the game for T. Ennis,,102-103,,
7:23.0,B. Lopez makes 2-pt shot from 5 ft,2,104-103,,
7:04.0,,,104-105,2,T. Lyles makes 2-pt shot from 1 ft (assist by J. Murray)
6:54.0,K. Caldwell-Pope misses 2-pt shot from 4 ft,,104-105,,
6:53.0,Offensive rebound by K. Caldwell-Pope,,104-105,,
6:51.0,K. Caldwell-Pope makes 3-pt shot from 22 ft,3,107-105,,
6:33.0,,,107-105,,D. Harris misses 2-pt shot from 3 ft
6:30.0,Defensive rebound by L. Ball,,107-105,,
6:28.0,Turnover by L. Ball (lost ball; steal by G. Harris),,107-105,,
