time,Boston,pts.away,score,pts.home,Memphis
1:23.0,Turnover by T. Rozier (turnover; steal by M. Gasol),,69-65,,
1:18.0,,,69-68,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans)
1:03.0,Offensive charge foul by M. Smart (drawn by M. Chalmers),,69-68,,
1:03.0,Turnover by M. Smart (offensive foul),,69-68,,
0:48.0,,,69-68,,M. Gasol misses 2-pt shot from 7 ft
0:48.0,,,69-68,,Offensive rebound by J. Martin
0:48.0,,,69-70,2,J. Martin makes 2-pt shot at rim
0:27.0,A. Horford makes 2-pt shot from 10 ft,2,71-70,,
0:08.0,,,71-73,3,M. Gasol makes 3-pt shot from 26 ft (assist by T. Evans)
0:01.0,Turnover by M. Smart (out of bounds lost ball),,71-73,,
0:01.0,Personal foul by M. Smart (drawn by T. Evans),,71-73,,
0:00.0,,,71-73,,M. Chalmers misses 3-pt shot from 51 ft
0:00.0,,,71-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,71-73,,Personal foul by J. Ennis (drawn by J. Tatum)
11:42.0,J. Tatum misses 2-pt shot at rim,,71-73,,
11:38.0,Offensive rebound by A. Horford,,71-73,,
11:38.0,A. Horford misses 2-pt shot at rim,,71-73,,
11:38.0,Offensive rebound by D. Theis,,71-73,,
11:20.0,A. Horford makes 2-pt shot from 4 ft,2,73-73,,
11:20.0,Shooting foul by D. Davis (drawn by A. Horford),,73-73,,
11:20.0,A. Horford misses free throw 1 of 1,,73-73,,
11:18.0,,,73-73,,Defensive rebound by J. Martin
11:08.0,,,73-73,,Offensive foul by D. Davis (drawn by T. Rozier)
11:08.0,,,73-73,,Turnover by D. Davis (offensive foul)
10:55.0,A. Horford makes 2-pt shot from 7 ft (assist by S. Larkin),2,75-73,,
10:44.0,,,75-73,,Offensive charge foul by M. Chalmers (drawn by S. Larkin)
10:44.0,,,75-73,,Turnover by M. Chalmers (offensive foul)
10:35.0,Turnover by S. Larkin (bad pass),,75-73,,
10:19.0,,,75-73,,T. Evans misses 2-pt shot from 1 ft
10:17.0,Defensive rebound by S. Larkin,,75-73,,
10:12.0,T. Rozier makes 3-pt shot from 26 ft (assist by A. Horford),3,78-73,,
9:49.0,,,78-73,,M. Chalmers misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by D. Theis,,78-73,,
9:35.0,T. Rozier makes 2-pt shot from 1 ft (assist by A. Horford),2,80-73,,
9:20.0,,,80-73,,Turnover by D. Davis (lost ball; steal by T. Rozier)
9:16.0,Turnover by A. Horford (lost ball; steal by J. Martin),,80-73,,
9:11.0,,,80-73,,Turnover by M. Chalmers (lost ball; steal by T. Rozier)
9:09.0,J. Tatum makes 2-pt shot from 1 ft (assist by T. Rozier),2,82-73,,
8:59.0,,,82-73,,Memphis full timeout
8:59.0,,,82-73,,J. Green enters the game for J. Martin
8:59.0,,,82-73,,A. Harrison enters the game for M. Chalmers
8:59.0,,,82-73,,M. Gasol enters the game for D. Davis
8:39.0,,,82-73,,A. Harrison misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by J. Tatum,,82-73,,
8:21.0,J. Tatum makes 2-pt shot from 21 ft,2,84-73,,
8:03.0,,,84-73,,A. Harrison misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by Team,,84-73,,
8:02.0,,,84-73,,Loose ball foul by J. Green (drawn by D. Theis)
8:02.0,,,84-73,,M. Chalmers enters the game for J. Ennis
8:02.0,,,84-73,,D. Brooks enters the game for A. Harrison
7:49.0,Turnover by A. Horford (out of bounds lost ball),,84-73,,
7:27.0,,,84-73,,M. Chalmers misses 3-pt shot from 25 ft (block by D. Theis)
7:23.0,,,84-73,,Offensive rebound by J. Green
7:22.0,,,84-73,,J. Green misses 2-pt shot from 10 ft
7:19.0,Defensive rebound by A. Horford,,84-73,,
7:12.0,D. Theis makes 3-pt shot from 23 ft (assist by A. Horford),3,87-73,,
6:48.0,,,87-73,,M. Gasol misses 2-pt shot from 22 ft
6:46.0,Defensive rebound by T. Rozier,,87-73,,
6:33.0,J. Tatum misses 2-pt shot at rim,,87-73,,
6:30.0,,,87-73,,Defensive rebound by M. Chalmers
6:26.0,,,87-76,3,D. Brooks makes 3-pt shot from 25 ft (assist by M. Chalmers)
6:25.0,Boston full timeout,,87-76,,
6:25.0,J. Brown enters the game for J. Tatum,,87-76,,
6:25.0,K. Irving enters the game for S. Larkin,,87-76,,
6:25.0,A. Baynes enters the game for A. Horford,,87-76,,
6:01.0,T. Rozier makes 2-pt shot from 11 ft,2,89-76,,
5:40.0,,,89-78,2,T. Evans makes 2-pt shot at rim
5:25.0,D. Theis misses 2-pt shot from 16 ft,,89-78,,
5:22.0,,,89-78,,Defensive rebound by J. Green
5:17.0,,,89-80,2,T. Evans makes 2-pt shot at rim
5:17.0,,,89-80,,Shooting foul by J. Brown (drawn by T. Evans)
5:17.0,M. Smart enters the game for T. Rozier,,89-80,,
5:17.0,J. Tatum enters the game for D. Theis,,89-80,,
5:17.0,,,89-81,1,T. Evans makes free throw 1 of 1
5:02.0,J. Tatum misses 2-pt shot from 2 ft,,89-81,,
5:00.0,Offensive rebound by J. Tatum,,89-81,,
4:59.0,J. Tatum misses 2-pt shot from 1 ft,,89-81,,
4:59.0,Offensive rebound by A. Baynes,,89-81,,
4:53.0,A. Baynes makes 2-pt shot at rim,2,91-81,,
4:35.0,,,91-84,3,D. Brooks makes 3-pt shot from 26 ft (assist by T. Evans)
4:20.0,A. Baynes makes 2-pt shot at rim (assist by M. Smart),2,93-84,,
4:20.0,Shooting foul by M. Gasol (drawn by A. Baynes),,93-84,,
4:20.0,A. Baynes makes free throw 1 of 1,1,94-84,,
3:55.0,,,94-86,2,D. Brooks makes 2-pt shot from 5 ft
3:40.0,K. Irving makes 3-pt shot from 25 ft,3,97-86,,
3:24.0,,,97-86,,Shooting foul by A. Baynes (drawn by T. Evans)
3:24.0,,,97-87,1,T. Evans makes free throw 1 of 2
3:24.0,,,97-88,1,T. Evans makes free throw 2 of 2
3:10.0,J. Brown misses 3-pt shot from 26 ft,,97-88,,
3:06.0,,,97-88,,Defensive rebound by M. Chalmers
2:58.0,A. Horford enters the game for A. Baynes,,97-88,,
2:53.0,,,97-88,,T. Evans misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by M. Smart,,97-88,,
2:46.0,K. Irving misses 2-pt shot from 11 ft,,97-88,,
2:41.0,,,97-88,,Defensive rebound by M. Gasol
2:26.0,,,97-88,,J. Green misses 3-pt shot from 23 ft
2:23.0,,,97-88,,Offensive rebound by M. Gasol
2:19.0,,,97-91,3,M. Chalmers makes 3-pt shot from 23 ft (assist by M. Gasol)
1:55.0,A. Horford misses 3-pt shot from 26 ft,,97-91,,
1:52.0,Offensive rebound by J. Brown,,97-91,,
1:51.0,K. Irving misses 3-pt shot from 23 ft,,97-91,,
1:47.0,Offensive rebound by J. Tatum,,97-91,,
1:30.0,A. Horford makes 2-pt shot from 11 ft (assist by K. Irving),2,99-91,,
1:22.0,,,99-91,,M. Chalmers misses 3-pt shot from 27 ft
1:18.0,Defensive rebound by A. Horford,,99-91,,
1:15.0,J. Tatum makes 2-pt shot at rim (assist by A. Horford),2,101-91,,
1:15.0,Shooting foul by M. Chalmers (drawn by J. Tatum),,101-91,,
1:15.0,J. Tatum makes free throw 1 of 1,1,102-91,,
1:15.0,,,102-91,,Memphis full timeout
1:09.0,Personal foul by K. Irving (drawn by M. Gasol),,102-91,,
1:04.0,,,102-91,,M. Gasol misses 2-pt shot from 12 ft
1:00.0,Defensive rebound by J. Tatum,,102-91,,
0:41.0,J. Brown misses 3-pt shot from 22 ft,,102-91,,
0:38.0,Offensive rebound by J. Brown,,102-91,,
0:34.0,Turnover by J. Brown (lost ball; steal by M. Chalmers),,102-91,,
0:30.0,,,102-91,,M. Chalmers misses 2-pt shot from 12 ft
0:28.0,,,102-91,,Offensive rebound by M. Gasol
0:28.0,,,102-91,,Shooting foul by M. Smart (drawn by M. Gasol)
0:28.0,,,102-92,1,M. Gasol makes free throw 1 of 2
0:28.0,,,102-92,,V. Hunter enters the game for J. Green
0:28.0,,,102-92,,K. Simmons enters the game for M. Chalmers
0:28.0,,,102-92,,D. Davis enters the game for T. Evans
