time,Golden State,pts.away,score,pts.home,Cleveland
0:00.0,,,86-65,,Defensive rebound by R. Hood
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Turnover by S. Curry (lost ball; steal by L. Nance),,86-65,,
11:35.0,,,86-67,2,R. Hood makes 2-pt shot from 1 ft (assist by L. Nance)
11:21.0,,,86-67,,Personal foul by K. Korver (drawn by S. Curry)
11:21.0,N. Young enters the game for A. Iguodala,,86-67,,
11:11.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,89-67,,
10:43.0,,,89-67,,J. Green misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by S. Curry,,89-67,,
10:28.0,N. Young misses 3-pt shot from 23 ft,,89-67,,
10:25.0,,,89-67,,Defensive rebound by L. Nance
10:06.0,,,89-67,,R. Hood misses 2-pt shot from 13 ft
10:05.0,,,89-67,,Offensive rebound by L. Nance
10:01.0,,,89-70,3,G. Hill makes 3-pt shot from 22 ft (assist by L. Nance)
9:45.0,S. Curry makes 3-pt shot from 31 ft,3,92-70,,
9:28.0,,,92-70,,K. Korver misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by D. Green,,92-70,,
9:15.0,Shooting foul by K. Korver (drawn by S. Curry),,92-70,,
9:15.0,S. Curry makes free throw 1 of 3,1,93-70,,
9:15.0,S. Curry makes free throw 2 of 3,1,94-70,,
9:15.0,,,94-70,,L. James enters the game for J. Green
9:15.0,S. Curry makes free throw 3 of 3,1,95-70,,
8:58.0,,,95-72,2,R. Hood makes 2-pt shot from 16 ft (assist by G. Hill)
8:58.0,,,95-72,,Shooting foul by D. West (drawn by R. Hood)
8:58.0,K. Durant enters the game for S. Livingston,,95-72,,
8:58.0,,,95-73,1,R. Hood makes free throw 1 of 1
8:49.0,,,95-73,,Personal foul by L. Nance (drawn by D. West)
8:42.0,S. Curry misses 3-pt shot from 31 ft,,95-73,,
8:39.0,,,95-73,,Defensive rebound by R. Hood
8:21.0,,,95-73,,L. Nance misses 2-pt shot from 9 ft (block by S. Curry)
8:19.0,,,95-73,,Offensive rebound by L. James
8:19.0,,,95-73,,Shooting foul by D. Green (drawn by L. Nance)
8:19.0,,,95-74,1,L. Nance makes free throw 1 of 2
8:19.0,K. Thompson enters the game for D. West,,95-74,,
8:19.0,A. Iguodala enters the game for N. Young,,95-74,,
8:19.0,,,95-74,,L. Nance misses free throw 2 of 2
8:11.0,Defensive rebound by K. Durant,,95-74,,
7:58.0,A. Iguodala makes 2-pt shot at rim (assist by K. Durant),2,97-74,,
7:34.0,,,97-74,,R. Hood misses 2-pt shot from 1 ft (block by K. Durant)
7:31.0,Defensive rebound by K. Durant,,97-74,,
7:26.0,K. Thompson misses 3-pt shot from 22 ft,,97-74,,
7:23.0,,,97-74,,Defensive rebound by R. Hood
7:21.0,Personal foul by D. Green (drawn by L. James),,97-74,,
7:13.0,,,97-74,,K. Korver misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by K. Durant,,97-74,,
7:07.0,Golden State full timeout,,97-74,,
6:51.0,D. Green makes 2-pt shot from 1 ft (assist by K. Durant),2,99-74,,
6:36.0,,,99-74,,R. Hood misses 2-pt shot from 11 ft (block by S. Curry)
6:32.0,Defensive rebound by S. Curry,,99-74,,
6:25.0,,,99-74,,Personal foul by L. James (drawn by A. Iguodala)
6:19.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,102-74,,
6:12.0,Personal foul by S. Curry (drawn by L. Nance),,102-74,,
6:06.0,,,102-74,,K. Korver misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by K. Durant,,102-74,,
5:48.0,S. Curry misses 2-pt shot from 14 ft,,102-74,,
5:46.0,,,102-74,,Defensive rebound by K. Korver
5:40.0,,,102-76,2,L. James makes 2-pt shot from 1 ft
5:13.0,S. Curry misses 3-pt shot from 34 ft,,102-76,,
5:10.0,,,102-76,,Defensive rebound by L. James
5:06.0,,,102-76,,Shooting foul by K. Durant (drawn by L. James)
5:06.0,,,102-77,1,L. James makes free throw 1 of 2
5:06.0,,,102-77,,L. James misses free throw 2 of 2
5:04.0,Defensive rebound by S. Curry,,102-77,,
4:46.0,K. Durant misses 3-pt shot from 23 ft,,102-77,,
4:44.0,,,102-77,,Defensive rebound by R. Hood
4:41.0,,,102-77,,R. Hood misses 2-pt shot from 8 ft (block by A. Iguodala)
4:41.0,Defensive rebound by Team,,102-77,,
4:27.0,S. Curry misses 2-pt shot from 1 ft,,102-77,,
4:23.0,,,102-77,,Defensive rebound by L. James
4:15.0,,,102-77,,K. Korver misses 2-pt shot from 14 ft
4:14.0,,,102-77,,Offensive rebound by L. Nance
4:09.0,,,102-77,,Turnover by L. James (lost ball; steal by K. Durant)
4:03.0,,,102-77,,C. Osman enters the game for L. James
4:03.0,,,102-77,,J. Calderon enters the game for G. Hill
3:49.0,S. Curry misses 2-pt shot from 6 ft (block by L. Nance),,102-77,,
3:49.0,,,102-77,,Defensive rebound by Team
3:30.0,,,102-79,2,R. Hood makes 2-pt shot from 1 ft (assist by L. Nance)
3:03.0,K. Durant makes 2-pt shot from 1 ft,2,104-79,,
