time,Orlando,pts.away,score,pts.home,LA Clippers
9:09.0,,,91-93,,Defensive rebound by B. Marjanovic
9:02.0,,,91-95,2,M. Teodosic makes 2-pt shot from 1 ft
9:02.0,Orlando full timeout,,91-95,,
9:02.0,,,91-95,,A. Rivers enters the game for W. Johnson
8:45.0,B. Biyombo misses 2-pt shot from 3 ft (block by B. Marjanovic),,91-95,,
8:42.0,Offensive rebound by B. Biyombo,,91-95,,
8:42.0,Shooting foul by B. Marjanovic (drawn by W. Iwundu),,91-95,,
8:42.0,W. Iwundu misses free throw 1 of 2,,91-95,,
8:42.0,Offensive rebound by Team,,91-95,,
8:42.0,W. Iwundu makes free throw 2 of 2,1,92-95,,
8:29.0,,,92-98,3,L. Williams makes 3-pt shot from 25 ft (assist by M. Teodosic)
8:11.0,K. Birch misses 2-pt shot from 12 ft,,92-98,,
8:07.0,Offensive rebound by B. Biyombo,,92-98,,
8:07.0,,,92-98,,Personal foul by L. Williams (drawn by B. Biyombo)
8:07.0,M. Hezonja enters the game for K. Birch,,92-98,,
7:59.0,S. Mack misses 2-pt shot from 7 ft,,92-98,,
7:57.0,,,92-98,,Defensive rebound by B. Marjanovic
7:49.0,,,92-101,3,L. Williams makes 3-pt shot from 25 ft (assist by A. Rivers)
7:31.0,Shooting foul by M. Harrell (drawn by S. Mack),,92-101,,
7:31.0,S. Mack misses free throw 1 of 2,,92-101,,
7:31.0,Offensive rebound by Team,,92-101,,
7:31.0,N. Vucevic enters the game for B. Biyombo,,92-101,,
7:31.0,J. Simmons enters the game for R. Purvis,,92-101,,
7:31.0,S. Mack makes free throw 2 of 2,1,93-101,,
7:14.0,,,93-103,2,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic)
6:55.0,N. Vucevic makes 2-pt shot from 4 ft (assist by S. Mack),2,95-103,,
6:47.0,,,95-103,,Turnover by M. Harrell (lost ball; steal by W. Iwundu)
6:47.0,,,95-103,,Personal foul by B. Marjanovic (drawn by S. Mack)
6:47.0,,,95-103,,T. Harris enters the game for B. Marjanovic
6:47.0,D. Augustin enters the game for S. Mack,,95-103,,
6:34.0,M. Hezonja misses 3-pt shot from 24 ft,,95-103,,
6:34.0,,,95-103,,Defensive rebound by Team
6:18.0,,,95-103,,Shooting foul by N. Vucevic (drawn by M. Harrell)
6:18.0,,,95-104,1,M. Harrell makes free throw 1 of 2
