time,Boston,pts.away,score,pts.home,Detroit
0:36.0,,,40-37,2,A. Tolliver makes 2-pt shot at rim (assist by R. Jackson)
0:22.0,J. Tatum makes 3-pt shot from 23 ft (assist by M. Smart),3,43-37,,
0:21.0,,,43-37,,Technical foul by R. Jackson
0:21.0,K. Irving makes technical free throw,1,44-37,,
0:21.0,A. Horford enters the game for A. Baynes,,44-37,,
0:21.0,S. Ojeleye enters the game for K. Irving,,44-37,,
0:02.0,,,44-37,,A. Bradley misses 2-pt shot from 9 ft
0:00.0,Defensive rebound by A. Horford,,44-37,,
0:00.0,J. Brown misses 3-pt shot from 37 ft,,44-37,,
0:00.0,Offensive rebound by Team,,44-37,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,K. Irving misses 2-pt shot from 12 ft,,44-37,,
11:45.0,,,44-37,,Defensive rebound by A. Drummond
11:36.0,,,44-37,,T. Harris misses 2-pt shot from 15 ft
11:33.0,Defensive rebound by A. Horford,,44-37,,
11:24.0,K. Irving misses 2-pt shot from 14 ft,,44-37,,
11:19.0,Offensive rebound by A. Baynes,,44-37,,
11:18.0,A. Baynes makes 2-pt shot from 2 ft,2,46-37,,
11:07.0,,,46-37,,T. Harris misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by J. Tatum,,46-37,,
10:53.0,J. Brown misses 2-pt shot from 20 ft,,46-37,,
10:51.0,,,46-37,,Defensive rebound by A. Drummond
10:44.0,,,46-37,,R. Jackson misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by J. Brown,,46-37,,
10:39.0,,,46-37,,Personal foul by S. Johnson (drawn by J. Brown)
10:38.0,,,46-37,,Personal foul by A. Drummond (drawn by A. Baynes)
10:24.0,J. Brown makes 2-pt shot from 2 ft,2,48-37,,
10:23.0,,,48-37,,Technical foul by A. Drummond
10:23.0,K. Irving makes technical free throw,1,49-37,,
10:23.0,,,49-37,,Detroit full timeout
10:09.0,,,49-37,,Turnover by A. Bradley (bad pass; steal by A. Baynes)
9:53.0,Turnover by J. Tatum (out of bounds lost ball),,49-37,,
9:39.0,,,49-37,,R. Jackson misses 2-pt shot from 15 ft
9:34.0,Defensive rebound by A. Baynes,,49-37,,
9:15.0,A. Horford makes 2-pt shot from 9 ft,2,51-37,,
9:02.0,,,51-37,,R. Jackson misses 2-pt shot from 4 ft
9:02.0,Defensive rebound by Team,,51-37,,
9:02.0,,,51-37,,A. Tolliver enters the game for S. Johnson
8:44.0,A. Horford misses 2-pt shot from 5 ft,,51-37,,
8:42.0,,,51-37,,Defensive rebound by A. Drummond
8:35.0,,,51-37,,A. Drummond misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by A. Baynes,,51-37,,
8:21.0,A. Horford makes 3-pt shot from 25 ft,3,54-37,,
8:02.0,,,54-37,,A. Tolliver misses 3-pt shot from 25 ft (block by A. Horford)
7:59.0,,,54-37,,Offensive rebound by A. Tolliver
7:57.0,,,54-37,,A. Bradley misses 2-pt shot from 20 ft
7:55.0,Defensive rebound by A. Baynes,,54-37,,
7:45.0,,,54-37,,Personal foul by A. Tolliver (drawn by A. Baynes)
7:35.0,K. Irving misses 2-pt shot from 7 ft,,54-37,,
7:33.0,,,54-37,,Defensive rebound by A. Drummond
