time,Phoenix,pts.away,score,pts.home,Miami
8:07.0,J. Jackson misses 2-pt shot at rim (block by J. Johnson),,57-72,,
8:07.0,,,57-72,,Defensive rebound by J. Richardson
7:54.0,,,57-74,2,H. Whiteside makes 2-pt shot from 18 ft (assist by J. Richardson)
7:40.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,59-74,,
7:20.0,,,59-74,,G. Dragic misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by S. Harrison,,59-74,,
7:09.0,S. Harrison makes 2-pt shot at rim,2,61-74,,
6:56.0,,,61-76,2,H. Whiteside makes 2-pt shot from 8 ft (assist by J. Johnson)
6:49.0,Turnover by T. Chandler (out of bounds lost ball),,61-76,,
6:49.0,,,61-76,,Miami full timeout
6:49.0,M. Chriss enters the game for T. Chandler,,61-76,,
6:34.0,,,61-78,2,H. Whiteside makes 2-pt shot at rim (assist by J. Richardson)
6:20.0,J. Jackson misses 2-pt shot from 1 ft (block by L. Babbitt),,61-78,,
6:20.0,Offensive rebound by Team,,61-78,,
6:15.0,M. Chriss misses 3-pt shot from 26 ft (block by H. Whiteside),,61-78,,
6:13.0,,,61-78,,Defensive rebound by J. Johnson
6:04.0,,,61-78,,Turnover by J. Richardson (out of bounds lost ball)
5:49.0,D. Bender misses 2-pt shot from 12 ft,,61-78,,
5:47.0,,,61-78,,Defensive rebound by H. Whiteside
5:35.0,,,61-80,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson)
5:23.0,D. Booker makes 2-pt shot from 1 ft,2,63-80,,
5:15.0,,,63-82,2,G. Dragic makes 2-pt shot from 1 ft
5:05.0,,,63-82,,Personal foul by L. Babbitt (drawn by D. Booker)
5:05.0,,,63-82,,R. McGruder enters the game for J. Richardson
4:50.0,D. Booker makes 2-pt shot from 8 ft (assist by M. Chriss),2,65-82,,
4:35.0,,,65-82,,Turnover by H. Whiteside (traveling)
4:22.0,D. Bender makes 3-pt shot from 26 ft (assist by D. Booker),3,68-82,,
4:07.0,,,68-84,2,J. Johnson makes 2-pt shot from 15 ft
3:56.0,D. Booker misses 2-pt shot from 12 ft,,68-84,,
3:54.0,,,68-84,,Defensive rebound by H. Whiteside
3:45.0,,,68-84,,L. Babbitt misses 3-pt shot from 25 ft
3:45.0,,,68-84,,Offensive rebound by H. Whiteside
3:43.0,,,68-86,2,H. Whiteside makes 2-pt shot from 1 ft
3:43.0,Phoenix full timeout,,68-86,,
3:43.0,,,68-86,,D. Wade enters the game for L. Babbitt
3:43.0,A. Len enters the game for D. Bender,,68-86,,
3:26.0,A. Len misses 2-pt shot from 18 ft,,68-86,,
3:24.0,,,68-86,,Defensive rebound by D. Wade
3:04.0,,,68-86,,J. Johnson misses 2-pt shot from 10 ft
3:02.0,,,68-86,,Offensive rebound by R. McGruder
3:01.0,,,68-88,2,R. McGruder makes 2-pt shot from 1 ft
2:58.0,Turnover by J. Jackson (bad pass; steal by R. McGruder),,68-88,,
2:41.0,,,68-88,,H. Whiteside misses 2-pt shot from 4 ft
2:40.0,,,68-88,,Offensive rebound by R. McGruder
2:32.0,,,68-88,,Turnover by R. McGruder (lost ball; steal by S. Harrison)
2:23.0,D. Booker makes 2-pt shot from 7 ft,2,70-88,,
2:15.0,,,70-88,,J. Johnson misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by J. Jackson,,70-88,,
2:04.0,,,70-88,,T. Johnson enters the game for G. Dragic
2:04.0,,,70-88,,K. Olynyk enters the game for H. Whiteside
2:04.0,T. Warren enters the game for S. Harrison,,70-88,,
2:02.0,,,70-88,,J. Winslow enters the game for J. Johnson
1:55.0,Jump ball: T. Johnson vs. T. Warren (D. Booker gains possession),,,,Jump ball: T. Johnson vs. T. Warren (D. Booker gains possession)
1:51.0,D. Booker makes 2-pt shot from 4 ft,2,72-88,,
1:32.0,,,72-91,3,K. Olynyk makes 3-pt shot from 23 ft (assist by T. Johnson)
1:17.0,D. Booker makes 2-pt shot from 1 ft,2,74-91,,
1:05.0,,,74-91,,D. Wade misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by M. Chriss,,74-91,,
1:00.0,T. Warren makes 2-pt shot from 1 ft (assist by J. Jackson),2,76-91,,
0:47.0,,,76-93,2,D. Wade makes 2-pt shot from 1 ft (assist by K. Olynyk)
0:43.0,Turnover by A. Len (bad pass; steal by R. McGruder),,76-93,,
0:37.0,,,76-93,,R. McGruder misses 3-pt shot from 26 ft
0:33.0,,,76-93,,Offensive rebound by J. Winslow
0:33.0,D. Bender enters the game for A. Len,,76-93,,
0:33.0,S. Harrison enters the game for D. Booker,,76-93,,
0:14.0,,,76-93,,T. Johnson misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by S. Harrison,,76-93,,
0:02.0,T. Warren misses 2-pt shot from 14 ft,,76-93,,
0:02.0,Offensive rebound by M. Chriss,,76-93,,
0:02.0,M. Chriss makes 2-pt shot from 8 ft,2,78-93,,
0:02.0,Shooting foul by J. Winslow (drawn by M. Chriss),,78-93,,
0:02.0,M. Chriss misses free throw 1 of 1,,78-93,,
0:00.0,Offensive rebound by T. Warren,,78-93,,
0:00.0,T. Warren makes 2-pt shot at rim,2,80-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,80-93,,Shooting foul by T. Warren (drawn by K. Olynyk)
11:41.0,,,80-93,,K. Olynyk misses free throw 1 of 2
11:41.0,,,80-93,,Offensive rebound by Team
