time,Minnesota,pts.away,score,pts.home,Sacramento
2:32.0,,,89-73,,B. Hield misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by T. Gibson,,89-73,,
2:17.0,G. Dieng misses 2-pt shot from 17 ft,,89-73,,
2:13.0,,,89-73,,Defensive rebound by B. Caboclo
2:02.0,,,89-73,,B. Hield misses 2-pt shot from 17 ft
1:59.0,Defensive rebound by G. Dieng,,89-73,,
1:52.0,A. Wiggins makes 2-pt shot from 9 ft,2,91-73,,
1:51.0,,,91-73,,Sacramento full timeout
1:51.0,,,91-73,,J. Jackson enters the game for S. Labissiere
1:51.0,T. Jones enters the game for J. Teague,,91-73,,
1:51.0,J. Crawford enters the game for N. Bjelica,,91-73,,
1:32.0,,,91-73,,K. Koufos misses 2-pt shot from 9 ft
1:28.0,,,91-73,,Offensive rebound by B. Caboclo
1:26.0,,,91-75,2,K. Koufos makes 2-pt shot from 8 ft (assist by B. Caboclo)
1:11.0,Shooting foul by B. Caboclo (drawn by G. Dieng),,91-75,,
1:11.0,G. Dieng makes free throw 1 of 2,1,92-75,,
1:11.0,G. Dieng makes free throw 2 of 2,1,93-75,,
0:51.0,,,93-75,,Shooting foul by T. Jones (drawn by F. Mason)
0:51.0,,,93-76,1,F. Mason makes free throw 1 of 2
0:51.0,,,93-77,1,F. Mason makes free throw 2 of 2
0:48.0,,,93-77,,Personal foul by F. Mason (drawn by T. Jones)
0:48.0,T. Jones makes free throw 1 of 2,1,94-77,,
0:48.0,K. Towns enters the game for T. Gibson,,94-77,,
0:48.0,T. Jones makes free throw 2 of 2,1,95-77,,
0:35.0,,,95-77,,Turnover by F. Mason (palming)
0:29.0,T. Jones makes 2-pt shot from 9 ft,2,97-77,,
0:23.0,,,97-77,,B. Caboclo misses 2-pt shot from 1 ft
0:23.0,Defensive rebound by K. Towns,,97-77,,
0:02.0,A. Wiggins misses 2-pt shot from 19 ft,,97-77,,
0:00.0,,,97-77,,Defensive rebound by F. Mason
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,97-79,2,B. Caboclo makes 2-pt shot from 11 ft
11:14.0,,,97-79,,Personal foul by B. Hield (drawn by J. Crawford)
11:07.0,Turnover by J. Crawford (traveling),,97-79,,
10:53.0,,,97-79,,B. Caboclo misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by T. Jones,,97-79,,
10:35.0,J. Crawford misses 3-pt shot from 24 ft,,97-79,,
10:31.0,,,97-79,,Defensive rebound by J. Jackson
10:20.0,,,97-79,,Turnover by B. Caboclo (bad pass; steal by J. Crawford)
10:15.0,N. Bjelica makes 2-pt shot from 1 ft (assist by J. Crawford),2,99-79,,
9:59.0,Personal foul by J. Crawford (drawn by B. Hield),,99-79,,
9:59.0,A. Wiggins enters the game for N. Bjelica,,99-79,,
9:47.0,,,99-79,,B. Hield misses 3-pt shot from 25 ft
9:44.0,,,99-79,,Offensive rebound by B. Caboclo
9:43.0,,,99-81,2,B. Caboclo makes 2-pt shot from 2 ft
9:32.0,,,99-81,,Shooting block foul by W. Cauley-Stein (drawn by K. Towns)
9:32.0,K. Towns makes free throw 1 of 2,1,100-81,,
9:32.0,,,100-81,,B. Bogdanovic enters the game for B. Hield
9:32.0,K. Towns makes free throw 2 of 2,1,101-81,,
9:20.0,,,101-81,,F. Mason misses 2-pt shot from 2 ft
9:17.0,Defensive rebound by G. Dieng,,101-81,,
9:03.0,Turnover by T. Jones (bad pass; steal by J. Jackson),,101-81,,
8:53.0,,,101-81,,Turnover by B. Bogdanovic (bad pass; steal by K. Towns)
8:44.0,J. Crawford makes 3-pt shot from 24 ft (assist by A. Wiggins),3,104-81,,
8:25.0,,,104-83,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by F. Mason)
8:08.0,Offensive charge foul by K. Towns (drawn by W. Cauley-Stein),,104-83,,
8:08.0,Turnover by K. Towns (offensive foul),,104-83,,
7:54.0,,,104-83,,Turnover by F. Mason (bad pass; steal by K. Towns)
7:45.0,J. Crawford misses 2-pt shot from 19 ft,,104-83,,
7:41.0,,,104-83,,Defensive rebound by W. Cauley-Stein
7:32.0,,,104-83,,Shooting foul by G. Dieng (drawn by W. Cauley-Stein)
7:32.0,,,104-84,1,W. Cauley-Stein makes free throw 1 of 2
7:32.0,,,104-84,,D. Fox enters the game for F. Mason
7:32.0,T. Gibson enters the game for G. Dieng,,104-84,,
7:32.0,,,104-85,1,W. Cauley-Stein makes free throw 2 of 2
7:15.0,J. Crawford misses 2-pt shot from 22 ft,,104-85,,
7:10.0,Offensive rebound by K. Towns,,104-85,,
6:57.0,J. Crawford misses 3-pt shot from 27 ft,,104-85,,
6:53.0,,,104-85,,Defensive rebound by W. Cauley-Stein
6:49.0,,,104-87,2,D. Fox makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
6:48.0,Minnesota full timeout,,104-87,,
6:48.0,,,104-87,,S. Labissiere enters the game for B. Caboclo
6:48.0,J. Teague enters the game for T. Jones,,104-87,,
6:30.0,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Towns),3,107-87,,
6:13.0,,,107-90,3,D. Fox makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
5:53.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,109-90,,
