time,Utah,pts.away,score,pts.home,Minnesota
8:09.0,J. Crowder misses 3-pt shot from 23 ft,,101-76,,
8:05.0,,,101-76,,Defensive rebound by A. Wiggins
8:01.0,,,101-76,,Shooting foul by J. Ingles (drawn by A. Wiggins)
8:01.0,,,101-77,1,A. Wiggins makes free throw 1 of 2
8:01.0,R. Rubio enters the game for D. Exum,,101-77,,
8:01.0,D. Favors enters the game for R. Gobert,,101-77,,
8:01.0,,,101-78,1,A. Wiggins makes free throw 2 of 2
7:43.0,J. Crowder misses 2-pt shot from 9 ft,,101-78,,
7:43.0,,,101-78,,Defensive rebound by Team
7:29.0,,,101-78,,J. Crawford misses 2-pt shot from 12 ft
7:26.0,Defensive rebound by R. Rubio,,101-78,,
7:16.0,Shooting foul by N. Bjelica (drawn by D. Favors),,101-78,,
7:16.0,D. Favors makes free throw 1 of 2,1,102-78,,
7:16.0,,,102-78,,T. Jones enters the game for J. Crawford
7:16.0,,,102-78,,T. Gibson enters the game for A. Brooks
7:16.0,R. O'Neale enters the game for J. Ingles,,102-78,,
7:16.0,D. Mitchell enters the game for J. Jerebko,,102-78,,
7:16.0,D. Favors makes free throw 2 of 2,1,103-78,,
6:54.0,,,103-78,,A. Wiggins misses 2-pt shot from 16 ft
6:53.0,,,103-78,,Offensive rebound by N. Bjelica
6:53.0,Personal foul by R. Rubio (drawn by N. Bjelica),,103-78,,
6:53.0,,,103-78,,Minnesota full timeout
6:51.0,,,103-80,2,K. Towns makes 2-pt shot from 6 ft (assist by T. Jones)
6:51.0,,,103-80,,Shooting foul by D. Favors (drawn by K. Towns)
6:51.0,,,103-81,1,K. Towns makes free throw 1 of 1
6:40.0,,,103-81,,Personal foul by K. Towns (drawn by D. Favors)
6:40.0,D. Favors makes free throw 1 of 2,1,104-81,,
6:40.0,D. Favors misses free throw 2 of 2,,104-81,,
6:38.0,,,104-81,,Defensive rebound by K. Towns
6:20.0,,,104-83,2,A. Wiggins makes 2-pt shot from 13 ft
5:59.0,D. Mitchell makes 2-pt shot from 13 ft,2,106-83,,
5:44.0,,,106-83,,Shooting foul by D. Favors (drawn by N. Bjelica)
5:44.0,,,106-84,1,N. Bjelica makes free throw 1 of 2
5:44.0,R. Gobert enters the game for J. Crowder,,106-84,,
