time,Sacramento,pts.away,score,pts.home,Oklahoma City
1:32.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Fox),3,36-37,,
1:32.0,Shooting foul by C. Anthony (drawn by B. Bogdanovic),,36-37,,
1:32.0,B. Bogdanovic makes free throw 1 of 1,1,37-37,,
1:23.0,,,37-40,3,P. George makes 3-pt shot from 25 ft (assist by S. Adams)
1:06.0,Z. Randolph misses 2-pt shot from 1 ft,,37-40,,
1:05.0,,,37-40,,Defensive rebound by P. George
0:59.0,,,37-43,3,R. Westbrook makes 3-pt shot from 25 ft (assist by P. George)
0:45.0,D. Fox misses 2-pt shot from 2 ft (block by S. Adams),,37-43,,
0:45.0,Offensive rebound by Team,,37-43,,
0:38.0,J. Jackson makes 3-pt shot from 28 ft (assist by Z. Randolph),3,40-43,,
0:31.0,,,40-46,3,P. George makes 3-pt shot from 28 ft (assist by R. Westbrook)
0:08.0,D. Fox misses 2-pt shot from 7 ft (block by C. Anthony),,40-46,,
0:08.0,Offensive rebound by Team,,40-46,,
0:07.0,Z. Randolph misses 2-pt shot from 17 ft,,40-46,,
0:04.0,,,40-46,,Defensive rebound by C. Brewer
0:03.0,Personal foul by D. Fox (drawn by R. Westbrook),,40-46,,
0:03.0,,,40-46,,R. Westbrook misses free throw 1 of 2
0:03.0,,,40-46,,Offensive rebound by Team
0:03.0,,,40-46,,R. Westbrook misses free throw 2 of 2
0:00.0,,,40-46,,Offensive rebound by C. Anthony
0:00.0,,,40-46,,C. Anthony misses 2-pt shot at rim
0:00.0,Defensive rebound by Z. Randolph,,40-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Jackson makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,43-46,,
11:29.0,,,43-48,2,R. Westbrook makes 2-pt shot from 17 ft
11:10.0,B. Bogdanovic misses 3-pt shot from 25 ft,,43-48,,
11:09.0,Offensive rebound by Team,,43-48,,
11:09.0,,,43-48,,Loose ball foul by C. Anthony (drawn by K. Koufos)
10:49.0,Z. Randolph misses 2-pt shot from 1 ft,,43-48,,
10:47.0,Offensive rebound by K. Koufos,,43-48,,
10:45.0,Z. Randolph misses 3-pt shot from 22 ft,,43-48,,
10:42.0,,,43-48,,Defensive rebound by R. Westbrook
10:40.0,,,43-50,2,R. Westbrook makes 2-pt shot from 1 ft
10:40.0,Shooting block foul by D. Fox (drawn by R. Westbrook),,43-50,,
10:40.0,,,43-51,1,R. Westbrook makes free throw 1 of 1
10:33.0,,,43-51,,Personal foul by P. George (drawn by J. Jackson)
10:30.0,Offensive foul by K. Koufos (drawn by R. Westbrook),,43-51,,
10:30.0,Turnover by K. Koufos (offensive foul),,43-51,,
10:15.0,,,43-51,,S. Adams misses 2-pt shot from 10 ft
10:13.0,Defensive rebound by K. Koufos,,43-51,,
10:04.0,B. Bogdanovic makes 2-pt shot from 17 ft,2,45-51,,
9:45.0,,,45-51,,R. Westbrook misses 2-pt shot from 20 ft
9:43.0,Defensive rebound by Z. Randolph,,45-51,,
9:36.0,D. Fox makes 2-pt shot from 7 ft,2,47-51,,
9:34.0,,,47-51,,Oklahoma City full timeout
9:20.0,,,47-51,,R. Westbrook misses 2-pt shot from 14 ft
9:17.0,Defensive rebound by B. Bogdanovic,,47-51,,
9:12.0,J. Jackson makes 3-pt shot from 22 ft (assist by K. Koufos),3,50-51,,
8:58.0,,,50-53,2,P. George makes 2-pt shot from 19 ft
8:37.0,K. Koufos misses 2-pt shot at rim,,50-53,,
8:35.0,,,50-53,,Defensive rebound by C. Anthony
8:33.0,,,50-53,,Turnover by C. Anthony (bad pass; steal by D. Fox)
8:30.0,D. Fox misses 2-pt shot from 2 ft,,50-53,,
8:29.0,,,50-53,,Defensive rebound by C. Anthony
8:24.0,,,50-56,3,R. Westbrook makes 3-pt shot from 24 ft
7:59.0,Z. Randolph makes 2-pt shot from 20 ft (assist by B. Bogdanovic),2,52-56,,
7:48.0,,,52-59,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
7:32.0,Z. Randolph makes 2-pt shot from 6 ft,2,54-59,,
7:28.0,Personal foul by B. Bogdanovic (drawn by S. Adams),,54-59,,
7:28.0,W. Cauley-Stein enters the game for K. Koufos,,54-59,,
7:12.0,,,54-59,,P. George misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by Z. Randolph,,54-59,,
6:59.0,J. Jackson misses 3-pt shot from 24 ft,,54-59,,
6:57.0,,,54-59,,Defensive rebound by S. Adams
6:51.0,,,54-62,3,C. Anthony makes 3-pt shot from 25 ft (assist by C. Brewer)
6:32.0,Z. Randolph misses 3-pt shot from 24 ft,,54-62,,
6:32.0,,,54-62,,Defensive rebound by C. Brewer
6:14.0,,,54-62,,P. George misses 2-pt shot from 17 ft
6:09.0,Defensive rebound by J. Jackson,,54-62,,
6:05.0,Z. Randolph misses 3-pt shot from 25 ft,,54-62,,
5:59.0,,,54-62,,Defensive rebound by P. George
5:58.0,,,54-62,,Turnover by P. George (bad pass; steal by Z. Randolph)
5:53.0,B. Bogdanovic makes 2-pt shot from 6 ft,2,56-62,,
5:53.0,Shooting foul by S. Adams (drawn by B. Bogdanovic),,56-62,,
5:53.0,B. Bogdanovic makes free throw 1 of 1,1,57-62,,
5:35.0,,,57-64,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:31.0,Sacramento full timeout,,57-64,,
5:31.0,,,57-64,,P. Patterson enters the game for S. Adams
5:16.0,J. Jackson makes 2-pt shot from 7 ft,2,59-64,,
4:59.0,,,59-64,,R. Westbrook misses 2-pt shot from 3 ft (block by D. Fox)
4:57.0,Defensive rebound by B. Bogdanovic,,59-64,,
4:54.0,B. Bogdanovic makes 2-pt shot from 20 ft,2,61-64,,
4:42.0,Personal foul by J. Jackson (drawn by P. George),,61-64,,
4:34.0,,,61-64,,C. Anthony misses 2-pt shot from 14 ft
4:32.0,Defensive rebound by B. Bogdanovic,,61-64,,
4:17.0,Z. Randolph makes 2-pt shot from 5 ft (assist by D. Fox),2,63-64,,
3:59.0,,,63-64,,Shooting foul by B. Bogdanovic (drawn by C. Brewer)
3:59.0,,,63-65,1,C. Brewer makes free throw 1 of 3
3:59.0,,,63-66,1,C. Brewer makes free throw 2 of 3
3:59.0,,,63-67,1,C. Brewer makes free throw 3 of 3
3:46.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jackson),3,66-67,,
3:32.0,,,66-70,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:11.0,J. Jackson makes 2-pt shot from 1 ft (assist by Z. Randolph),2,68-70,,
3:01.0,,,68-70,,C. Anthony misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by B. Bogdanovic,,68-70,,
2:52.0,Z. Randolph misses 3-pt shot from 24 ft,,68-70,,
2:49.0,,,68-70,,Defensive rebound by R. Westbrook
2:46.0,,,68-72,2,C. Brewer makes 2-pt shot at rim (assist by R. Westbrook)
2:25.0,Z. Randolph makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,70-72,,
2:09.0,,,70-72,,R. Westbrook misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by B. Bogdanovic,,70-72,,
1:58.0,Turnover by B. Bogdanovic (bad pass; steal by C. Brewer),,70-72,,
1:58.0,Personal foul by B. Bogdanovic (drawn by C. Brewer),,70-72,,
1:58.0,,,70-73,1,C. Brewer makes free throw 1 of 2
1:58.0,,,70-73,,R. Felton enters the game for R. Westbrook
1:58.0,,,70-73,,J. Grant enters the game for C. Anthony
1:58.0,V. Carter enters the game for B. Bogdanovic,,70-73,,
1:58.0,G. Temple enters the game for Z. Randolph,,70-73,,
1:58.0,,,70-74,1,C. Brewer makes free throw 2 of 2
1:40.0,V. Carter makes 3-pt shot from 25 ft (assist by G. Temple),3,73-74,,
1:19.0,,,73-76,2,P. George makes 2-pt shot from 1 ft
1:05.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Fox),2,75-76,,
0:50.0,,,75-76,,P. George misses 3-pt shot from 25 ft
0:48.0,,,75-76,,Offensive rebound by C. Brewer
0:47.0,,,75-78,2,C. Brewer makes 2-pt shot at rim
0:38.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Fox),2,77-78,,
0:27.0,,,77-78,,C. Brewer misses 3-pt shot from 23 ft
0:24.0,Defensive rebound by W. Cauley-Stein,,77-78,,
0:06.0,D. Fox misses 2-pt shot at rim,,77-78,,
0:05.0,Offensive rebound by G. Temple,,77-78,,
0:05.0,G. Temple makes 2-pt shot at rim,2,79-78,,
0:01.0,,,79-78,,P. George misses 3-pt shot from 45 ft
0:01.0,,,79-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,79-81,3,T. Ferguson makes 3-pt shot from 22 ft (assist by R. Felton)
11:21.0,G. Temple misses 2-pt shot from 17 ft,,79-81,,
11:19.0,,,79-81,,Defensive rebound by J. Grant
11:14.0,,,79-81,,Turnover by R. Felton (bad pass; steal by F. Mason)
10:55.0,V. Carter misses 3-pt shot from 22 ft,,79-81,,
10:51.0,,,79-81,,Defensive rebound by P. Patterson
10:46.0,,,79-81,,P. George misses 2-pt shot from 15 ft
10:43.0,Defensive rebound by V. Carter,,79-81,,
10:36.0,F. Mason makes 2-pt shot at rim,2,81-81,,
10:22.0,,,81-81,,Shooting foul by V. Carter (drawn by J. Grant)
10:22.0,,,81-82,1,J. Grant makes free throw 1 of 2
10:22.0,,,81-82,,A. Abrines enters the game for P. George
10:22.0,B. Hield enters the game for J. Jackson,,81-82,,
10:22.0,,,81-82,,J. Grant misses free throw 2 of 2
10:20.0,Defensive rebound by V. Carter,,81-82,,
10:12.0,F. Mason makes 2-pt shot from 1 ft (assist by V. Carter),2,83-82,,
10:00.0,,,83-82,,T. Ferguson misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by G. Temple,,83-82,,
9:47.0,W. Cauley-Stein misses 2-pt shot from 14 ft,,83-82,,
9:45.0,,,83-82,,Defensive rebound by P. Patterson
9:35.0,,,83-84,2,P. Patterson makes 2-pt shot from 5 ft
9:08.0,F. Mason misses 2-pt shot from 1 ft,,83-84,,
9:06.0,Offensive rebound by F. Mason,,83-84,,
